floor,relationship,player_id,n_games,beta,se,t
20,R01_prior_efficiency_persistence,100720,27.0,-0.7087294318228485,0.5005306833057913,-1.415956015207686
20,R01_prior_efficiency_persistence,100940,78.0,-0.45896741333713587,0.39040284394191277,-1.1756251791173546
20,R01_prior_efficiency_persistence,201480,25.0,-0.5392162926592652,0.9572192930318377,-0.5633153203080399
20,R01_prior_efficiency_persistence,201496,43.0,0.13957376493918636,0.41014010236798465,0.34030752938652753
20,R01_prior_efficiency_persistence,201516,28.0,0.0036992892904999957,0.8383348540351905,0.004412663117481111
20,R01_prior_efficiency_persistence,201886,102.0,0.39907063237624263,0.3076589944793498,1.2971199917349676
20,R01_prior_efficiency_persistence,201896,8.0,-1.1444105354836678,0.8009249687751723,-1.4288611044724657
20,R01_prior_efficiency_persistence,202250,60.0,-0.5720001789142628,0.5847901253737894,-0.9781289972169905
20,R01_prior_efficiency_persistence,202252,79.0,0.4010526764956509,0.1915595288250773,2.093619038193983
20,R01_prior_efficiency_persistence,202633,16.0,-0.46890187295426805,0.6228170894332405,-0.7528725221412368
20,R01_prior_efficiency_persistence,202658,36.0,-0.4647424485947241,0.517462267040435,-0.8981185261154678
20,R01_prior_efficiency_persistence,202664,79.0,0.02780597986544273,0.2745002036550072,0.10129675495756418
20,R01_prior_efficiency_persistence,203014,98.0,-0.08441030461850274,0.2812875624790419,-0.30008544947589694
20,R01_prior_efficiency_persistence,203026,59.0,0.1966204188284185,0.33460865832811115,0.5876130636034411
20,R01_prior_efficiency_persistence,203035,31.0,-0.36489952361898553,0.26046804625878334,-1.4009377689900826
20,R01_prior_efficiency_persistence,203398,52.0,-0.5218654974876843,0.3597005713037724,-1.4508331070927358
20,R01_prior_efficiency_persistence,203399,38.0,-0.42191280830969835,0.5108117616477952,-0.8259653359364253
20,R01_prior_efficiency_persistence,203400,63.0,0.4251185152961288,0.2516732574781781,1.6891684065121209
20,R01_prior_efficiency_persistence,203403,30.0,0.2580042434330642,0.469685173514362,0.5493131526860406
20,R01_prior_efficiency_persistence,203406,25.0,0.07305410519421647,0.4414248845635325,0.16549611892961164
20,R01_prior_efficiency_persistence,203416,28.0,-0.7215747729473587,0.8923087557719386,-0.8086604197031806
20,R01_prior_efficiency_persistence,203822,21.0,-2.032733793600529,1.3080823979217358,-1.553979930339335
20,R01_prior_efficiency_persistence,203823,12.0,-1.0034855030386027,0.6978252188897054,-1.4380183975512189
20,R01_prior_efficiency_persistence,203824,20.0,0.3662964078697928,0.6793027224019442,0.539224112888296
20,R01_prior_efficiency_persistence,203825,97.0,-0.18846013357480593,0.32177068119670305,-0.5856970339059497
20,R01_prior_efficiency_persistence,203826,105.0,0.4527961882318095,0.2759397884283823,1.6409238798460872
20,R01_prior_efficiency_persistence,203827,90.0,-0.7527884302075117,0.3202094175888483,-2.350925328417725
20,R01_prior_efficiency_persistence,203828,54.0,-0.5183365258782505,0.5905529128266885,-0.8777139433572965
20,R01_prior_efficiency_persistence,203833,90.0,0.07028547036629472,0.25995503226031236,0.27037549438901665
20,R01_prior_efficiency_persistence,203855,17.0,-1.1694496317373397,0.7674335805327697,-1.5238447487865745
20,R01_prior_efficiency_persistence,203866,55.0,0.1528647544992883,0.273768097850909,0.558373147562784
20,R01_prior_efficiency_persistence,204296,47.0,-0.13869306416294844,0.21669597964723195,-0.6400352437951661
20,R01_prior_efficiency_persistence,204319,102.0,0.17950490695901114,0.23355705718840475,0.7685698266621374
20,R01_prior_efficiency_persistence,204322,45.0,0.18851710296262672,0.29866624753011023,0.6311965430362909
20,R01_prior_efficiency_persistence,204323,74.0,-0.05013910589674098,0.2958220641920546,-0.1694907580125244
20,R01_prior_efficiency_persistence,204324,91.0,0.9189331108376978,0.2948993666998812,3.1160904857855973
20,R01_prior_efficiency_persistence,204329,38.0,-0.05106847652295256,0.1645533577873927,-0.3103460008937307
20,R01_prior_efficiency_persistence,204330,19.0,-0.6531695829367802,0.7256880552758737,-0.900069359262741
20,R01_prior_efficiency_persistence,204333,99.0,-0.3866599981174188,0.24863132818450015,-1.55515397412225
20,R01_prior_efficiency_persistence,204335,67.0,-0.2144387191662023,0.40493490417607675,-0.5295634358873605
20,R01_prior_efficiency_persistence,204365,66.0,-0.4564164586559681,0.3773877680559621,-1.2094097829590678
20,R01_prior_efficiency_persistence,1627668,102.0,0.1739427131227861,0.24514894237323032,0.7095389090358166
20,R01_prior_efficiency_persistence,1627669,55.0,-0.6061543269536237,0.5694231657312318,-1.0645059130589167
20,R01_prior_efficiency_persistence,1627671,19.0,-0.4598575081313156,0.6303446558129919,-0.7295334447441468
20,R01_prior_efficiency_persistence,1627672,34.0,-0.2242350890929473,0.6493572774891109,-0.3453185124220118
20,R01_prior_efficiency_persistence,1627673,96.0,-0.07615685786340401,0.33962961218668103,-0.2242350346693079
20,R01_prior_efficiency_persistence,1627674,94.0,-0.007547871731272031,0.29003614290080665,-0.026023900524195804
20,R01_prior_efficiency_persistence,1627675,100.0,0.4375509809199189,0.3075118257194474,1.422875298848215
20,R01_prior_efficiency_persistence,1627676,31.0,0.2615491949197754,0.35796182631106976,0.7306622541714504
20,R01_prior_efficiency_persistence,1627700,8.0,-1.354743418443938,0.4915502839452353,-2.7560627319154856
20,R01_prior_efficiency_persistence,1628242,9.0,-0.42451335364845977,0.41952781321790134,-1.0118836946526093
