floor,relationship,covariate,n_players,weighted_corr,null_mean_abs_corr,null_p95_abs_corr,p_vs_cyclic_null
20,R01_prior_efficiency_persistence,usage_tier_prior,137,0.1402712549885485,0.07490020664181142,0.17631291138415156,0.13486513486513488
20,R01_prior_efficiency_persistence,minutes_tier_prior,137,,,,
20,R01_prior_efficiency_persistence,role_stability_prior,137,0.10442301527729157,0.07591078207388197,0.18948504103332725,0.26973026973026976
20,R01_prior_efficiency_persistence,team_pace_prior,137,-0.0035120428605828462,0.07738339447223241,0.1819392892851029,0.975024975024975
20,R01_prior_efficiency_persistence,experience_prior,137,0.08149916517385261,0.07169122899132878,0.18768374625394726,0.3436563436563437
20,R01_prior_efficiency_persistence,n_games_retained,137,0.2596387681466865,0.07654511927737752,0.17822454311123873,0.002997002997002997
20,R02_opp_efg_allowed,usage_tier_prior,137,0.269016174656229,0.0695596533062667,0.17001332782027542,0.003996003996003996
20,R02_opp_efg_allowed,minutes_tier_prior,137,,,,
20,R02_opp_efg_allowed,role_stability_prior,137,-0.017834146634145304,0.07081039810470793,0.1736301230310069,0.8551448551448552
20,R02_opp_efg_allowed,team_pace_prior,137,0.053768734770961696,0.07328247676036934,0.17365224427004772,0.5684315684315684
20,R02_opp_efg_allowed,experience_prior,137,0.21667811533291595,0.07294192112159069,0.1820717862779578,0.016983016983016984
20,R02_opp_efg_allowed,n_games_retained,137,0.17237080042424063,0.07034507856858414,0.17479601834826097,0.053946053946053944
20,R03_opp_ts_allowed,usage_tier_prior,137,0.34320144776597,0.07044028192180289,0.17094297747719667,0.000999000999000999
20,R03_opp_ts_allowed,minutes_tier_prior,137,,,,
20,R03_opp_ts_allowed,role_stability_prior,137,0.020594161154117743,0.07125701158847714,0.17402452321113876,0.8151848151848152
20,R03_opp_ts_allowed,team_pace_prior,137,0.06733013352158528,0.07500231999179516,0.17591781084584976,0.4885114885114885
20,R03_opp_ts_allowed,experience_prior,137,0.1978383905117419,0.07155683347955863,0.17422985565934537,0.022977022977022976
20,R03_opp_ts_allowed,n_games_retained,137,0.23295894411750037,0.06997758509644257,0.17234176325972902,0.008991008991008992
20,R04_opp_defrtg,usage_tier_prior,137,0.4542662734273341,0.07179257631873018,0.18149423566431946,0.000999000999000999
20,R04_opp_defrtg,minutes_tier_prior,137,,,,
20,R04_opp_defrtg,role_stability_prior,137,0.06988586353947197,0.06638066516821252,0.16220696860060974,0.4045954045954046
20,R04_opp_defrtg,team_pace_prior,137,0.00694045181050055,0.07318928205561528,0.17738138561608582,0.9330669330669331
20,R04_opp_defrtg,experience_prior,137,0.10446456700407498,0.07395124801994746,0.17925377957304545,0.25574425574425574
20,R04_opp_defrtg,n_games_retained,137,0.3672651733388834,0.07323508293736143,0.18148120555865438,0.000999000999000999
20,R05_teammate_volume_pregame,usage_tier_prior,137,-0.12685204539718134,0.07544500607645263,0.17898475043283127,0.1848151848151848
20,R05_teammate_volume_pregame,minutes_tier_prior,137,,,,
20,R05_teammate_volume_pregame,role_stability_prior,137,0.0007856838824611796,0.07480308448174412,0.175825249321648,0.996003996003996
20,R05_teammate_volume_pregame,team_pace_prior,137,-0.07454570211841424,0.06948481011238569,0.17088377814506728,0.3936063936063936
20,R05_teammate_volume_pregame,experience_prior,137,-0.04017429934838713,0.06852177048548866,0.16930708445069484,0.6673326673326674
20,R05_teammate_volume_pregame,n_games_retained,137,-0.12164193797577552,0.07588291728080676,0.18495029105768943,0.19880119880119881
20,R06_own_usage,usage_tier_prior,137,0.1796573421034539,0.08322285396902641,0.19942340179059007,0.07792207792207792
20,R06_own_usage,minutes_tier_prior,137,,,,
20,R06_own_usage,role_stability_prior,137,0.274839898090563,0.07788390822562566,0.19215862267281614,0.002997002997002997
20,R06_own_usage,team_pace_prior,137,0.11126412691757318,0.07834085255287722,0.1865730904955109,0.25774225774225773
20,R06_own_usage,experience_prior,137,-0.07747753341283718,0.06864880556890789,0.16937082983084592,0.35764235764235763
20,R06_own_usage,n_games_retained,137,0.25727534732011115,0.08626253923458807,0.2082555500148455,0.016983016983016984
