floor,component,n,best_reference,best_ref_mae,model_mae,skill_vs_best_ref,refs_considered
0,minutes,13879,refF_minutes,5.266906514137652,5.079670829517938,0.035549460412317546,refF_minutes|ref_minutes
0,fga,13879,refF_fga,2.640610728352467,2.6375697656574264,0.0011516133985177701,refF_fga|ref_fga
0,pts,13879,refF_pts,4.181628792249526,4.190919667572693,-0.0022218316796525084,refF_pts|ref_pts
0,pts_per_min,13879,refA_ppm,0.18276462664132767,0.18174283099586136,0.005590773577162533,refA_ppm|refB_ppm|refFA_ppm|refFB_ppm
0,fga_per_min,13879,refB_fpm,0.11111056544847446,0.11033798411000435,0.006953266193469032,refA_fpm|refB_fpm|refFA_fpm|refFB_fpm
0,pts_per_fga,12976,refB_ppf,0.5118171255878924,0.5065778966660669,0.010236525235077898,refA_ppf|refB_ppf|refFA_ppf|refFB_ppf
10,minutes,11306,refF_minutes,4.69250576939279,4.7479542932198475,-0.011816399713075354,refF_minutes|ref_minutes
10,fga,11306,refF_fga,2.7319159889287103,2.7251160386708015,0.0024890773674834943,refF_fga|ref_fga
10,pts,11306,ref_pts,4.484501664803188,4.495184477313997,-0.0023821626814533037,refF_pts|ref_pts
10,pts_per_min,11306,refB_ppm,0.16076617351644096,0.16031112179873622,0.002830519056038927,refA_ppm|refB_ppm|refFA_ppm|refFB_ppm
10,fga_per_min,11306,refB_fpm,0.0916495569042523,0.09085269494255632,0.00869466245787176,refA_fpm|refB_fpm|refFA_fpm|refFB_fpm
10,pts_per_fga,11221,refB_ppf,0.4540784666723578,0.4522590233803022,0.004006891816273672,refA_ppf|refB_ppf|refFA_ppf|refFB_ppf
15,minutes,9636,refF_minutes,4.271565808241961,4.675448463516092,-0.09455142994515997,refF_minutes|ref_minutes
15,fga,9636,refF_fga,2.7934131963479447,2.817354716377397,-0.008570704849806265,refF_fga|ref_fga
15,pts,9636,refF_pts,4.660743666492749,4.70605983571801,-0.009722948196239756,refF_pts|ref_pts
15,pts_per_min,9636,refB_ppm,0.15562767832745408,0.15536306960705545,0.0017002677367059515,refA_ppm|refB_ppm|refFA_ppm|refFB_ppm
15,fga_per_min,9636,refB_fpm,0.0878230123828075,0.0870211172798969,0.009130808442498584,refA_fpm|refB_fpm|refFA_fpm|refFB_fpm
15,pts_per_fga,9610,refB_ppf,0.4184512123784664,0.41709798838570933,0.0032338871360064747,refA_ppf|refB_ppf|refFA_ppf|refFB_ppf
20,minutes,7849,refF_minutes,3.7551614580217976,4.644990381958239,-0.23696156180863648,refF_minutes|ref_minutes
20,fga,7849,refF_fga,2.8450863177182613,2.929609933924393,-0.029708629815463405,refF_fga|ref_fga
20,pts,7849,refF_pts,4.853305298028362,4.947138843996414,-0.0193339467035325,refF_pts|ref_pts
20,pts_per_min,7849,refB_ppm,0.15228241101257237,0.15160721184570303,0.0044338618122719,refA_ppm|refB_ppm|refFA_ppm|refFB_ppm
20,fga_per_min,7849,refB_fpm,0.08481583560034345,0.0839206530491165,0.010554427070023742,refA_fpm|refB_fpm|refFA_fpm|refFB_fpm
20,pts_per_fga,7839,refB_ppf,0.38953058111167344,0.3863147729042811,0.008255598824140509,refA_ppf|refB_ppf|refFA_ppf|refFB_ppf
25,minutes,5949,refF_minutes,3.0539509757494963,4.643140096796166,-0.5203715232058213,refF_minutes|ref_minutes
25,fga,5949,refF_fga,2.8904210590633888,3.0441299590449966,-0.05317872269842083,refF_fga|ref_fga
25,pts,5949,refF_pts,5.006472995114412,5.165956930598312,-0.03185554693684223,refF_pts|ref_pts
25,pts_per_min,5949,refB_ppm,0.1481589599409401,0.1473980503585034,0.005135764875374593,refA_ppm|refB_ppm|refFA_ppm|refFB_ppm
25,fga_per_min,5949,refB_fpm,0.08271596143386431,0.08182530734347757,0.010767620601241146,refA_fpm|refB_fpm|refFA_fpm|refFB_fpm
25,pts_per_fga,5946,refFB_ppf,0.3610943935443789,0.3579275137327331,0.008770227032773192,refA_ppf|refB_ppf|refFA_ppf|refFB_ppf
30,minutes,3804,refF_minutes,2.2587342463149986,4.799955750367826,-1.12506440640314,refF_minutes|ref_minutes
30,fga,3804,refF_fga,3.002365637752988,3.1890661657961363,-0.06218447403457428,refF_fga|ref_fga
30,pts,3804,refF_pts,5.228893666992382,5.401846551064775,-0.033076381943692335,refF_pts|ref_pts
30,pts_per_min,3804,refB_ppm,0.14389489563984892,0.1435795376318627,0.0021915857861665167,refA_ppm|refB_ppm|refFA_ppm|refFB_ppm
30,fga_per_min,3804,refB_fpm,0.08047136576170784,0.07986133043841116,0.007580775068527057,refA_fpm|refB_fpm|refFA_fpm|refFB_fpm
30,pts_per_fga,3802,refB_ppf,0.33255463265616036,0.3301909960828211,0.007107513596970705,refA_ppf|refB_ppf|refFA_ppf|refFB_ppf
