floor,component,kind,reference_frozen,reference_refit,n,n_players,response_sd,model_mae,ref_mae_frozen,skill_vs_frozen_ref,ref_mae_refit,skill_vs_refit_ref,mechanical_part,best_reference,best_ref_mae,skill_vs_best_ref
0,minutes,LEVEL,ref_minutes,refF_minutes,13879,236,10.762943789412095,5.079670829517938,5.266906514137652,0.035549460412317546,5.266906514137652,0.035549460412317546,0.0,refF_minutes,5.266906514137652,0.035549460412317546
0,fga,LEVEL,ref_fga,refF_fga,13879,236,5.35960689681472,2.6375697656574264,2.640610728352467,0.0011516133985177701,2.640610728352467,0.0011516133985177701,0.0,refF_fga,2.640610728352467,0.0011516133985177701
0,pts,LEVEL,ref_pts,refF_pts,13879,236,7.580032388669301,4.190919667572693,4.181628792249526,-0.0022218316796525084,4.181628792249526,-0.0022218316796525084,0.0,refF_pts,4.181628792249526,-0.0022218316796525084
0,pts_per_min,RATE,refA_ppm,refFA_ppm,13879,236,0.26394954724596925,0.18174283099586136,0.18276462664132767,0.005590773577162533,0.18276462664132767,0.005590773577162533,0.0,refA_ppm,0.18276462664132767,0.005590773577162533
0,pts_per_min,RATE,refB_ppm,refFB_ppm,13879,236,0.26394954724596925,0.18174283099586136,0.18350234471241633,0.009588508088615777,0.18350234471241633,0.009588508088615777,0.0,refA_ppm,0.18276462664132767,0.005590773577162533
0,fga_per_min,RATE,refA_fpm,refFA_fpm,13879,236,0.1700432198926917,0.11033798411000435,0.1118426915806147,0.013453784501652244,0.1118426915806147,0.013453784501652244,0.0,refB_fpm,0.11111056544847446,0.006953266193469032
0,fga_per_min,RATE,refB_fpm,refFB_fpm,13879,236,0.1700432198926917,0.11033798411000435,0.11111056544847446,0.006953266193469032,0.11111056544847446,0.006953266193469032,0.0,refB_fpm,0.11111056544847446,0.006953266193469032
0,pts_per_fga,RATE,refA_ppf,refFA_ppf,12976,236,0.6742572613624718,0.5065778966660669,0.5175857623294488,0.02126771341978151,0.5175857623294488,0.02126771341978151,0.0,refB_ppf,0.5118171255878924,0.010236525235077898
0,pts_per_fga,RATE,refB_ppf,refFB_ppf,12976,236,0.6742572613624718,0.5065778966660669,0.5118171255878924,0.010236525235077898,0.5118171255878924,0.010236525235077898,0.0,refB_ppf,0.5118171255878924,0.010236525235077898
10,minutes,LEVEL,ref_minutes,refF_minutes,11306,223,8.175275273230485,4.7479542932198475,4.968267126219417,0.044343999105220355,4.69250576939279,-0.011816399713075354,0.05616039881829571,refF_minutes,4.69250576939279,-0.011816399713075354
10,fga,LEVEL,ref_fga,refF_fga,11306,223,5.008262560331114,2.7251160386708015,2.7450882987565324,0.007275634847439316,2.7319159889287103,0.0024890773674834943,0.004786557479955822,refF_fga,2.7319159889287103,0.0024890773674834943
10,pts,LEVEL,ref_pts,refF_pts,11306,223,7.342081018622693,4.495184477313997,4.484501664803188,-0.0023821626814533037,4.488424693390071,-0.0015060481985764707,-0.000876114482876833,ref_pts,4.484501664803188,-0.0023821626814533037
10,pts_per_min,RATE,refA_ppm,refFA_ppm,11306,223,0.2247905451392836,0.16031112179873622,0.16178951569599018,0.009137760817777174,0.1613654704420642,0.006533917327167793,0.002603843490609381,refB_ppm,0.16076617351644096,0.002830519056038927
10,pts_per_min,RATE,refB_ppm,refFB_ppm,11306,223,0.2247905451392836,0.16031112179873622,0.16076617351644096,0.002830519056038927,0.1612877944047636,0.006055465074910393,-0.0032249460188714663,refB_ppm,0.16076617351644096,0.002830519056038927
10,fga_per_min,RATE,refA_fpm,refFA_fpm,11306,223,0.1394019216962251,0.09085269494255632,0.09233325174965508,0.01603492543632079,0.09210704278992274,0.013618370641073851,0.002416554795246939,refB_fpm,0.0916495569042523,0.00869466245787176
10,fga_per_min,RATE,refB_fpm,refFB_fpm,11306,223,0.1394019216962251,0.09085269494255632,0.0916495569042523,0.00869466245787176,0.09212249142271756,0.013783783531587157,-0.005089121073715397,refB_fpm,0.0916495569042523,0.00869466245787176
10,pts_per_fga,RATE,refA_ppf,refFA_ppf,11221,223,0.5984835371859581,0.4522590233803022,0.4614467319201455,0.019910659030159206,0.4629290573928944,0.023048961481664798,-0.0031383024515055924,refB_ppf,0.4540784666723578,0.004006891816273672
10,pts_per_fga,RATE,refB_ppf,refFB_ppf,11221,223,0.5984835371859581,0.4522590233803022,0.4540784666723578,0.004006891816273672,0.45632694844047683,0.008914496665333838,-0.004907604849060165,refB_ppf,0.4540784666723578,0.004006891816273672
15,minutes,LEVEL,ref_minutes,refF_minutes,9636,203,6.760438432290128,4.675448463516092,4.926851189115355,0.05102705885549663,4.271565808241961,-0.09455142994515997,0.1455784888006566,refF_minutes,4.271565808241961,-0.09455142994515997
15,fga,LEVEL,ref_fga,refF_fga,9636,203,4.845494492207893,2.817354716377397,2.84819362940918,0.010827533884408158,2.7934131963479447,-0.008570704849806265,0.019398238734214424,refF_fga,2.7934131963479447,-0.008570704849806265
15,pts,LEVEL,ref_pts,refF_pts,9636,203,7.224920473301475,4.70605983571801,4.690602957376685,-0.003295286017977128,4.660743666492749,-0.009722948196239756,0.0064276621782626275,refF_pts,4.660743666492749,-0.009722948196239756
15,pts_per_min,RATE,refA_ppm,refFA_ppm,9636,203,0.21837242978376747,0.15536306960705545,0.15668911952239578,0.008462935520872517,0.15672257587855307,0.008674603922737445,-0.0002116684018649284,refB_ppm,0.15562767832745408,0.0017002677367059515
15,pts_per_min,RATE,refB_ppm,refFB_ppm,9636,203,0.21837242978376747,0.15536306960705545,0.15562767832745408,0.0017002677367059515,0.15660603118785235,0.007936869170165894,-0.006236601433459943,refB_ppm,0.15562767832745408,0.0017002677367059515
15,fga_per_min,RATE,refA_fpm,refFA_fpm,9636,203,0.13538519286671452,0.0870211172798969,0.08826919522347312,0.014139450806325282,0.08888418399141197,0.020960609951654385,-0.006821159145329103,refB_fpm,0.0878230123828075,0.009130808442498584
15,fga_per_min,RATE,refB_fpm,refFB_fpm,9636,203,0.13538519286671452,0.0870211172798969,0.0878230123828075,0.009130808442498584,0.08886935867722717,0.020797285193010828,-0.011666476750512245,refB_fpm,0.0878230123828075,0.009130808442498584
15,pts_per_fga,RATE,refA_ppf,refFA_ppf,9610,203,0.5418964602199925,0.41709798838570933,0.42547057674950234,0.019678419193537855,0.42240242143968804,0.012557771415938945,0.00712064777759891,refB_ppf,0.4184512123784664,0.0032338871360064747
15,pts_per_fga,RATE,refB_ppf,refFB_ppf,9610,203,0.5418964602199925,0.41709798838570933,0.4184512123784664,0.0032338871360064747,0.4185272313609123,0.003414934245868695,-0.00018104710986222017,refB_ppf,0.4184512123784664,0.0032338871360064747
20,minutes,LEVEL,ref_minutes,refF_minutes,7849,186,5.35122051523248,4.644990381958239,4.908045096664328,0.053596637668400615,3.7551614580217976,-0.23696156180863648,0.2905581994770371,refF_minutes,3.7551614580217976,-0.23696156180863648
20,fga,LEVEL,ref_fga,refF_fga,7849,186,4.723477103194608,2.929609933924393,2.9600791924786756,0.010293393038842469,2.8450863177182613,-0.029708629815463405,0.040002022854305874,refF_fga,2.8450863177182613,-0.029708629815463405
20,pts,LEVEL,ref_pts,refF_pts,7849,186,7.172919695268918,4.947138843996414,4.936124020668024,-0.002231472159587078,4.853305298028362,-0.0193339467035325,0.017102474543945423,refF_pts,4.853305298028362,-0.0193339467035325
20,pts_per_min,RATE,refA_ppm,refFA_ppm,7849,186,0.214887204994688,0.15160721184570303,0.15318895670102975,0.010325449623720062,0.15412197695318022,0.01631671976437954,-0.005991270140659477,refB_ppm,0.15228241101257237,0.0044338618122719
20,pts_per_min,RATE,refB_ppm,refFB_ppm,7849,186,0.214887204994688,0.15160721184570303,0.15228241101257237,0.0044338618122719,0.15396416180992545,0.015308432407355688,-0.010874570595083788,refB_ppm,0.15228241101257237,0.0044338618122719
20,fga_per_min,RATE,refA_fpm,refFA_fpm,7849,186,0.13309179748224445,0.0839206530491165,0.08505049239243112,0.013284336298741595,0.0864177828033174,0.028896017384341333,-0.015611681085599738,refB_fpm,0.08481583560034345,0.010554427070023742
20,fga_per_min,RATE,refB_fpm,refFB_fpm,7849,186,0.13309179748224445,0.0839206530491165,0.08481583560034345,0.010554427070023742,0.08636396425443454,0.028290864441098074,-0.01773643737107433,refB_fpm,0.08481583560034345,0.010554427070023742
20,pts_per_fga,RATE,refA_ppf,refFA_ppf,7839,186,0.5005092688263421,0.3863147729042811,0.3946921749448372,0.02122515360667321,0.39280643187042646,0.016526356086467353,0.004698797520205855,refB_ppf,0.38953058111167344,0.008255598824140509
20,pts_per_fga,RATE,refB_ppf,refFB_ppf,7839,186,0.5005092688263421,0.3863147729042811,0.38953058111167344,0.008255598824140509,0.38989612036936955,0.00918538882022124,-0.0009297899960807321,refB_ppf,0.38953058111167344,0.008255598824140509
25,minutes,LEVEL,ref_minutes,refF_minutes,5949,169,4.040567972900018,4.643140096796166,4.878802633872702,0.04830335530287111,3.0539509757494963,-0.5203715232058213,0.5686748785086924,refF_minutes,3.0539509757494963,-0.5203715232058213
25,fga,LEVEL,ref_fga,refF_fga,5949,169,4.62730543149296,3.0441299590449966,3.076057026316531,0.010379218264937706,2.8904210590633888,-0.05317872269842083,0.06355794096335854,refF_fga,2.8904210590633888,-0.05317872269842083
25,pts,LEVEL,ref_pts,refF_pts,5949,169,7.14483378345055,5.165956930598312,5.144748242364894,-0.004122395739168061,5.006472995114412,-0.03185554693684223,0.027733151197674166,refF_pts,5.006472995114412,-0.03185554693684223
25,pts_per_min,RATE,refA_ppm,refFA_ppm,5949,169,0.20956330916653113,0.1473980503585034,0.14906093787718452,0.011155756446744158,0.150752834123042,0.02225353695042631,-0.011097780503682153,refB_ppm,0.1481589599409401,0.005135764875374593
25,pts_per_min,RATE,refB_ppm,refFB_ppm,5949,169,0.20956330916653113,0.1473980503585034,0.1481589599409401,0.005135764875374593,0.1506353099560758,0.021490708908265654,-0.01635494403289106,refB_ppm,0.1481589599409401,0.005135764875374593
25,fga_per_min,RATE,refA_fpm,refFA_fpm,5949,169,0.13070243556445366,0.08182530734347757,0.08295938196934187,0.013670239567158404,0.08472947100062689,0.03427572039400362,-0.020605480826845213,refB_fpm,0.08271596143386431,0.010767620601241146
25,fga_per_min,RATE,refB_fpm,refFB_fpm,5949,169,0.13070243556445366,0.08182530734347757,0.08271596143386431,0.010767620601241146,0.08469646660014575,0.03389939830929434,-0.02313177770805319,refB_fpm,0.08271596143386431,0.010767620601241146
25,pts_per_fga,RATE,refA_ppf,refFA_ppf,5946,169,0.45072807300406076,0.3579275137327331,0.36562214807253707,0.021045317906390526,0.36292967839946605,0.013782737991537841,0.007262579914852685,refFB_ppf,0.3610943935443789,0.008770227032773192
25,pts_per_fga,RATE,refB_ppf,refFB_ppf,5946,169,0.45072807300406076,0.3579275137327331,0.3613598867437987,0.0094984892816814,0.3610943935443789,0.008770227032773192,0.0007282622489082069,refFB_ppf,0.3610943935443789,0.008770227032773192
30,minutes,LEVEL,ref_minutes,refF_minutes,3804,148,2.8917058902536947,4.799955750367826,5.065238475715934,0.05237319558001896,2.2587342463149986,-1.12506440640314,1.1774376019831592,refF_minutes,2.2587342463149986,-1.12506440640314
30,fga,LEVEL,ref_fga,refF_fga,3804,148,4.678521423755707,3.1890661657961363,3.2093243295239375,0.0063122831000400614,3.002365637752988,-0.06218447403457428,0.06849675713461434,refF_fga,3.002365637752988,-0.06218447403457428
30,pts,LEVEL,ref_pts,refF_pts,3804,148,7.235623288984438,5.401846551064775,5.3516174374538075,-0.009385781812323524,5.228893666992382,-0.033076381943692335,0.02369060013136881,refF_pts,5.228893666992382,-0.033076381943692335
30,pts_per_min,RATE,refA_ppm,refFA_ppm,3804,148,0.20560989574863286,0.1435795376318627,0.14455294485042341,0.006733914826625886,0.149932375199656,0.042371352813784124,-0.03563743798715824,refB_ppm,0.14389489563984892,0.0021915857861665167
30,pts_per_min,RATE,refB_ppm,refFB_ppm,3804,148,0.20560989574863286,0.1435795376318627,0.14389489563984892,0.0021915857861665167,0.14982588558835,0.04169071273604397,-0.03949912694987745,refB_ppm,0.14389489563984892,0.0021915857861665167
30,fga_per_min,RATE,refA_fpm,refFA_fpm,3804,148,0.12999056164569323,0.07986133043841116,0.08061481399758728,0.009346713362120673,0.08528614454777933,0.06360721472558839,-0.05426050136346772,refB_fpm,0.08047136576170784,0.007580775068527057
30,fga_per_min,RATE,refB_fpm,refFB_fpm,3804,148,0.12999056164569323,0.07986133043841116,0.08047136576170784,0.007580775068527057,0.08520365216859965,0.06270061897836476,-0.05511984390983771,refB_fpm,0.08047136576170784,0.007580775068527057
30,pts_per_fga,RATE,refA_ppf,refFA_ppf,3802,148,0.42104545023815215,0.3301909960828211,0.3362653279017444,0.018064103893275063,0.34095742004075835,0.03157703374412624,-0.013512929850851174,refB_ppf,0.33255463265616036,0.007107513596970705
30,pts_per_fga,RATE,refB_ppf,refFB_ppf,3802,148,0.42104545023815215,0.3301909960828211,0.33255463265616036,0.007107513596970705,0.3393692852872427,0.027045138149886183,-0.01993762455291548,refB_ppf,0.33255463265616036,0.007107513596970705
