relationship,x,n_distinct,status,recommended_level,recommended_keys,row_null_anticonservative,constant_levels
R01_prior_efficiency_persistence,refA_ppm,11675,NO_COARSER_LEVEL_EXISTS__ROW_NULL_IS_ANTICONSERVATIVE,,,True,
R02_opp_efg_allowed,A01_opp_efg_allowed,1257,COARSER_LEVEL_FOUND,team_game,team_id|game_id,False,team_game
R03_opp_ts_allowed,A02_opp_ts_allowed,1284,COARSER_LEVEL_FOUND,team_game,team_id|game_id,False,team_game
R04_opp_defrtg,A10_opp_defrtg,1284,COARSER_LEVEL_FOUND,team_game,team_id|game_id,False,team_game
R05_teammate_volume_pregame,P01_c04_prevgame,11481,NO_COARSER_LEVEL_EXISTS__ROW_NULL_IS_ANTICONSERVATIVE,,,True,
R06_own_usage,O01_own_usg_pg,10326,NO_COARSER_LEVEL_EXISTS__ROW_NULL_IS_ANTICONSERVATIVE,,,True,
NC1_noise_eff_frame,G01_noise,11738,NO_COARSER_LEVEL_EXISTS__ROW_NULL_IS_ANTICONSERVATIVE,,,True,
NC2_noise_tv_frame,G01_noise_tvframe,11738,NO_COARSER_LEVEL_EXISTS__ROW_NULL_IS_ANTICONSERVATIVE,,,True,
