floor,n,n_players,ppm_sd,ppm_var_total,ppm_var_between,ppm_var_within,ppm_icc,pts_sd,pts_var_total,pts_var_between,pts_var_within,pts_icc,minutes_sd,minutes_mean
0,13879,236,0.26394954724596925,0.06966936349135215,0.01631362964901082,0.05335573384234133,0.23415786841565994,7.580032388669301,57.45689101327564,29.19500930235777,28.26188171091787,0.5081202408882888,10.762943789412095,21.44873549967577
10,11306,223,0.2247905451392836,0.050530789184016295,0.01386970456396887,0.03666108462004743,0.27448026812840837,7.342081018622693,53.906153684019635,23.402457946079583,30.503695737940042,0.4341333288822124,8.175275273230485,25.143964856418417
15,9636,203,0.21837242978376747,0.04768651808966645,0.013429527111455538,0.03425699097821091,0.28162104614565436,7.224920473301475,52.19947584553082,20.47075995539752,31.728715890133312,0.39216409022908166,6.760438432290128,27.329692472671926
20,7849,186,0.214887204994688,0.046176510870429066,0.013175215254958746,0.03300129561547032,0.28532288400759204,7.172919695268918,51.45077695477676,18.047493220998792,33.403283733777975,0.35077202501454624,5.35122051523248,29.567530895655494
25,5949,169,0.20956330916653113,0.04391678054882711,0.012694525220414424,0.031222255328412694,0.28905864823812677,7.14483378345055,51.0486497931363,16.365959747739577,34.682690045396726,0.32059535000551664,4.040567972900018,31.81061803104163
30,3804,148,0.20560989574863286,0.04227542922976368,0.012770649750165576,0.02950477947959811,0.3020820836793421,7.235623288984438,52.35424438009397,16.354450424748208,35.999793955345766,0.3123806029175825,2.8917058902536947,34.2104013319313
