stratum,n,sd_points_response,sd_points_adjustment_A,one_sd_signal_moves_points_A,ceiling_dR2_A,sd_points_adjustment_B,one_sd_signal_moves_points_B,ceiling_dR2_B,sd_points_adjustment_C,one_sd_signal_moves_points_C,ceiling_dR2_C
"DECISION-RELEVANT (>=8 prior, trail5 min >=24)",5107,7.582163394746331,0.0857150900496628,0.0857150900496628,0.00012779924645427748,0.12443069880649345,0.12443069880649345,0.0002693201216160253,0.09940512095793158,0.09940512095793158,0.00017188233220830567
OFF-STRATUM (everything else),8772,6.017904829424523,0.062059155153751995,0.062059155153751995,0.00010634598237774355,0.08579464445757609,0.08579464445757609,0.00020324961287385813,0.07242924579593348,0.07242924579593348,0.0001448562690737898
POOLED,13879,7.580032388669301,0.07168343423960057,0.07168343423960057,8.943252330161521e-05,0.10173358414292134,0.10173358414292134,0.00018013021519339628,0.08337811296450057,0.08337811296450057,0.00012099348918678444
