target,spec,n,cluster,reference,r2_baseline,r2_candidate,dr2_candidate_minus_baseline,mae_baseline,mae_candidate,mae_reference,skill_baseline,skill_candidate,d_skill,p_two_sided_cluster,n_clusters,null_sd_cluster,p_row_level_NAIVE,inflation_cluster_over_row,stratum
pts,A,5107,opp_team_season,ref_pts,0.3009512978433828,0.3006670501685891,-0.0002842476747937381,5.0097913607053295,5.010453656054256,4.991879180776316,-0.0035882639143178796,-0.0037209384693184244,-0.00013267455500054481,0.47630473905218956,36,0.00039179169553714866,0.27954409118176365,1.4738859016239267,"DECISION-RELEVANT (>=8 prior, trail5 min >=24)"
pts,B,5107,opp_team_season,ref_pts,0.3009512978433828,0.30109188595625014,0.00014058811286733343,5.0097913607053295,5.011693958178331,4.991879180776316,-0.0035882639143178796,-0.003969402440331837,-0.0003811385260139577,0.8020395920815837,36,0.0005444402555684508,0.7316536692661467,1.3813599979400013,"DECISION-RELEVANT (>=8 prior, trail5 min >=24)"
pts,C,5107,opp_team_season,ref_pts,0.3009512978433828,0.3007297155602523,-0.00022158228313048643,5.0097913607053295,5.009557858051393,4.991879180776316,-0.0035882639143178796,-0.0035414874108246064,4.6776503493273225e-05,0.6164767046590682,36,0.00044652058109121307,0.46970605878824234,1.4374819237492547,"DECISION-RELEVANT (>=8 prior, trail5 min >=24)"
pts,U,5107,opp_team_season,ref_pts,0.3009512978433828,0.29298854266858365,-0.007962755174799174,5.0097913607053295,5.062172993676213,4.991879180776316,-0.0035882639143178796,-0.014081633459919862,-0.010493369545601983,0.004199160167966407,36,0.0028580319553016876,0.0001999600079984003,1.833735441271942,"DECISION-RELEVANT (>=8 prior, trail5 min >=24)"
pts,A,8772,opp_team_season,ref_pts,0.31405072162538916,0.3137663080577491,-0.00028441356764013776,3.714178019507443,3.7151500321781605,3.7099064103290615,-0.001151406182778203,-0.0014134108166448112,-0.0002620046338666082,0.3145370925814837,36,0.00027367207493529487,0.17636472705458908,1.31370934470377,OFF-STRATUM (everything else)
pts,B,8772,opp_team_season,ref_pts,0.31405072162538916,0.3136343035644694,-0.000416418060919785,3.714178019507443,3.7158715135085476,3.7099064103290615,-0.001151406182778203,-0.0016078850838063818,-0.0004564789010281789,0.3759248150369926,36,0.0004450844366377095,0.23435312937412517,1.297477406403812,OFF-STRATUM (everything else)
pts,C,8772,opp_team_season,ref_pts,0.31405072162538916,0.31385009459625146,-0.0002006270291377652,3.714178019507443,3.7148069532456716,3.7099064103290615,-0.001151406182778203,-0.0013209343780118399,-0.00016952819523363694,0.5448910217956409,36,0.0003232802832323398,0.41731653669266144,1.3161741128539992,OFF-STRATUM (everything else)
pts,U,8772,opp_team_season,ref_pts,0.31405072162538916,0.3145641939160484,0.0005134722906591934,3.714178019507443,3.72708172168857,3.7099064103290615,-0.001151406182778203,-0.00462958076561959,-0.003478174582841387,0.6840631873625275,36,0.0011894994126195305,0.5732853429314138,1.3191037541433228,OFF-STRATUM (everything else)
pts,A,13879,opp_team_season,ref_pts,0.4694094384707139,0.4691915014402561,-0.00021793703045778408,4.190919667572693,4.191777714801924,4.181628792249526,-0.0022218316796525084,-0.002427026179657288,-0.00020519450000477946,0.21675664867026595,36,0.000173084451761503,0.09218156368726255,1.3524685668358687,POOLED
pts,B,13879,opp_team_season,ref_pts,0.4694094384707139,0.46929531040641803,-0.0001141280642959233,4.190919667572693,4.19269010454022,4.181628792249526,-0.0022218316796525084,-0.0026452162160341963,-0.00042338453638168794,0.7248550289942012,36,0.0003181776572391137,0.5714857028594281,1.585017705378117,POOLED
pts,C,13879,opp_team_season,ref_pts,0.4694094384707139,0.4692479471068831,-0.00016149136383084446,4.190919667572693,4.1912312540485255,4.181628792249526,-0.0022218316796525084,-0.002296344863704114,-7.451318405160556e-05,0.42551489702059586,36,0.0001972906786686472,0.28114377124575085,1.3193330348577619,POOLED
pts,U,13879,opp_team_season,ref_pts,0.4694094384707139,0.46668267499210536,-0.002726763478608714,4.190919667572693,4.218349905710538,4.181628792249526,-0.0022218316796525084,-0.008781533532835839,-0.006559701853183331,0.033593281343731254,36,0.0012889957411051066,0.0001999600079984003,1.9053674083707959,POOLED
