stratum,n,sd_fg_points_DIAG,sd_total_points,one_sd_move_points_A,ceiling_dR2_vs_fg_points_A,ceiling_dR2_vs_total_points_A,ceiling_dR2_vs_D079_denominator_A,one_sd_move_points_B,ceiling_dR2_vs_fg_points_B,ceiling_dR2_vs_total_points_B,ceiling_dR2_vs_D079_denominator_B,one_sd_move_points_C,ceiling_dR2_vs_fg_points_C,ceiling_dR2_vs_total_points_C,ceiling_dR2_vs_D079_denominator_C
"DECISION-RELEVANT (>=8 prior, trail5 min >=24)",5107,6.417080789825266,7.582163394746331,0.0857150900496628,0.00017841836590491318,0.00012779924645427748,0.00021690451996970398,0.12443069880649345,0.0003759932655098642,0.0002693201216160253,0.00045709777888405567,0.09940512095793158,0.000239962016141488,0.00017188233220830567,0.000291723588309686
OFF-STRATUM (everything else),8772,5.121145160151915,6.017904829424523,0.062059155153751995,0.00014685121550967806,0.00010634598237774355,0.00011370138337990405,0.08579464445757609,0.00028066366058266946,0.00020324961287385813,0.0002173073362856453,0.07242924579593348,0.0002000293637057507,0.0001448562690737898,0.00015487522722239187
POOLED,13879,6.381803181077001,7.580032388669301,0.07168343423960057,0.00012616845785136515,8.943252330161521e-05,0.00015170211571613283,0.10173358414292134,0.00025412177387345273,0.00018013021519339628,0.0003055503047485521,0.08337811296450057,0.00017069362886327856,0.00012099348918678444,0.00020523817980187456
