era,cutoff,variant,variant_mae_universe,n_games_universe,threshold,n_bets,wins,losses,pushes,hit_rate,roi,total_profit_units,small_n_flag
extension,T-24h,v1_none,10.825479821405883,286,0.5,251,138,113,0,0.549800796812749,0.04961970300615719,12.454545454545453,False
extension,T-24h,v1_none,10.825479821405883,286,1.0,227,121,106,0,0.5330396475770925,0.017621145374449334,3.999999999999999,False
extension,T-24h,v1_none,10.825479821405883,286,1.5,199,101,98,0,0.507537688442211,-0.031064412973960703,-6.18181818181818,False
extension,T-24h,v1_none,10.825479821405883,286,2.0,169,81,88,0,0.47928994082840237,-0.0849919311457773,-14.363636363636363,False
extension,T-24h,v1_none,10.825479821405883,286,3.0,127,61,66,0,0.48031496062992124,-0.08303507516105943,-10.545454545454547,False
extension,T-24h,v2_reconstructed,10.83424165846538,286,0.5,255,140,115,0,0.5490196078431373,0.0481283422459893,12.272727272727272,False
extension,T-24h,v2_reconstructed,10.83424165846538,286,1.0,228,122,106,0,0.5350877192982456,0.021531100478468897,4.909090909090908,False
extension,T-24h,v2_reconstructed,10.83424165846538,286,1.5,198,101,97,0,0.51010101010101,-0.02617079889807163,-5.1818181818181825,False
extension,T-24h,v2_reconstructed,10.83424165846538,286,2.0,173,85,88,0,0.4913294797687861,-0.062007356805044656,-10.727272727272725,False
extension,T-24h,v2_reconstructed,10.83424165846538,286,3.0,118,54,64,0,0.4576271186440678,-0.1263482280431433,-14.90909090909091,False
extension,T-24h,v3_pregame_oracle,10.804572146236058,286,0.5,258,144,114,0,0.5581395348837209,0.06553911205073996,16.90909090909091,False
extension,T-24h,v3_pregame_oracle,10.804572146236058,286,1.0,235,130,105,0,0.5531914893617021,0.05609284332688587,13.18181818181818,False
extension,T-24h,v3_pregame_oracle,10.804572146236058,286,1.5,197,103,94,0,0.5228426395939086,-0.0018458698661744353,-0.36363636363636376,False
extension,T-24h,v3_pregame_oracle,10.804572146236058,286,2.0,168,83,85,0,0.49404761904761907,-0.056818181818181816,-9.545454545454545,False
extension,T-24h,v3_pregame_oracle,10.804572146236058,286,3.0,119,55,64,0,0.46218487394957986,-0.11764705882352941,-14.0,False
extension,T-24h,v4_omniscient,10.741110252405294,286,0.5,257,142,115,0,0.5525291828793775,0.05482844004244783,14.090909090909092,False
extension,T-24h,v4_omniscient,10.741110252405294,286,1.0,227,124,103,0,0.5462555066079295,0.04285142170604727,9.72727272727273,False
extension,T-24h,v4_omniscient,10.741110252405294,286,1.5,200,106,94,0,0.53,0.011818181818181821,2.363636363636364,False
extension,T-24h,v4_omniscient,10.741110252405294,286,2.0,171,89,82,0,0.52046783625731,-0.00637958532695375,-1.0909090909090913,False
extension,T-24h,v4_omniscient,10.741110252405294,286,3.0,116,60,56,0,0.5172413793103449,-0.012539184952978052,-1.4545454545454541,False
extension,T-8h,v1_none,10.601732297227242,336,0.5,303,156,145,2,0.5182724252491694,-0.010501050105010495,-3.18181818181818,False
extension,T-8h,v1_none,10.601732297227242,336,1.0,267,141,124,2,0.5320754716981132,0.01566224038134151,4.181818181818183,False
extension,T-8h,v1_none,10.601732297227242,336,1.5,234,121,111,2,0.521551724137931,-0.004273504273504266,-0.9999999999999982,False
extension,T-8h,v1_none,10.601732297227242,336,2.0,210,109,99,2,0.5240384615384616,0.00043290043290043566,0.0909090909090915,False
extension,T-8h,v1_none,10.601732297227242,336,3.0,159,84,74,1,0.5316455696202531,0.014865637507146947,2.3636363636363646,False
extension,T-8h,v2_reconstructed,10.627855344942255,336,0.5,300,158,140,2,0.5302013422818792,0.012121212121212132,3.6363636363636394,False
extension,T-8h,v2_reconstructed,10.627855344942255,336,1.0,269,143,124,2,0.5355805243445693,0.022304832713754656,6.000000000000003,False
extension,T-8h,v2_reconstructed,10.627855344942255,336,1.5,232,119,111,2,0.5173913043478261,-0.012147335423197488,-2.818181818181817,False
extension,T-8h,v2_reconstructed,10.627855344942255,336,2.0,206,105,99,2,0.5147058823529411,-0.01721094439541041,-3.5454545454545445,False
extension,T-8h,v2_reconstructed,10.627855344942255,336,3.0,147,75,71,1,0.5136986301369864,-0.0191713048855906,-2.8181818181818183,False
extension,T-8h,v3_pregame_oracle,10.587699245158015,336,0.5,300,161,137,2,0.540268456375839,0.031212121212121212,9.363636363636363,False
extension,T-8h,v3_pregame_oracle,10.587699245158015,336,1.0,267,143,122,2,0.539622641509434,0.029962546816479408,8.000000000000002,False
extension,T-8h,v3_pregame_oracle,10.587699245158015,336,1.5,234,123,109,2,0.5301724137931034,0.012043512043512063,2.818181818181823,False
extension,T-8h,v3_pregame_oracle,10.587699245158015,336,2.0,200,106,92,2,0.5353535353535354,0.02181818181818182,4.363636363636364,False
extension,T-8h,v3_pregame_oracle,10.587699245158015,336,3.0,148,75,72,1,0.5102040816326531,-0.0257985257985258,-3.8181818181818183,False
extension,T-8h,v4_omniscient,10.510899132669255,336,0.5,302,158,142,2,0.5266666666666666,0.0054184226369656885,1.636363636363638,False
extension,T-8h,v4_omniscient,10.510899132669255,336,1.0,270,148,120,2,0.5522388059701493,0.05387205387205388,14.545454545454547,False
extension,T-8h,v4_omniscient,10.510899132669255,336,1.5,231,128,101,2,0.5589519650655022,0.06650924832743015,15.363636363636365,False
extension,T-8h,v4_omniscient,10.510899132669255,336,2.0,196,106,88,2,0.5463917525773195,0.04267161410018553,8.363636363636363,False
extension,T-8h,v4_omniscient,10.510899132669255,336,3.0,141,79,61,1,0.5642857142857143,0.07672469374597034,10.818181818181818,False
old,T-64m,v1_none,9.717665830515388,285,0.5,268,139,129,0,0.5186567164179104,-0.009837177747625523,-2.6363636363636402,False
old,T-64m,v1_none,9.717665830515388,285,1.0,239,124,115,0,0.5188284518828452,-0.009509319132750113,-2.272727272727277,False
old,T-64m,v1_none,9.717665830515388,285,1.5,217,113,104,0,0.5207373271889401,-0.005865102639296207,-1.272727272727277,False
old,T-64m,v1_none,9.717665830515388,285,2.0,188,99,89,0,0.526595744680851,0.005319148936170203,0.9999999999999982,False
old,T-64m,v1_none,9.717665830515388,285,3.0,149,77,72,0,0.5167785234899329,-0.013422818791946333,-2.0000000000000036,False
old,T-64m,v2_reconstructed,9.648128969283697,285,0.5,262,138,124,0,0.5267175572519084,0.005551700208188766,1.4545454545454568,False
old,T-64m,v2_reconstructed,9.648128969283697,285,1.0,242,128,114,0,0.5289256198347108,0.00976709241172051,2.3636363636363633,False
old,T-64m,v2_reconstructed,9.648128969283697,285,1.5,215,111,104,0,0.5162790697674419,-0.014376321353065552,-3.0909090909090935,False
old,T-64m,v2_reconstructed,9.648128969283697,285,2.0,191,100,91,0,0.5235602094240838,-0.0004759638267491806,-0.09090909090909349,False
old,T-64m,v2_reconstructed,9.648128969283697,285,3.0,137,75,62,0,0.5474452554744526,0.045122760451227595,6.181818181818181,False
old,T-64m,v3_pregame_oracle,9.629636114990332,285,0.5,258,138,120,0,0.5348837209302325,0.021141649048625803,5.454545454545457,False
old,T-64m,v3_pregame_oracle,9.629636114990332,285,1.0,232,124,108,0,0.5344827586206896,0.02037617554858934,4.727272727272727,False
old,T-64m,v3_pregame_oracle,9.629636114990332,285,1.5,206,111,95,0,0.5388349514563107,0.02868490732568402,5.909090909090908,False
old,T-64m,v3_pregame_oracle,9.629636114990332,285,2.0,187,94,93,0,0.5026737967914439,-0.040350024307243576,-7.5454545454545485,False
old,T-64m,v3_pregame_oracle,9.629636114990332,285,3.0,139,72,67,0,0.5179856115107914,-0.011118378024852861,-1.5454545454545476,False
old,T-64m,v4_omniscient,9.703795973750584,285,0.5,260,134,126,0,0.5153846153846153,-0.01608391608391609,-4.181818181818183,False
old,T-64m,v4_omniscient,9.703795973750584,285,1.0,233,118,115,0,0.5064377682403434,-0.03316426063207178,-7.727272727272725,False
old,T-64m,v4_omniscient,9.703795973750584,285,1.5,209,113,96,0,0.5406698564593302,0.0321879077859939,6.727272727272724,False
old,T-64m,v4_omniscient,9.703795973750584,285,2.0,179,93,86,0,0.5195530726256983,-0.00812595226003047,-1.4545454545454541,False
old,T-64m,v4_omniscient,9.703795973750584,285,3.0,145,72,73,0,0.496551724137931,-0.052037617554858945,-7.545454545454547,False
