era,cutoff,game_id,game_date,season,season_type,model_margin,market_margin,consensus_home_spread,n_books,edge,side,margin_true,cons_outcome,cons_profit_m110,be_book,be_line_margin,be_price,be_outcome,be_profit,clv_pts
old,T-64m,1022400028,2024-05-25,2024,Regular Season,1.4878091936952025,8.541666666666666,-8.541666666666666,12,-7.053857472971464,away,32.0,loss,-1.0,betrivers,9.0,-114.0,loss,-1.0,
old,T-64m,1022400032,2024-05-28,2024,Regular Season,5.132446418276836,7.75,-7.75,12,-2.617553581723164,away,23.0,loss,-1.0,superbook,8.0,-110.0,loss,-1.0,
old,T-64m,1022400033,2024-05-28,2024,Regular Season,-1.0727695026817603,5.416666666666667,-5.416666666666667,12,-6.489436169348427,away,-6.0,win,0.9090909090909091,williamhill_us,5.5,-105.0,win,0.9523809523809523,
old,T-64m,1022400035,2024-05-29,2024,Regular Season,6.467161722532994,14.076923076923077,-14.076923076923077,13,-7.609761354390082,away,3.0,win,0.9090909090909091,williamhill_us,14.5,-110.0,win,0.9090909090909091,
old,T-64m,1022400038,2024-05-30,2024,Regular Season,-2.741420658691736,-5.576923076923077,5.576923076923077,13,2.8355024182313406,home,-15.0,loss,-1.0,unibet_us,-6.0,-117.0,loss,-1.0,
old,T-64m,1022400039,2024-05-30,2024,Regular Season,2.4893913960029783,4.5,-4.5,13,-2.0106086039970217,away,10.0,loss,-1.0,lowvig,4.5,-108.0,loss,-1.0,
old,T-64m,1022400040,2024-05-31,2024,Regular Season,-7.411367209140198,-8.541666666666666,8.541666666666666,12,1.1302994575264682,home,4.0,win,0.9090909090909091,fanduel,-9.0,-110.0,win,0.9090909090909091,
old,T-64m,1022400041,2024-05-31,2024,Regular Season,4.753074915261182,8.423076923076923,-8.423076923076923,13,-3.670002007815741,away,2.0,win,0.9090909090909091,betmgm,8.5,-105.0,win,0.9523809523809523,
old,T-64m,1022400042,2024-05-31,2024,Regular Season,9.262351695700898,13.26923076923077,-13.26923076923077,13,-4.006879073529872,away,11.0,win,0.9090909090909091,lowvig,13.5,-108.0,win,0.9259259259259259,
old,T-64m,1022400043,2024-05-31,2024,Regular Season,9.033307043561509,6.666666666666667,-6.666666666666667,12,2.366640376894842,home,24.0,win,0.9090909090909091,williamhill_us,6.0,-110.0,win,0.9090909090909091,
old,T-64m,1022400044,2024-06-01,2024,Regular Season,-2.7327887020264985,-1.2307692307692308,1.2307692307692308,13,-1.5020194712572676,away,1.0,loss,-1.0,bovada,-1.0,-105.0,loss,-1.0,
old,T-64m,1022400045,2024-06-02,2024,Regular Season,-0.4577349716066992,-3.0416666666666665,3.0416666666666665,12,2.5839316950599676,home,-19.0,loss,-1.0,fanduel,-3.5,-112.0,loss,-1.0,
old,T-64m,1022400046,2024-06-02,2024,Regular Season,9.84972669807374,14.5,-14.5,12,-4.65027330192626,away,36.0,loss,-1.0,lowvig,15.0,-108.0,loss,-1.0,
old,T-64m,1022400047,2024-06-02,2024,Regular Season,7.412069144197012,6.416666666666667,-6.416666666666667,12,0.9954024775303454,home,11.0,win,0.9090909090909091,wynnbet,6.0,-110.0,win,0.9090909090909091,
old,T-64m,1022400048,2024-06-02,2024,Regular Season,-1.2655683251477428,4.625,-4.625,12,-5.8905683251477425,away,19.0,loss,-1.0,wynnbet,5.5,-110.0,loss,-1.0,
