era,cutoff,basis,threshold,n_games_eligible,n_bets,n_home,n_away,wins,losses,pushes,hit_rate,total_profit_units,roi,roi_ci90_low,roi_ci90_high,mean_clv_pts,pct_clv_positive,clv_measurable,small_n_flag
extension,T-24h,consensus_m110,0.5,262,262,123,139,146,116,0,0.5572519083969466,16.727272727272727,0.06384455239417071,-0.01985370950888192,0.14414506071545774,0.01949401319630327,0.5152671755725191,True,False
extension,T-24h,actual_best_exec,0.5,262,262,123,139,147,115,0,0.5610687022900763,19.107244015501553,0.0729284122729067,-0.012859117715448013,0.15585591057132003,0.01949401319630327,0.5152671755725191,True,False
extension,T-24h,consensus_m110,1.0,262,238,110,128,129,109,0,0.542016806722689,8.272727272727272,0.03475935828877005,-0.053613053613053616,0.12040113235765408,0.02937932748857116,0.5210084033613446,True,False
extension,T-24h,actual_best_exec,1.0,262,238,110,128,130,108,0,0.5462184873949579,10.572662165465328,0.044422950275064405,-0.04575020245040895,0.1328344405601592,0.02937932748857116,0.5210084033613446,True,False
extension,T-24h,consensus_m110,1.5,262,208,95,113,107,101,0,0.5144230769230769,-3.727272727272727,-0.01791958041958042,-0.11205073995771668,0.07441860465116279,0.05173281579531577,0.5192307692307693,True,False
extension,T-24h,actual_best_exec,1.5,262,208,95,113,108,100,0,0.5192307692307693,-1.489609511473739,-0.0071615841897775916,-0.10572178989652642,0.08775899400585845,0.05173281579531577,0.5192307692307693,True,False
extension,T-24h,consensus_m110,2.0,262,178,79,99,87,91,0,0.4887640449438202,-11.90909090909091,-0.06690500510725231,-0.17877094972067037,0.04419889502762431,0.00873573212056358,0.5,True,False
extension,T-24h,actual_best_exec,2.0,262,178,79,99,88,90,0,0.4943820224719101,-9.67193767032035,-0.054336728484945786,-0.1665251365715688,0.05464120772633034,0.00873573212056358,0.5,True,False
extension,T-24h,consensus_m110,3.0,262,135,59,76,66,69,0,0.4888888888888889,-8.999999999999998,-0.06666666666666665,-0.20454545454545453,0.0652173913043478,0.07514416653305545,0.5481481481481482,True,False
extension,T-24h,actual_best_exec,3.0,262,135,59,76,66,69,0,0.4888888888888889,-8.59905564091658,-0.06369670845123393,-0.20177561096667068,0.06673581802277283,0.07514416653305545,0.5481481481481482,True,False
extension,T-8h,consensus_m110,0.5,321,321,149,172,167,152,2,0.5235109717868338,-0.18181818181818077,-0.0005664117813650491,-0.07764066073940797,0.07427168535013799,0.002146801796334484,0.4953271028037383,True,False
extension,T-8h,actual_best_exec,0.5,321,321,149,172,170,150,1,0.53125,4.431638127796292,0.01380572625481711,-0.06307755083521273,0.08837897597341192,0.002146801796334484,0.4953271028037383,True,False
extension,T-8h,consensus_m110,1.0,321,282,132,150,150,130,2,0.5357142857142857,6.363636363636363,0.022566086395873628,-0.05894196383326819,0.10186306981608992,0.029148693111459036,0.5,True,False
extension,T-8h,actual_best_exec,1.0,321,282,132,150,153,128,1,0.5444839857651246,11.069438768078705,0.039253328964818104,-0.04230145314968071,0.11991036191605856,0.029148693111459036,0.5,True,False
