era,cutoff,threshold,n_games_universe,n_dates,n_bets_v1,mae_v1,roi_v1,hit_v1,mae_span_across_variants,slope_roi_per_1mae,slope_roi_per_001mae,slope_hit_per_001mae,breakeven_dmae_roi,breakeven_dmae_roi_ci90_low,breakeven_dmae_roi_ci90_high,breakeven_dmae_hit,breakeven_dmae_hit_ci90_low,breakeven_dmae_hit_ci90_high,boot_draws_valid,pct_draws_roi_unidentified,pct_draws_hit_unidentified,extrapolation_flag
extension,T-24h,0.5,286,113,251,10.825479821405883,0.04961970300615719,0.549800796812749,0.09313140606008652,-0.05874636543664898,-0.0005874636543664898,-0.0003077190570491164,-0.8446429432245672,-2.6325217873867746,0.2254150158892683,-0.8446429432245577,-2.6325217873868296,0.22541501588926824,1000,0.307,0.307,LINEAR EXTRAPOLATION beyond the 0.07-MAE variant bracket
extension,T-24h,1.0,286,113,227,10.825479821405883,0.017621145374449334,0.5330396475770925,0.09313140606008652,-0.23897576553374864,-0.0023897576553374863,-0.0012517778194624932,-0.07373611853525307,-0.9165641526868755,0.35755996435782933,-0.07373611853525314,-0.9165641526868911,0.3575599643578328,1000,0.217,0.217,LINEAR EXTRAPOLATION beyond the 0.07-MAE variant bracket
extension,T-24h,1.5,286,113,199,10.825479821405883,-0.031064412973960703,0.507537688442211,0.09313140606008652,-0.43900921088558187,-0.004390092108855818,-0.002299572057019721,0.07076027610285598,-0.2535593390590999,0.5092537778171035,0.07076027610285603,-0.2535593390590986,0.5092537778171035,1000,0.131,0.131,LINEAR EXTRAPOLATION beyond the 0.07-MAE variant bracket
extension,T-24h,2.0,286,113,169,10.825479821405883,-0.0849919311457773,0.47928994082840237,0.09313140606008652,-0.7333017436740634,-0.007333017436740634,-0.003841104371626051,0.11590308066082324,-0.04407157373312084,0.6068746357171165,0.11590308066082317,-0.04407157373312091,0.6068746357171171,1000,0.119,0.119,LINEAR EXTRAPOLATION beyond the 0.07-MAE variant bracket
extension,T-24h,3.0,286,113,127,10.825479821405883,-0.08303507516105943,0.48031496062992124,0.09313140606008652,-1.0904141072526945,-0.010904141072526945,-0.005711692942752212,0.07615003750296925,-0.06664793511274615,0.45483211298696896,0.07615003750296928,-0.06664793511274597,0.4548321129869692,1000,0.075,0.075,LINEAR EXTRAPOLATION beyond the 0.07-MAE variant bracket
extension,T-8h,0.5,336,120,303,10.601732297227242,-0.010501050105010495,0.5182724252491694,0.11695621227299924,0.018399316540875427,0.00018399316540875426,9.704567581028144e-05,,-0.7380678896318268,1.5941527365634207,,-0.7378508965335238,1.5944736998365305,1000,0.456,0.456,LINEAR EXTRAPOLATION beyond the 0.07-MAE variant bracket
extension,T-8h,1.0,336,120,267,10.601732297227242,0.01566224038134151,0.5320754716981132,0.11695621227299924,-0.3078415167082,-0.003078415167082,-0.001624489164425624,-0.05087760919586294,-0.658137997373095,0.29087972341433277,-0.05088336733542931,-0.6580539323946966,0.2908806774640444,1000,0.134,0.134,LINEAR EXTRAPOLATION beyond the 0.07-MAE variant bracket
extension,T-8h,1.5,336,120,234,10.601732297227242,-0.004273504273504266,0.521551724137931,0.11695621227299924,-0.6998079740591456,-0.006998079740591456,-0.0036976594671118057,0.006106681306753847,-0.19531111948928806,0.1867211534255193,0.006106023801473326,-0.19517886701521128,0.18662905051529746,1000,0.038,0.038,LINEAR EXTRAPOLATION beyond the 0.07-MAE variant bracket
extension,T-8h,2.0,336,120,210,10.601732297227242,0.00043290043290043566,0.5240384615384616,0.11695621227299924,-0.487149004424223,-0.00487149004424223,-0.0025777859058189363,-0.0008886407012410803,-0.4086813759664884,0.2907762232618217,-0.0008881176998483004,-0.4075418882368902,0.29078266846827167,1000,0.08,0.08,LINEAR EXTRAPOLATION beyond the 0.07-MAE variant bracket
extension,T-8h,3.0,336,120,159,10.601732297227242,0.014865637507146947,0.5316455696202531,0.11695621227299924,-0.8166572859330397,-0.008166572859330397,-0.004308235982448095,-0.0182030305284827,-0.2816577308334296,0.2335252521811077,-0.018188525054462203,-0.2812680221512103,0.2335830519683546,1000,0.047,0.047,LINEAR EXTRAPOLATION beyond the 0.07-MAE variant bracket
