era,cutoff,games_in_era_odds,games_with_matched_line,line_coverage,lined_games_with_model_pred
extension,T-24h,406,326,0.8029556650246306,297
extension,T-8h,406,393,0.9679802955665024,355
extension,pretip,406,406,1.0,365
old,T-64m,813,813,1.0,307
