era,cutoff,season,n_games,n_dates,model_mae,market_mae,gap_model_minus_market,delta_mean,delta_ci90_low,delta_ci90_high,mean_n_books,median_mins_before_tip
extension,T-24h,2025,147,65,11.298556483841434,10.719329347900777,0.5792271359406573,-0.5792271359406578,-1.1489041280570007,-0.012878744441075124,8.36734693877551,1564.3666666666666
extension,T-24h,2026,150,57,10.343764097197369,10.22814345839346,0.11562063880390916,-0.11562063880391131,-0.5443154802491827,0.29132834706860233,9.08,1569.3916666666669
extension,T-24h,pooled,297,122,10.816338106748473,10.471255666331423,0.34508244041705005,-0.3450824404170485,-0.7055805730871257,0.006711656583384045,8.727272727272727,1564.4
extension,T-8h,2025,189,74,10.88578080308685,10.340067721813755,0.5457130812730959,-0.5457130812730994,-1.0907682546215198,0.0018220690101488977,10.465608465608465,604.35
extension,T-8h,2026,166,59,10.280080337252919,10.063428714859437,0.21665162239348135,-0.21665162239348174,-0.5940483140914329,0.16185866543519986,10.560240963855422,604.3833333333333
extension,T-8h,pooled,355,133,10.602551852865917,10.210709763632298,0.3918420892336183,-0.39184208923361613,-0.7147402648766736,-0.06071661188654793,10.509859154929577,604.3666666666667
extension,pretip,2025,197,75,10.839452929942748,10.356137517305031,0.48331541263771705,-0.4833154126377176,-1.0267955783589668,0.09206790748847905,10.918781725888325,124.36666666666666
extension,pretip,2026,168,59,10.243943971501645,10.019101731601731,0.22484223989991392,-0.22484223989991511,-0.5995359010390554,0.13696602795303195,10.946428571428571,124.4
extension,pretip,pooled,365,134,10.565355655920541,10.201008717310087,0.36434693861045453,-0.3643469386104551,-0.7198971301155026,-0.02020409152507406,10.931506849315069,124.38333333333334
old,T-64m,2024,228,88,8.954865548111584,8.39127889045652,0.5635866576550637,-0.563586657655063,-0.9414424722016194,-0.17679971633834665,10.605263157894736,64.36666666666666
old,T-64m,2025,79,28,11.20433531379705,11.082612517580872,0.12172279621617754,-0.1217227962161778,-1.0311033752588925,0.8570843836430038,9.620253164556962,64.38333333333334
old,T-64m,pooled,307,116,9.53371933146387,9.083837055091127,0.44988227637274214,-0.4498822763727439,-0.8025479961796925,-0.09974567177202981,10.351791530944626,64.38333333333334
