position_final,position_source,players,height_mean,height_min,height_max,weight_mean
C,master_starter_modal,55,76.76,74.0,82.0,195.78
F,master_starter_modal,109,73.59,67.0,78.0,175.04
Forward,api_commonplayerinfo,1,76.0,76.0,76.0,190.0
Forward-Guard,api_commonplayerinfo,1,72.0,72.0,72.0,180.0
G,master_starter_modal,86,69.41,64.0,73.0,152.89
Guard,api_commonplayerinfo,3,70.0,66.0,73.0,161.33
Guard-Forward,api_commonplayerinfo,1,73.0,73.0,73.0,170.0
,none,130,71.89,64.0,77.0,169.35
