season,n,height_min,height_max,height_mean,weight_min,weight_max,weight_mean,age_min,age_max,age_mean,n_range_violations
2021,159,65.0,82.0,72.53,123.0,245.0,172.8,20.0,41.0,27.64,0
2022,168,64.0,82.0,72.35,126.0,239.0,170.7,21.0,42.0,27.93,2
2023,164,65.0,83.0,72.71,0.0,245.0,171.0,21.0,42.0,27.98,1
2024,157,65.0,81.0,72.62,122.0,245.0,172.6,22.0,43.0,28.18,0
2025,184,66.0,81.0,72.65,130.0,245.0,173.1,20.0,38.0,28.43,0
2026,226,65.0,83.0,72.72,130.0,244.0,175.1,20.0,39.0,27.05,0
