season,master_player_ids,with_bios_row,with_height,pct_with_height,with_weight,with_age_or_birthdate,with_draft_year,with_position_raw,from_fallback
2021,159,159,158,99.37,156,159,149,3,4
2022,168,168,167,99.4,161,168,149,2,2
2023,164,164,164,100.0,163,164,144,8,8
2024,157,157,157,100.0,148,157,140,0,0
2025,184,184,184,100.0,142,184,153,2,2
2026,226,226,225,99.56,169,226,176,2,3
ALL,386,1058,1055,99.72,939,1058,911,17,19
