season,master_games,with_tip_time,without_tip_time,pct_covered,matinee_share_pct,median_tip_hour
2021,209,0,209,0.0,,
2022,239,180,59,75.3,28.9,19.0
2023,260,259,1,99.6,32.4,19.0
2024,262,261,1,99.6,28.7,19.0
2025,310,310,0,100.0,24.8,19.0
2026,209,209,0,100.0,20.6,19.0
