tip_hour_local,2022,2023,2024,2025,2026
11,5,4,5,3,2
12,12,18,18,18,11
13,4,20,10,13,8
14,7,7,6,4,1
15,22,24,30,36,14
16,2,11,6,3,7
17,2,3,3,16,8
18,10,15,24,28,17
19,110,144,150,180,122
20,6,13,9,8,19
22,0,0,0,1,0
