player_id,season,source,player_name,games,total_minutes,teams
1630445,2021,commonplayerinfo,N'dea Jones,3,0.0,SEA
1629574,2022,leaguedashplayerbiostats,Li Yueru,130,1348.8,CHI|DAL|LAS|SEA
1643434,2026,commonplayerinfo,Janiah Barker,15,0.0,LVA
