api_event_id,home_team,away_team,commence_time,bookmaker_key,market_key,player_name,line,over_price,under_price,snapshot_utc,last_update
19a1dc62b2c56fbc46c270d09d0e0221,Atlanta Dream,Seattle Storm,2026-07-31T23:30:00Z,fanduel,player_assists,Jade Melbourne,3.5,-132,100,20260731T142341Z,2026-07-31T14:22:34Z
19a1dc62b2c56fbc46c270d09d0e0221,Atlanta Dream,Seattle Storm,2026-07-31T23:30:00Z,fanduel,player_assists,Jordin Canada,8.5,108,-144,20260731T142341Z,2026-07-31T14:22:34Z
19a1dc62b2c56fbc46c270d09d0e0221,Atlanta Dream,Seattle Storm,2026-07-31T23:30:00Z,fanduel,player_assists,Angel Reese,2.5,-102,-130,20260731T142341Z,2026-07-31T14:22:34Z
19a1dc62b2c56fbc46c270d09d0e0221,Atlanta Dream,Seattle Storm,2026-07-31T23:30:00Z,fanduel,player_assists,Allisha Gray,2.5,-114,-114,20260731T142341Z,2026-07-31T14:22:34Z
19a1dc62b2c56fbc46c270d09d0e0221,Atlanta Dream,Seattle Storm,2026-07-31T23:30:00Z,fanduel,player_assists,Natisha Hiedeman,4.5,104,-138,20260731T142341Z,2026-07-31T14:22:34Z
19a1dc62b2c56fbc46c270d09d0e0221,Atlanta Dream,Seattle Storm,2026-07-31T23:30:00Z,fanduel,player_assists,Flau'jae Johnson,2.5,-182,136,20260731T142341Z,2026-07-31T14:22:34Z
19a1dc62b2c56fbc46c270d09d0e0221,Atlanta Dream,Seattle Storm,2026-07-31T23:30:00Z,fanduel,player_assists,Rhyne Howard,3.5,-125,-106,20260731T142341Z,2026-07-31T14:22:34Z
19a1dc62b2c56fbc46c270d09d0e0221,Atlanta Dream,Seattle Storm,2026-07-31T23:30:00Z,fanduel,player_points,Natisha Hiedeman,15.5,-106,-122,20260731T142341Z,2026-07-31T14:22:34Z
19a1dc62b2c56fbc46c270d09d0e0221,Atlanta Dream,Seattle Storm,2026-07-31T23:30:00Z,fanduel,player_points,Awa Fam,11.5,100,-130,20260731T142341Z,2026-07-31T14:22:34Z
19a1dc62b2c56fbc46c270d09d0e0221,Atlanta Dream,Seattle Storm,2026-07-31T23:30:00Z,fanduel,player_points,Dominique Malonga,15.5,-120,-108,20260731T142341Z,2026-07-31T14:22:34Z
19a1dc62b2c56fbc46c270d09d0e0221,Atlanta Dream,Seattle Storm,2026-07-31T23:30:00Z,fanduel,player_points,Jordin Canada,11.5,-102,-128,20260731T142341Z,2026-07-31T14:22:34Z
19a1dc62b2c56fbc46c270d09d0e0221,Atlanta Dream,Seattle Storm,2026-07-31T23:30:00Z,fanduel,player_points,Flau'jae Johnson,13.5,-108,-120,20260731T142341Z,2026-07-31T14:22:34Z
19a1dc62b2c56fbc46c270d09d0e0221,Atlanta Dream,Seattle Storm,2026-07-31T23:30:00Z,fanduel,player_points,Allisha Gray,19.5,-114,-114,20260731T142341Z,2026-07-31T14:22:34Z
19a1dc62b2c56fbc46c270d09d0e0221,Atlanta Dream,Seattle Storm,2026-07-31T23:30:00Z,fanduel,player_points,Rhyne Howard,17.5,-108,-120,20260731T142341Z,2026-07-31T14:22:34Z
19a1dc62b2c56fbc46c270d09d0e0221,Atlanta Dream,Seattle Storm,2026-07-31T23:30:00Z,fanduel,player_points,Jade Melbourne,7.5,-114,-114,20260731T142341Z,2026-07-31T14:22:34Z
19a1dc62b2c56fbc46c270d09d0e0221,Atlanta Dream,Seattle Storm,2026-07-31T23:30:00Z,fanduel,player_points,Angel Reese,15.5,-122,-106,20260731T142341Z,2026-07-31T14:22:34Z
19a1dc62b2c56fbc46c270d09d0e0221,Atlanta Dream,Seattle Storm,2026-07-31T23:30:00Z,fanduel,player_points,Brionna Jones,10.5,-122,-106,20260731T142341Z,2026-07-31T14:22:34Z
