target,population,n,mae_champion,mae_D092_C0,mae_C1_rapm_only,mae_C2_half_rapm,mae_C3_fitted
pts,all_data_poor,698,6.3099108410083815,3.988570185463301,4.42251019175349,4.101307758357576,3.8948638210272026
pts,veteran_returning,572,6.311769023694361,4.194992164730473,4.359447233581833,4.1779791963763655,4.099226714956443
pts,true_rookie,126,6.301475281513302,3.051479930377408,4.708796001866089,3.753243769891323,2.9671211596976357
minutes,all_data_poor,698,10.236700649149347,5.358635441870362,6.390231272520629,5.613385164176909,5.2289640529465835
minutes,veteran_returning,572,9.729306791444923,5.2605552827522875,5.872639373974565,5.306497985067554,5.206406849828691
minutes,true_rookie,126,12.540107685712286,5.803888227707973,8.739934177031335,7.006555532832071,5.331366594084953
ppm,all_data_poor,698,0.22721413833413928,0.1953357459657426,0.20156420146145618,0.19743969276338194,0.1951408314648954
ppm,veteran_returning,572,0.21222027757636283,0.18794434396462542,0.1900566905072621,0.18803467600977636,0.18695806213104477
ppm,true_rookie,126,0.2952815062186481,0.2288903645739888,0.25380464801541675,0.24013548310514735,0.23228800653602674
