target,fold,n_pool_player_seasons,pool_seasons,in_pool_r2,beta
pts,2023,164,[2022],0.14540762936876284,"[-4.0775523877165085, 0.41019628562565935, 1.320679597176014, -0.7419061739617351, 1.4900290392243158]"
pts,2024,318,"[2022, 2023]",0.2411512698447843,"[-7.6038214651409515, 5.696406718053294, -1.9252147188910131, -3.7079291905991996, 1.9083338128794045]"
minutes,2023,164,[2022],0.17636282116510982,"[-7.697919717395388, 0.5728457158836733, 1.6453092379151255, -0.8174397569565262, 3.4493632318527894]"
minutes,2024,318,"[2022, 2023]",0.24850474138606438,"[-12.979999770474336, -2.887799148524743, 3.930822683730823, 1.170645337628926, 4.045157590409032]"
ppm,2023,164,[2022],0.03609514439985828,"[0.33165669462541586, 0.008621890084716548, 0.030653815464874643, -0.018773688737866428, 0.0021458336852274128]"
ppm,2024,318,"[2022, 2023]",0.10833565401066714,"[0.16465855253243733, 0.22272614823180278, -0.10334294131348218, -0.13945218060177994, 0.022642735779326656]"
