target,fold,variant,k_chosen_on_pool,pool_mae,fold_mae,n_fold
pts,2023,V0,0.25,4.0830872630945505,4.185312354804986,4748
pts,2023,V1,0.5,4.044772874800056,4.1406675675406746,4748
pts,2023,V2,0.5,4.060167901987961,4.130689008866511,4748
pts,2023,V3,0.5,4.044772874800056,4.120591312550049,4748
pts,2023,V4,0.5,4.044772874800056,4.1406675675406746,4748
pts,2023,V5,0.25,4.0830872630945505,4.185312354804986,4748
pts,2024,V0,0.5,4.1085542877117565,4.1017537315138535,4769
pts,2024,V1,0.5,4.088031263862385,4.109522470980855,4769
pts,2024,V2,0.5,4.091826863876819,4.09769907640699,4769
pts,2024,V3,0.5,4.080901046743379,4.088452299156723,4769
pts,2024,V4,0.5,4.081989700353798,4.098090019976781,4769
pts,2024,V5,0.5,4.109914014163574,4.10232111395494,4769
minutes,2023,V0,0.0,4.873784304640214,4.867129872230872,4748
minutes,2023,V1,0.0,4.851504160612568,4.818375611636354,4748
minutes,2023,V2,0.0,4.852358209314109,4.809611765142617,4748
minutes,2023,V3,0.0,4.851504160612568,4.81801864245267,4748
minutes,2023,V4,0.0,4.851504160612568,4.818375611636354,4748
minutes,2023,V5,0.0,4.873784304640214,4.867129872230872,4748
minutes,2024,V0,0.0,4.870316110888342,4.901849685017828,4769
minutes,2024,V1,0.0,4.834549259637079,4.84424236095607,4769
minutes,2024,V2,0.0,4.828364633431626,4.828129728371487,4769
minutes,2024,V3,0.0,4.835266359385815,4.82079893677869,4769
minutes,2024,V4,0.25,4.8311694443984505,4.837737952551904,4769
minutes,2024,V5,0.0,4.847455940698788,4.831317461964816,4769
fga,2023,V0,0.25,2.573967638940801,2.5916160561277923,4748
fga,2023,V1,0.25,2.5561216199740118,2.5652972771721845,4748
fga,2023,V2,0.25,2.5629340258913644,2.5492343774723234,4748
fga,2023,V3,0.25,2.5561216199740118,2.543261057036356,4748
fga,2023,V4,0.25,2.5561216199740118,2.5652972771721845,4748
fga,2023,V5,0.25,2.573967638940801,2.5916160561277923,4748
fga,2024,V0,0.25,2.560485246006068,2.5254402326651273,4769
fga,2024,V1,0.25,2.557273709498903,2.5441242691276162,4769
fga,2024,V2,0.25,2.553709294482533,2.528416999173001,4769
fga,2024,V3,0.5,2.5476901700907106,2.5251743133205506,4769
fga,2024,V4,0.5,2.5478374810023388,2.530151558660709,4769
fga,2024,V5,0.25,2.5611772878696244,2.5275050898465405,4769
ppm,2023,V0,2.0,0.17821640476435485,0.183018156617553,4748
ppm,2023,V1,2.0,0.17780936582853998,0.18234273474132295,4748
ppm,2023,V2,2.0,0.17796367393281817,0.18178249868377,4748
ppm,2023,V3,2.0,0.17780936582853998,0.18177676158856146,4748
ppm,2023,V4,2.0,0.17780936582853998,0.18234273474132295,4748
ppm,2023,V5,2.0,0.17821640476435485,0.183018156617553,4748
ppm,2024,V0,2.0,0.1800731239798929,0.17757987844325862,4769
ppm,2024,V1,2.0,0.17992697379496886,0.17856394726831523,4769
ppm,2024,V2,4.0,0.1797614618936261,0.17778274481674353,4769
ppm,2024,V3,4.0,0.17967291099629537,0.1774553007210122,4769
ppm,2024,V4,4.0,0.17947579054018165,0.17768268811524457,4769
ppm,2024,V5,2.0,0.1800080989912168,0.17755723393982703,4769
