target,fold,pool_seasons,n_pool_player_seasons_with_prev,g_map_fitted,h_map_fitted_V4,h5_map_fitted_V5
ppm,2023,[2022],0,True,False,False
ppm,2024,"[2022, 2023]",114,True,True,True
