target,over,added,null,stratum,n,r2_base,dr2_own_sst,dr2_on_full_wf_sst,sst_basis,perm_p,null_p95,n_draws,block,comparison,arm,mae,mae_base,skill_vs_base,p_blockflip,mae_d094_est
pts,base_only,pm_game_level,cyclic_shift_within_player_season,wf_eval_2023_24,9517,0.5177170769212127,0.00021471621299649685,0.00021471621299649685,own stratum SST + full wf_eval SST (D099),0.9570214892553723,0.0010160774272028228,2000.0,dr2,,,,,,,
pts,base_only,pm_game_level,cyclic_shift_within_player_season,decision_stratum_wf,3549,0.3242554421982402,0.0010912671889604904,0.00040340505843713595,own stratum SST + full wf_eval SST (D099),0.41179410294852575,0.0023722519723484506,2000.0,dr2,,,,,,,
pts,base_only,pm_prev_season,player_season_relabel,wf_eval_2023_24,9517,0.5177170769212127,1.912370398126985e-05,1.912370398126985e-05,own stratum SST + full wf_eval SST (D099),0.6051974012993503,0.00027882116115476873,2000.0,dr2,,,,,,,
pts,base_only,pm_prev_season,player_season_relabel,decision_stratum_wf,3549,0.3242554421982402,1.2895636418310533e-06,4.76708638868548e-07,own stratum SST + full wf_eval SST (D099),0.9375312343828086,0.0009179633563445363,2000.0,dr2,,,,,,,
pts,base_only,pm_all,cyclic_shift_within_player_season,wf_eval_2023_24,9517,0.5177170769212127,0.00021618592476507745,0.00021618592476507745,own stratum SST + full wf_eval SST (D099),0.9720139930034982,0.001028132723129018,2000.0,dr2,,,,,,,
pts,base_only,pm_all,cyclic_shift_within_player_season,decision_stratum_wf,3549,0.3242554421982402,0.0010943160233315562,0.000404532110748492,own stratum SST + full wf_eval SST (D099),0.4427786106946527,0.002294488318956478,2000.0,dr2,,,,,,,
pts,base_plus_RAPM,pm_game_level,cyclic_shift_within_player_season,wf_eval_2023_24,9517,0.5202934872479927,0.00020499947700618337,0.00020499947700618337,own stratum SST + full wf_eval SST (D099),0.9220389805097451,0.0007853866502011394,2000.0,dr2,,,,,,,
pts,base_plus_RAPM,pm_game_level,cyclic_shift_within_player_season,decision_stratum_wf,3549,0.32833042700839254,0.0012015969516820642,0.0004441902894312507,own stratum SST + full wf_eval SST (D099),0.34632683658170915,0.0021087884860477783,2000.0,dr2,,,,,,,
pts,base_plus_RAPM,pm_prev_season,player_season_relabel,wf_eval_2023_24,9517,0.5202934872479927,6.0151925475245403e-05,6.0151925475245403e-05,own stratum SST + full wf_eval SST (D099),0.3808095952023988,0.0003082354194902545,2000.0,dr2,,,,,,,
pts,base_plus_RAPM,pm_prev_season,player_season_relabel,decision_stratum_wf,3549,0.32833042700839254,5.215552915388948e-06,1.928015842406702e-06,own stratum SST + full wf_eval SST (D099),0.8825587206396801,0.0009259612239547887,2000.0,dr2,,,,,,,
pts,base_plus_RAPM,pm_all,cyclic_shift_within_player_season,wf_eval_2023_24,9517,0.5202934872479927,0.00025097788898575805,0.00025097788898575805,own stratum SST + full wf_eval SST (D099),0.9405297351324338,0.000849006048608565,2000.0,dr2,,,,,,,
