target,population,variant,n,mae_variant,mae_D092_incumbent,skill_vs_D092,dr2_own_sst,dr2_on_full_tier_sst,sst_basis,mean_abs_err_diff,p_blockflip,n_blocks
pts,all_data_poor,C0,698,3.988570185463301,3.988570185463301,0.0,0.0,0.0,own population SST + full data-poor-tier SST (D099),0.0,1.0,311
pts,all_data_poor,C1,698,4.42251019175349,3.988570185463301,-0.10879588075740076,-0.059401960703681714,-0.059401960703681714,own population SST + full data-poor-tier SST (D099),0.4339400062901899,0.0004997501249375312,311
pts,all_data_poor,C2,698,4.101307758357576,3.988570185463301,-0.02826515960660725,-0.0007826361423696203,-0.0007826361423696203,own population SST + full data-poor-tier SST (D099),0.11273757289427523,0.02048975512243878,311
pts,all_data_poor,C3,698,3.8948638210272026,3.988570185463301,0.02349372333414601,0.008974595439405382,0.008974595439405382,own population SST + full data-poor-tier SST (D099),-0.09370636443609745,0.0004997501249375312,311
pts,all_data_poor,C4,698,4.42251019175349,3.988570185463301,-0.10879588075740076,-0.059401960703681714,-0.059401960703681714,own population SST + full data-poor-tier SST (D099),0.4339400062901899,0.0004997501249375312,311
pts,veteran_returning,C0,572,4.194992164730473,4.194992164730473,0.0,0.0,0.0,own population SST + full data-poor-tier SST (D099),0.0,1.0,253
pts,veteran_returning,C1,572,4.359447233581833,4.194992164730473,-0.03920271180337864,-0.019562754472536095,-0.017052147537270943,own population SST + full data-poor-tier SST (D099),0.16445506885136135,0.09495252373813093,253
pts,veteran_returning,C2,572,4.1779791963763655,4.194992164730473,0.004055542343355145,0.01411065455565913,0.012299748671301017,own population SST + full data-poor-tier SST (D099),-0.017012968354107146,0.7311344327836082,253
pts,veteran_returning,C3,572,4.099226714956443,4.194992164730473,0.022828516958668166,0.008182385162256353,0.007132290045834421,own population SST + full data-poor-tier SST (D099),-0.09576544977402933,0.0014992503748125937,253
pts,veteran_returning,C4,572,4.359447233581833,4.194992164730473,-0.03920271180337864,-0.019562754472536095,-0.017052147537270943,own population SST + full data-poor-tier SST (D099),0.16445506885136135,0.09495252373813093,253
pts,true_rookie,C0,126,3.051479930377408,3.051479930377408,0.0,0.0,0.0,own population SST + full data-poor-tier SST (D099),0.0,1.0,58
pts,true_rookie,C1,126,4.708796001866089,3.051479930377408,-0.5431187847542893,-0.7026073641032857,-0.04234981316641083,own population SST + full data-poor-tier SST (D099),1.6573160714886817,0.0004997501249375312,58
pts,true_rookie,C2,126,3.753243769891323,3.051479930377408,-0.2299749156230304,-0.21704416673574056,-0.01308238481367057,own population SST + full data-poor-tier SST (D099),0.701763839513916,0.0004997501249375312,58
pts,true_rookie,C3,126,2.9671211596976357,3.051479930377408,0.027645199249053842,0.03056488894918718,0.0018423053935709792,own population SST + full data-poor-tier SST (D099),-0.08435877067977184,0.14842578710644677,58
pts,true_rookie,C4,126,4.708796001866089,3.051479930377408,-0.5431187847542893,-0.7026073641032857,-0.04234981316641083,own population SST + full data-poor-tier SST (D099),1.6573160714886817,0.0004997501249375312,58
minutes,all_data_poor,C0,698,5.358635441870362,5.358635441870362,0.0,0.0,0.0,own population SST + full data-poor-tier SST (D099),0.0,1.0,311
