target,cand_id,candidate,stratum,n,dr2_own_sst,sst_basis
pts,R01,net_100_lam2000_imp,wf_eval_2023_24,9517,3.394758431746903e-05,wf_eval SST
pts,R02,net_100_lam500_imp,wf_eval_2023_24,9517,6.962950403343494e-05,wf_eval SST
pts,R03,net_100_lam1000_imp,wf_eval_2023_24,9517,5.2005999354684706e-05,wf_eval SST
pts,R04,net_100_lam5000_imp,wf_eval_2023_24,9517,1.1754667056187508e-05,wf_eval SST
pts,R05,z_net_100_imp,wf_eval_2023_24,9517,2.2005835601313457e-05,wf_eval SST
pts,R06,z_orapm_100_imp,wf_eval_2023_24,9517,0.00012547996975349076,wf_eval SST
pts,R07,z_drapm_100_imp,wf_eval_2023_24,9517,1.1580446560203054e-05,wf_eval SST
pts,R08,log_total_poss_imp,wf_eval_2023_24,9517,2.3017496174239773e-05,wf_eval SST
pts,R09,has_rapm_f,wf_eval_2023_24,9517,0.0008918762353371863,wf_eval SST
pts,R10,z_net_x_poss,wf_eval_2023_24,9517,1.9208930156087e-05,wf_eval SST
minutes,R01,net_100_lam2000_imp,wf_eval_2023_24,9517,0.00033004922497512117,wf_eval SST
minutes,R02,net_100_lam500_imp,wf_eval_2023_24,9517,0.00046174165241607586,wf_eval SST
minutes,R03,net_100_lam1000_imp,wf_eval_2023_24,9517,0.0004047444450447021,wf_eval SST
minutes,R04,net_100_lam5000_imp,wf_eval_2023_24,9517,0.0002177973547462319,wf_eval SST
minutes,R05,z_net_100_imp,wf_eval_2023_24,9517,0.00014240250101323437,wf_eval SST
minutes,R06,z_orapm_100_imp,wf_eval_2023_24,9517,0.00019930923744366922,wf_eval SST
minutes,R07,z_drapm_100_imp,wf_eval_2023_24,9517,1.7947172164730835e-05,wf_eval SST
minutes,R08,log_total_poss_imp,wf_eval_2023_24,9517,0.0003195288365250935,wf_eval SST
minutes,R09,has_rapm_f,wf_eval_2023_24,9517,3.4498895347214976e-05,wf_eval SST
minutes,R10,z_net_x_poss,wf_eval_2023_24,9517,0.00012528149589533321,wf_eval SST
fga,R01,net_100_lam2000_imp,wf_eval_2023_24,9517,4.768847554724943e-05,wf_eval SST
fga,R02,net_100_lam500_imp,wf_eval_2023_24,9517,6.866151200098199e-05,wf_eval SST
fga,R03,net_100_lam1000_imp,wf_eval_2023_24,9517,5.972916439723284e-05,wf_eval SST
fga,R04,net_100_lam5000_imp,wf_eval_2023_24,9517,2.6686111745836873e-05,wf_eval SST
fga,R05,z_net_100_imp,wf_eval_2023_24,9517,2.722204147985235e-05,wf_eval SST
fga,R06,z_orapm_100_imp,wf_eval_2023_24,9517,0.00013031960142418476,wf_eval SST
fga,R07,z_drapm_100_imp,wf_eval_2023_24,9517,1.1218847805999976e-05,wf_eval SST
fga,R08,log_total_poss_imp,wf_eval_2023_24,9517,7.451258765782544e-05,wf_eval SST
fga,R09,has_rapm_f,wf_eval_2023_24,9517,0.00030828174986552236,wf_eval SST
fga,R10,z_net_x_poss,wf_eval_2023_24,9517,2.5595323725987848e-05,wf_eval SST
ppm,R01,net_100_lam2000_imp,wf_eval_2023_24,9517,9.49710202555888e-09,wf_eval SST
ppm,R02,net_100_lam500_imp,wf_eval_2023_24,9517,3.816459796403623e-07,wf_eval SST
ppm,R03,net_100_lam1000_imp,wf_eval_2023_24,9517,3.277135836883132e-08,wf_eval SST
ppm,R04,net_100_lam5000_imp,wf_eval_2023_24,9517,3.601635844908068e-07,wf_eval SST
ppm,R05,z_net_100_imp,wf_eval_2023_24,9517,1.7346162192303114e-06,wf_eval SST
ppm,R06,z_orapm_100_imp,wf_eval_2023_24,9517,9.013041991131815e-05,wf_eval SST
ppm,R07,z_drapm_100_imp,wf_eval_2023_24,9517,5.557468015826191e-05,wf_eval SST
ppm,R08,log_total_poss_imp,wf_eval_2023_24,9517,0.000498403354786066,wf_eval SST
ppm,R09,has_rapm_f,wf_eval_2023_24,9517,0.0020002713694452804,wf_eval SST
ppm,R10,z_net_x_poss,wf_eval_2023_24,9517,2.4078323794935884e-06,wf_eval SST
