target,variant,stratum,dr2_own_sst,sst_basis,reproduces_real_exactly
pts,real,wf_eval_2023_24,0.0025764103267799814,wf_eval SST,True
pts,negative_control_relabelled,wf_eval_2023_24,0.0010760162346469808,wf_eval SST,False
pts,noop_placebo,wf_eval_2023_24,0.0025764103267799814,wf_eval SST,True
pts,perturbed_placebo,wf_eval_2023_24,0.0025764103267799814,wf_eval SST,True
minutes,real,wf_eval_2023_24,0.0013970598981189342,wf_eval SST,True
minutes,negative_control_relabelled,wf_eval_2023_24,0.000754297836961889,wf_eval SST,False
minutes,noop_placebo,wf_eval_2023_24,0.0013970598981189342,wf_eval SST,True
minutes,perturbed_placebo,wf_eval_2023_24,0.0013970598981189843,wf_eval SST,True
fga,real,wf_eval_2023_24,0.0014592606170533223,wf_eval SST,True
fga,negative_control_relabelled,wf_eval_2023_24,0.000891465077683345,wf_eval SST,False
fga,noop_placebo,wf_eval_2023_24,0.0014592606170533223,wf_eval SST,True
fga,perturbed_placebo,wf_eval_2023_24,0.0014592606170532717,wf_eval SST,True
ppm,real,wf_eval_2023_24,0.0031029058153708516,wf_eval SST,True
ppm,negative_control_relabelled,wf_eval_2023_24,0.0012279093612739258,wf_eval SST,False
ppm,noop_placebo,wf_eval_2023_24,0.0031029058153708516,wf_eval SST,True
ppm,perturbed_placebo,wf_eval_2023_24,0.003102905815370681,wf_eval SST,True
