emit_season,train_seasons,max_train_season,fit_through_season,strictly_prior,n_rows,n_players,lambda_chosen,lambda_source
2022,2021,2021,2021,True,155,155,100000.0,fallback_max_grid
2023,"2021,2022",2022,2022,True,206,206,33000.0,inner_validation
2024,"2021,2022,2023",2023,2023,True,237,237,2000.0,inner_validation
