target,stratum,n,r2_base,r2_full,dr2_own_sst,sst_own,dr2_on_full_wf_sst,sst_full_wf,sst_basis,perm_p_player_season_relabel,perm_null_mean,perm_null_p95,perm_null_sd,n_draws,block,mae_base,mae_base_plus_rapm,skill_rapm_vs_base,mean_abs_err_diff,p_blockflip,n_blocks,null_sd,mae_d094_est,skill_base_vs_d094est,skill_baseplusrapm_vs_d094est
pts,wf_eval_2023_24,9517,0.5177170769212127,0.5202934872479927,0.0025764103267799814,574844.8584638017,0.0025764103267799814,574844.8584638017,own stratum SST (dr2_own_sst) and full wf_eval SST (dr2_on_full_wf_sst),0.0009995002498750624,0.0007250514185164128,0.0013325549051100528,0.00032709529982557904,2000.0,detection_dr2,,,,,,,,,,
pts,decision_stratum_wf,3549,0.3242554421982402,0.32833042700839254,0.004074984810152365,212500.95857988167,0.0015063858806529855,574844.8584638017,own stratum SST (dr2_own_sst) and full wf_eval SST (dr2_on_full_wf_sst),0.07546226886556721,0.002384866141919982,0.004438579740341883,0.001046837507930418,2000.0,detection_dr2,,,,,,,,,,
minutes,wf_eval_2023_24,9517,0.6745739866277313,0.6759710465258502,0.0013970598981189342,1161877.2002974793,0.0013970598981189342,1161877.2002974793,own stratum SST (dr2_own_sst) and full wf_eval SST (dr2_on_full_wf_sst),0.0004997501249375312,0.0004467363192426655,0.0008246041236829465,0.00020557449908145453,2000.0,detection_dr2,,,,,,,,,,
minutes,decision_stratum_wf,3549,0.27250708901598997,0.2765485071057203,0.004041418089730339,151828.74531746033,0.0005281138468935803,1161877.2002974793,own stratum SST (dr2_own_sst) and full wf_eval SST (dr2_on_full_wf_sst),0.06196901549225387,0.0022913951671556733,0.004206921853874644,0.0010321902064079713,2000.0,detection_dr2,,,,,,,,,,
fga,wf_eval_2023_24,9517,0.6425060843377506,0.643965344954804,0.0014592606170533223,287844.3627193443,0.0014592606170533223,287844.3627193443,own stratum SST (dr2_own_sst) and full wf_eval SST (dr2_on_full_wf_sst),0.0014992503748125937,0.000525683421538082,0.0009498656930670163,0.00022936404125285253,2000.0,detection_dr2,,,,,,,,,,
fga,decision_stratum_wf,3549,0.474538913071467,0.4771790854074839,0.002640172336016829,91107.37447168218,0.0008356570454075318,287844.3627193443,own stratum SST (dr2_own_sst) and full wf_eval SST (dr2_on_full_wf_sst),0.16991504247876063,0.0018992859145959607,0.003428800215358079,0.0008363638268301587,2000.0,detection_dr2,,,,,,,,,,
ppm,wf_eval_2023_24,9517,0.19462653471397584,0.1977294405293467,0.0031029058153708516,666.5323407267889,0.0031029058153708516,666.5323407267889,own stratum SST (dr2_own_sst) and full wf_eval SST (dr2_on_full_wf_sst),0.0034982508745627187,0.0012104549039312139,0.00216712390812749,0.0005373491632662977,2000.0,detection_dr2,,,,,,,,,,
ppm,decision_stratum_wf,3549,0.2577469129390795,0.2620061919011224,0.004259278962042952,177.1219301243955,0.0011318456203830512,666.5323407267889,own stratum SST (dr2_own_sst) and full wf_eval SST (dr2_on_full_wf_sst),0.12893553223388307,0.0028590537111889813,0.005107958826710782,0.0012293235950582874,2000.0,detection_dr2,,,,,,,,,,
pts,wf_eval_2023_24,9517,,,,,,,,,,,,,forecast_walkforward,4.2210216676937025,4.199191404054169,0.005171796156986153,-0.021830263639533682,0.006496751624187906,311.0,0.007871324773562772,4.147585220885528,-0.017705831923206405,-0.012442464812723708
pts,decision_stratum_wf,3549,,,,,,,,,,,,,forecast_walkforward,5.126665570308508,5.096262921049001,0.005930296962529891,-0.030402649259506226,0.01249375312343828,174.0,0.011977834127635105,5.047955930814263,-0.015592378493991532,-0.009569614096640144
minutes,wf_eval_2023_24,9517,,,,,,,,,,,,,forecast_walkforward,4.890143373679463,4.953762861164479,-0.01300973869752764,0.06361948748501632,0.0004997501249375312,311.0,0.013426513274112218,4.884528084606726,-0.0011496072855907702,-0.014174302073508782
minutes,decision_stratum_wf,3549,,,,,,,,,,,,,forecast_walkforward,4.278261310737773,4.366041367967062,-0.02051769418781757,0.08778005722928957,0.0004997501249375312,174.0,0.022336784423787243,4.323591891517417,0.010484472613749518,-0.009818104371258629
fga,wf_eval_2023_24,9517,,,,,,,,,,,,,forecast_walkforward,2.5873747007227705,2.581180942108205,0.0023938390573406965,-0.0061937586145654755,0.21039480259870064,311.0,0.005010858148930843,2.558836001322271,-0.011153000577509564,-0.008732463031779769
fga,decision_stratum_wf,3549,,,,,,,,,,,,,forecast_walkforward,2.9376270322318776,2.9248386885451483,0.004353290443754321,-0.012788343686728801,0.10494752623688156,174.0,0.007928738150462255,2.928533158462894,-0.003105265768531318,0.001261542799018578
ppm,wf_eval_2023_24,9517,,,,,,,,,,,,,forecast_walkforward,0.18366384101521602,0.18240581191422528,0.0068496286151747965,-0.001258029100990747,0.0004997501249375312,311.0,0.00031792465080183536,0.18029301753872462,-0.018696361747716495,-0.011718669998114883
ppm,decision_stratum_wf,3549,,,,,,,,,,,,,forecast_walkforward,0.15540423006796752,0.15345467426002415,0.01254506268645783,-0.0019495558079433923,0.0004997501249375312,174.0,0.0004532928554259826,0.1511534710096663,-0.028122139901301857,-0.015224283206904943
