analysis,target,stratum,fill_source,n,mae,mae_D094_incumbent,skill_vs_D094,p_blockflip,population,variant,mae_D092_incumbent,skill_vs_D092
step3_V3_fill_decomposition_POSTHOC,pts,wf_eval_2023_24,F0_league_D094,9517,4.122232078986854,4.147585220885528,0.006112747670863117,0.0004997501249375312,,,,
step3_V3_fill_decomposition_POSTHOC,pts,wf_eval_2023_24,F1_rapm,9517,4.104486347238209,4.147585220885528,0.010391317200738936,0.0004997501249375312,,,,
step3_V3_fill_decomposition_POSTHOC,pts,wf_eval_2023_24,F2_raw_prev_box_master,9517,4.121636560796412,4.147585220885528,0.006256329576653341,0.0004997501249375312,,,,
step3_V3_fill_decomposition_POSTHOC,pts,wf_eval_2023_24,F3_rapm_plus_raw_box,9517,4.117069954755925,4.147585220885528,0.007357357234262674,0.0004997501249375312,,,,
step3_V3_fill_decomposition_POSTHOC,pts,wf_eval_2023_24,F4_negcontrol_shuffled_rapm,9517,4.117140183871717,4.147585220885528,0.007340424703150772,0.0004997501249375312,,,,
step3_V3_fill_decomposition_POSTHOC,pts,data_poor_wf,F0_league_D094,657,4.3978653381619734,4.6526955183567456,0.054770439885731825,0.001999000499750125,,,,
step3_V3_fill_decomposition_POSTHOC,pts,data_poor_wf,F1_rapm,657,4.212317787905081,4.6526955183567456,0.09465002141537049,0.0004997501249375312,,,,
step3_V3_fill_decomposition_POSTHOC,pts,data_poor_wf,F2_raw_prev_box_master,657,4.36371917849132,4.6526955183567456,0.062109445745009095,0.0004997501249375312,,,,
step3_V3_fill_decomposition_POSTHOC,pts,data_poor_wf,F3_rapm_plus_raw_box,657,4.358903682964167,4.6526955183567456,0.06314443621626487,0.0004997501249375312,,,,
step3_V3_fill_decomposition_POSTHOC,pts,data_poor_wf,F4_negcontrol_shuffled_rapm,657,4.345515415259799,4.6526955183567456,0.0660219655219213,0.0004997501249375312,,,,
step3_V3_fill_decomposition_POSTHOC,minutes,wf_eval_2023_24,F0_league_D094,9517,4.825743375143274,4.884528084606726,0.01203488002222941,0.0004997501249375312,,,,
step3_V3_fill_decomposition_POSTHOC,minutes,wf_eval_2023_24,F1_rapm,9517,4.819411857083414,4.884528084606726,0.013331119484914278,0.0004997501249375312,,,,
