season,target,n,n_tier,mae_champion,mae_recommended,dr2_vs_champion,p_vs_champion,dr2_vs_crude,p_vs_crude
2022,pts,4362,363,4.11097365778674,3.986360518557318,0.027886386247463802,0.0004997501249375312,0.012388183761522075,0.0004997501249375312
2022,minutes,4362,363,5.035327663130936,4.767355575521057,0.049963469012443015,0.0004997501249375312,0.002530890512478516,0.20739630184907545
2023,pts,4748,348,4.226803415354732,4.072582852233767,0.03285777935762619,0.0004997501249375312,0.006263647661386223,0.0004997501249375312
2023,minutes,4748,348,5.048011723847636,4.727198759874065,0.047728418907079975,0.0004997501249375312,0.0027528480393393035,0.05647176411794103
2024,pts,4769,350,4.228317122011194,4.042102707276003,0.04209955052807039,0.0004997501249375312,0.005258219144914799,0.013993003498250875
2024,minutes,4769,350,5.151749320921312,4.757186611394323,0.062441463515405006,0.0004997501249375312,0.0016424592343759975,0.2658670664667666
