P0_champion,P1_ref_D076,P2_position,P3_draft_bin,P3_draft_ols,P4_teamrole,P5a_draft_x_depth,P5b_pos_x_draft,P5c_additive,league,P1full_running_mean,P5d_blend_k1,P5e_careerblend_k1,P5d_blend_k2,P5e_careerblend_k2,P5d_blend_k3,P5e_careerblend_k3,P5d_blend_k5,P5e_careerblend_k5,P5d_blend_k10,P5e_careerblend_k10,P1c_career_mean
8.700466977985323,8.769363787016356,9.007260747366288,11.165650222529546,13.939038130029829,8.232475332475332,9.029805315519601,10.52047044465817,11.010276907261773,8.697554697554697,11.0,11.005138453630886,10.212432633553387,11.006851271507848,10.235898641603633,11.00770768044633,10.258023734908152,11.008564089384812,10.298686068548887,11.009342642965247,10.383399263633756,10.1875
8.700466977985323,3.0,9.007260747366288,11.165650222529546,13.939038130029829,13.785494055944808,12.996314206710245,10.52047044465817,16.563295630731247,8.697554697554697,7.0,10.18776521024375,10.163626342080331,11.781647815365623,10.346474036041784,12.737977378438748,10.519163524783158,13.830925450522319,10.837275740885689,14.969413025609372,11.503092007146801,9.969696969696969
9.919654458058202,8.5,9.007260747366288,11.165650222529546,13.939038130029829,13.785494055944808,12.996314206710245,10.52047044465817,16.563295630731247,8.697554697554697,9.333333333333334,11.140823907682812,10.273237018020891,12.2253182522925,10.447960868373958,12.948314482032291,10.613240186275505,13.85205976920703,10.918371234709134,14.89484279287019,11.559839916075283,10.088235294117647
7.808694772066725,6.333333333333333,9.007260747366288,11.165650222529546,13.939038130029829,10.64613334376848,10.053308577898742,10.52047044465817,13.42393491855492,8.697554697554697,7.5,8.684786983710984,9.956220414404305,9.47464497285164,10.049942428029995,10.03882925080925,10.138731704096442,10.791074954752734,10.302991864819365,11.731382084682085,10.649763315234427,9.857142857142858
7.27158835833231,6.25,9.007260747366288,11.165650222529546,13.939038130029829,9.55315494688317,9.638022530879674,10.52047044465817,12.330956521669611,8.697554697554697,7.2,8.055159420278269,9.819755581666747,8.66598757761989,9.88583981692998,9.124108695626104,9.948535117051508,9.765478260834806,10.064750795325562,10.620637681113076,10.311077504710784,9.75
7.4102862000941006,6.6,9.007260747366288,11.165650222529546,13.939038130029829,9.55315494688317,9.638022530879674,10.52047044465817,12.330956521669611,8.697554697554697,7.333333333333333,8.047279503095659,9.771867276886042,8.582739130417403,9.837484949829213,8.999207729445427,9.899821739125223,9.60498023712255,10.015590062103525,10.456847826043507,10.261905642908427,9.702702702702704
9.175310448336118,8.333333333333334,9.007260747366288,11.165650222529546,13.939038130029829,9.55315494688317,9.638022530879674,10.52047044465817,12.330956521669611,8.697554697554697,8.714285714285714,9.1663695652087,9.957204013376144,9.517990338148802,10.016547826083482,9.799286956500882,10.072996818658753,10.221231884029004,10.178018200194142,10.84173913039389,10.402282608681169,9.894736842105264
8.386751824774056,7.857142857142857,9.007260747366288,11.165650222529546,13.939038130029829,9.55315494688317,9.638022530879674,10.52047044465817,12.330956521669611,8.697554697554697,8.25,8.703439613518846,9.83327391304174,9.066191304333923,9.894193001057054,9.36298814227353,9.952211180119258,9.81959866218062,10.060335968371549,10.51719806759423,10.29203194319788,9.76923076923077
8.213058483605273,7.75,9.007260747366288,11.165650222529546,13.939038130029829,9.55315494688317,9.638022530879674,10.52047044465817,12.330956521669611,8.697554697554697,8.11111111111111,8.53309565216696,9.764169671260234,8.878355731212656,9.825283643889028,9.166072463750735,9.883555106162996,9.618198757739147,9.992328502407736,10.332082379826112,10.226191304333922,9.7
7.649910389308872,7.444444444444445,9.007260747366288,11.165650222529546,13.939038130029829,9.55315494688317,9.638022530879674,10.52047044465817,12.330956521669611,8.697554697554697,7.8,8.211905138333602,9.650737060039754,8.555159420278269,9.713067745193936,8.845605351154525,9.772565217386564,9.310318840556537,9.883799621920609,10.065478260834805,10.123716965033257,9.585365853658537
8.572812839638257,8.1,9.007260747366288,11.165650222529546,13.939038130029829,9.55315494688317,9.638022530879674,10.52047044465817,12.330956521669611,8.697554697554697,8.363636363636363,8.6942463768058,9.751882709806269,8.973993311026094,9.810498023712254,9.21377639750063,9.866508212555752,9.603423913021754,9.971378353369108,10.252836438890292,10.198260869551849,9.69047619047619
8.925784981790356,8.363636363636363,9.007260747366288,11.165650222529546,13.939038130029829,9.55315494688317,9.638022530879674,10.52047044465817,12.330956521669611,8.697554697554697,8.583333333333334,8.871612040128433,9.780249011856128,9.118708074524232,9.836931400963094,9.332857971000589,9.891149338369758,9.685575447549885,9.99280797100725,10.286798418940734,10.21338802295653,9.720930232558139
9.331111092416416,8.666666666666666,9.007260747366288,11.165650222529546,13.939038130029829,9.55315494688317,9.638022530879674,10.52047044465817,12.330956521669611,8.697554697554697,8.846153846153847,9.0950683229764,9.829576811592657,9.310794202889282,9.883954631376941,9.499554347813053,9.936018501383169,9.81415458935267,10.033771073639757,10.361285444204178,10.246473429938817,9.772727272727273
9.02520021611069,8.461538461538462,9.007260747366288,11.165650222529546,13.939038130029829,9.10810358437775,9.124140070183236,10.52047044465817,11.88590515916419,8.697554697554697,8.642857142857142,8.859060343944279,9.736650112155743,9.048238144895524,9.782378942943156,9.21515973397015,9.826202405781094,9.496290831358998,9.908590515916417,9.994127149651746,10.088346392575307,9.688888888888888
9.506904420474504,8.785714285714286,9.007260747366288,11.165650222529546,13.939038130029829,9.10810358437775,9.124140070183236,10.52047044465817,11.88590515916419,8.697554697554697,8.933333333333334,9.117869072447762,9.806083088492855,9.280694724607553,9.849412714965174,9.425428637638475,9.89097378525495,9.671476289791048,9.969206388153351,10.114362063665677,10.140340206993606,9.76086956521739
9.157647485557108,8.733333333333333,9.007260747366288,11.165650222529546,13.939038130029829,9.10810358437775,9.124140070183236,10.52047044465817,11.88590515916419,8.697554697554697,8.875,9.05211206818613,9.768456357482588,9.20954501768491,9.811669598333234,9.350406077762766,9.853154309549852,9.591882180753379,9.931337034535018,10.03304044583238,10.102790378800735,9.72340425531915
8.559198466584196,8.5625,9.007260747366288,11.165650222529546,13.939038130029829,9.10810358437775,9.124140070183236,10.52047044465817,11.88590515916419,8.697554697554697,8.705882352941176,8.882550286620232,9.691549084880902,9.040621595701493,9.735436206366568,9.182885773874629,9.77760226426456,9.428614808900953,9.857160864072094,9.883668577468217,10.032052613648998,9.645833333333334
7.6964176218674565,8.176470588235293,9.007260747366288,11.165650222529546,13.939038130029829,9.10810358437775,9.124140070183236,10.52047044465817,11.88590515916419,8.697554697554697,8.333333333333334,8.520310797850748,9.537718103183284,8.68859051591642,9.58376098663389,8.840843594166314,9.628032989951782,9.105631556340041,9.711657885107796,9.602108985415782,9.895916128671896,9.489795918367347
7.654294078616768,8.055555555555555,9.007260747366288,11.165650222529546,13.939038130029829,9.10810358437775,9.124140070183236,10.52047044465817,11.88590515916419,8.697554697554697,8.210526315789474,8.394295257958209,9.468351081552239,8.560562396110875,9.5148425061217,8.711714339886026,9.559579537311182,8.97623024149254,9.644173196287653,9.477898330746273,9.830984193194032,9.42
6.735832510600387,7.631578947368421,9.007260747366288,11.165650222529546,13.939038130029829,9.10810358437775,9.124140070183236,10.52047044465817,11.88590515916419,8.697554697554697,7.8,7.994566912341152,9.286267406907003,8.17144592356038,9.335317175817515,8.33294415119533,9.382550286620232,8.617181031832837,9.471955817782517,9.161968386388063,9.669820517895769,9.235294117647058
7.099931342234236,7.7,9.007260747366288,11.165650222529546,13.939038130029829,9.10810358437775,9.124140070183236,10.52047044465817,11.88590515916419,8.697554697554697,7.857142857142857,8.040268416325645,9.28086613507857,8.207470013840364,9.329107598487562,8.360738144895524,9.375594826863502,8.631904838300805,9.463675891154754,9.156743599730383,9.659016961155514,9.23076923076923
6.503019389730646,7.428571428571429,9.007260747366288,11.165650222529546,13.939038130029829,9.10810358437775,9.124140070183236,10.52047044465817,11.88590515916419,8.697554697554697,7.590909090909091,7.777648050398443,9.146035280725263,7.948825429930349,9.19585109669688,8.106308619099703,9.243887776383797,8.386278733178553,9.33499182406588,8.93309536223881,9.537445263359395,9.09433962264151
5.9685636504320145,7.2272727272727275,9.007260747366288,11.165650222529546,13.939038130029829,9.10810358437775,9.124140070183236,10.52047044465817,11.88590515916419,8.697554697554697,7.391304347826087,7.578579381631841,9.034289184712076,7.750872412733134,9.085210898541577,7.909912133749715,9.134345885570044,8.193911635565033,9.227619081285102,8.753304593686119,9.435297681119405,8.981481481481481
6.849037833184398,7.521739130434782,9.007260747366288,11.165650222529546,13.939038130029829,9.10810358437775,9.124140070183236,10.52047044465817,11.88590515916419,8.697554697554697,7.666666666666667,7.835436206366568,9.122962592127932,7.991223473781861,9.171435268742604,8.135470943610837,9.218236473749872,8.39412157916624,9.307158763263683,8.907619164460055,9.505523870640644,9.072727272727272
6.849037833184398,7.375,9.007260747366288,11.165650222529546,13.939038130029829,9.10810358437775,9.124140070183236,10.52047044465817,11.88590515916419,8.697554697554697,7.52,7.687919429198622,9.033086055423935,7.84340038216031,9.082272591695316,7.987775552767591,9.129791787754112,8.247650859860698,9.220156160587228,8.767401474046912,9.422106842297605,8.982142857142858
7.243603211466743,7.56,9.007260747366288,11.165650222529546,13.939038130029829,9.10810358437775,9.124140070183236,10.52047044465817,11.88590515916419,8.697554697554697,7.6923076923076925,7.847626117006082,9.08423974412352,7.991850368511728,9.131725598615734,8.126128119913536,9.177628591291542,8.368694380510354,9.264992351545498,8.857195877545609,9.460582859576744,9.035087719298245
7.854292008228415,7.769230769230769,9.007260747366288,11.165650222529546,13.939038130029829,9.55315494688317,9.638022530879674,10.52047044465817,12.330956521669611,8.697554697554697,7.888888888888889,8.047534161488201,9.158151805452027,8.1952383808048,9.211031884055654,8.33309565216696,9.26217818959031,8.582961956510877,9.359599723942033,9.089447708559355,9.578081841422001,9.10344827586207
8.129356736429111,7.814814814814815,9.007260747366288,11.165650222529546,13.939038130029829,9.55315494688317,9.638022530879674,10.52047044465817,12.330956521669611,8.697554697554697,7.928571428571429,8.080377811092056,9.155515942027828,8.222063768111308,9.207572344972773,8.354608695645446,9.257949509113047,8.595599472980243,9.35398097825544,9.087093821492003,9.569703843720234,9.101694915254237
