shrink_k,placeholder,dr2_vs_P1full,p
0.0,P3_draft_bin,-0.21747168427137523,0.001996007984031936
0.0,P4_teamrole,0.012307382618210608,0.7085828343313373
0.0,P5c_additive,0.027649301761182497,0.34930139720558884
0.0,P5d_blend_k3,0.0969619150213641,0.001996007984031936
50.0,P3_draft_bin,-0.22230796810161363,0.001996007984031936
50.0,P4_teamrole,0.006943192956776735,0.8243512974051896
50.0,P5c_additive,0.03759229229938275,0.20958083832335328
50.0,P5d_blend_k3,0.10282508590867016,0.001996007984031936
200.0,P3_draft_bin,-0.23465344923666603,0.001996007984031936
200.0,P4_teamrole,-0.023724142847968237,0.4750499001996008
200.0,P5c_additive,0.03290640005499603,0.2834331337325349
200.0,P5d_blend_k3,0.10345372273752429,0.001996007984031936
1000.0,P3_draft_bin,-0.27488769353940357,0.001996007984031936
1000.0,P4_teamrole,-0.14969537063775107,0.001996007984031936
1000.0,P5c_additive,-0.06812358974723086,0.059880239520958084
1000.0,P5d_blend_k3,0.06240677897183693,0.007984031936127744
