target,variant,pooled_mae,pooled_r2_of_forecast,pooled_skill_vs_refD076,dr2_vs_champion,p_vs_champion,p_row_NAIVE_vs_champion,inflation,dr2_vs_crude_complete,p_vs_crude_complete
pts,champion_untouched,4.190919667572693,0.4694094384707139,-0.0022218316796525084,-0.0,1.0,1.0,inf,-0.02712996064943646,0.0004997501249375312
pts,D081_crude_splice_refD076,4.124763578417677,0.48073029087767705,0.013598819181952826,0.011320852406963032,0.0004997501249375312,0.0004997501249375312,0.9813321328388126,-0.015809108242473422,0.0004997501249375312
pts,crude_splice_COMPLETE_running_mean,4.052403612434415,0.49653939912015044,0.030903072997446546,0.02712996064943646,0.0004997501249375312,0.0004997501249375312,1.1511964168911977,-0.0,1.0
pts,RECOMMENDED_blend_splice,4.035010863560213,0.5041554387599592,0.03506239696863178,0.0347460002892453,0.0004997501249375312,0.0004997501249375312,1.2117157511889616,0.007616039639808837,0.0004997501249375312
minutes,champion_untouched,5.079670829517938,0.6193570946106857,0.035549460412317546,-0.0,1.0,1.0,inf,-0.0514215373634271,0.0004997501249375312
minutes,D081_crude_splice_refD076,4.90602273185986,0.6467947346343699,0.06851911673561939,0.02743764002368415,0.0004997501249375312,0.0004997501249375312,1.065456981419144,-0.023983897339742946,0.0004997501249375312
minutes,crude_splice_COMPLETE_running_mean,4.752743046421861,0.6707786319741127,0.09762152913397115,0.0514215373634271,0.0004997501249375312,0.0004997501249375312,1.2476203126904688,-0.0,1.0
minutes,RECOMMENDED_blend_splice,4.750123761225192,0.6730651583921698,0.09811883911842567,0.053708063781484204,0.0004997501249375312,0.0004997501249375312,1.3207310128803758,0.0022865264180571016,0.017491254372813594
ppm,champion_untouched,0.18174283099586136,0.1435623302077924,0.011004337433660472,-0.0,1.0,1.0,inf,0.01366706554806478,0.009495252373813094
ppm,D081_crude_splice_refD076,0.18236286584276137,0.12544407893437148,0.007630274364080258,-0.01811825127342092,0.0004997501249375312,0.0004997501249375312,0.9990676231142385,-0.004451185725356137,0.37031484257871067
ppm,crude_splice_COMPLETE_running_mean,0.18132458490002856,0.12989526465972756,0.013280320328817208,-0.01366706554806478,0.009495252373813094,0.009995002498750625,1.059533926010069,-0.0,1.0
ppm,RECOMMENDED_blend_splice,0.1794729562189607,0.15651917245817426,0.02335638618640945,0.012956842250381767,0.0004997501249375312,0.0004997501249375312,1.063961024475437,0.026623907798446544,0.0004997501249375312
