cell,target,k,n,n_clusters,dr2_STRUCT_vs_LEAGUE,p_cluster_STRUCT_vs_LEAGUE,p_row_NAIVE_STRUCT_vs_LEAGUE,inflation,dr2_STRUCT_vs_P1full,p_STRUCT_vs_P1full,dr2_LEAGUE_vs_P1full,p_LEAGUE_vs_P1full,share_of_gain_from_structure
TIER_DATA_POOR,pts,1.0,1061,475,0.07050375035497562,0.0004997501249375312,0.0004997501249375312,0.962635397396492,0.10729619275027624,0.0004997501249375312,0.03679244239530063,0.05697151424287856,0.6570946139633096
TIER_DATA_POOR,pts,2.0,1061,475,0.13701706335384944,0.0004997501249375312,0.0004997501249375312,1.0186305294395952,0.10992824045819566,0.0004997501249375312,-0.02708882289565379,0.3268365817091454,1.246422782560186
TIER_DATA_POOR,pts,3.0,1061,475,0.184563517945005,0.0004997501249375312,0.0004997501249375312,1.058489873517142,0.10345372273752429,0.0004997501249375312,-0.08110979520748071,0.00849575212393803,1.7840200725619797
TIER_DATA_POOR,pts,5.0,1061,475,0.2450531435639645,0.0004997501249375312,0.0004997501249375312,1.105561955498926,0.09011233075529211,0.0004997501249375312,-0.15494081280867236,0.0004997501249375312,2.719418546940348
TIER_DATA_POOR,pts,10.0,1061,475,0.31481348074893906,0.0004997501249375312,0.0004997501249375312,1.1533396032256558,0.07024917654168317,0.0069965017491254375,-0.24456430420725583,0.0004997501249375312,4.481383216814518
TIER_DATA_POOR,minutes,1.0,1061,475,0.09888694744492753,0.0004997501249375312,0.0004997501249375312,1.107343940244264,0.0410444551275875,0.0004997501249375312,-0.057842492317340025,0.0004997501249375312,2.409264470378167
TIER_DATA_POOR,minutes,2.0,1061,475,0.1895316010613407,0.0004997501249375312,0.0004997501249375312,1.1909471643396252,0.028418911951287346,0.017491254372813594,-0.16111268911005333,0.0004997501249375312,6.669206807995164
TIER_DATA_POOR,minutes,3.0,1061,475,0.25427686640487623,0.0004997501249375312,0.0004997501249375312,1.2355884553887295,0.016589418505435872,0.21639180409795103,-0.23768744789944032,0.0004997501249375312,15.327653969399655
TIER_DATA_POOR,minutes,5.0,1061,475,0.3365498365838633,0.0004997501249375312,0.0004997501249375312,1.2806699470319196,-0.00020066119028167988,0.9945027486256871,-0.33675049777414495,0.0004997501249375312,-1677.2044265830805
TIER_DATA_POOR,minutes,10.0,1061,475,0.43130322101667273,0.0004997501249375312,0.0004997501249375312,1.3207266239375348,-0.02112343434000617,0.22338830584707647,-0.452426655356679,0.0004997501249375312,-20.418233800164654
TIER_DATA_POOR,ppm,1.0,1061,475,0.016123536066646828,0.03548225887056472,0.04697651174412794,0.9097520273706233,0.26767811454818463,0.0004997501249375312,0.2515545784815377,0.0004997501249375312,0.06023479391978621
TIER_DATA_POOR,ppm,2.0,1061,475,0.032383143536669885,0.0014992503748125937,0.0029985007496251873,0.9454208707223287,0.3161824826126599,0.0004997501249375312,0.28379933907599003,0.0004997501249375312,0.1024191576620041
TIER_DATA_POOR,ppm,3.0,1061,475,0.04414752345819868,0.0009995002498750624,0.0004997501249375312,0.9726249828985518,0.3303761904101062,0.0004997501249375312,0.2862286669519075,0.0004997501249375312,0.133628042031107
TIER_DATA_POOR,ppm,5.0,1061,475,0.059199337383850796,0.0004997501249375312,0.0004997501249375312,1.0082919864443642,0.33599422593624284,0.0004997501249375312,0.2767948885523921,0.0004997501249375312,0.17619153191961182
TIER_DATA_POOR,ppm,10.0,1061,475,0.07664000462184417,0.0004997501249375312,0.0004997501249375312,1.0488320049107962,0.3316557855873936,0.0004997501249375312,0.25501578096554944,0.0004997501249375312,0.23108297202205447
sub_0_priors,pts,1.0,71,71,0.5675904544625063,0.0014992503748125937,0.0014992503748125937,1.0,0.49331222021416704,0.001999000499750125,-0.0742782342483393,0.0004997501249375312,1.150570432283417
sub_0_priors,pts,2.0,71,71,0.5675904544625063,0.0014992503748125937,0.0014992503748125937,1.0,0.49331222021416704,0.001999000499750125,-0.0742782342483393,0.0004997501249375312,1.150570432283417
sub_0_priors,pts,3.0,71,71,0.5675904544625063,0.0014992503748125937,0.0014992503748125937,1.0,0.49331222021416704,0.001999000499750125,-0.0742782342483393,0.0004997501249375312,1.150570432283417
sub_0_priors,pts,5.0,71,71,0.5675904544625063,0.0014992503748125937,0.0014992503748125937,1.0,0.49331222021416704,0.001999000499750125,-0.0742782342483393,0.0004997501249375312,1.150570432283417
sub_0_priors,pts,10.0,71,71,0.5675904544625063,0.0014992503748125937,0.0014992503748125937,1.0,0.49331222021416704,0.001999000499750125,-0.0742782342483393,0.0004997501249375312,1.150570432283417
sub_0_priors,minutes,1.0,71,71,0.6416227321812092,0.0004997501249375312,0.0004997501249375312,1.0,0.527540109581768,0.0004997501249375312,-0.11408262259944142,0.0004997501249375312,1.216253931269578
sub_0_priors,minutes,2.0,71,71,0.6416227321812092,0.0004997501249375312,0.0004997501249375312,1.0,0.527540109581768,0.0004997501249375312,-0.11408262259944142,0.0004997501249375312,1.216253931269578
sub_0_priors,minutes,3.0,71,71,0.6416227321812092,0.0004997501249375312,0.0004997501249375312,1.0,0.527540109581768,0.0004997501249375312,-0.11408262259944142,0.0004997501249375312,1.216253931269578
sub_0_priors,minutes,5.0,71,71,0.6416227321812092,0.0004997501249375312,0.0004997501249375312,1.0,0.527540109581768,0.0004997501249375312,-0.11408262259944142,0.0004997501249375312,1.216253931269578
sub_0_priors,minutes,10.0,71,71,0.6416227321812092,0.0004997501249375312,0.0004997501249375312,1.0,0.527540109581768,0.0004997501249375312,-0.11408262259944142,0.0004997501249375312,1.216253931269578
sub_0_priors,ppm,1.0,71,71,0.08206907959706683,0.12393803098450774,0.12393803098450774,1.0,0.054179842317786046,0.2798600699650175,-0.02788923727928076,0.005497251374312844,1.5147530167345165
sub_0_priors,ppm,2.0,71,71,0.08206907959706683,0.12393803098450774,0.12393803098450774,1.0,0.054179842317786046,0.2798600699650175,-0.02788923727928076,0.005497251374312844,1.5147530167345165
sub_0_priors,ppm,3.0,71,71,0.08206907959706683,0.12393803098450774,0.12393803098450774,1.0,0.054179842317786046,0.2798600699650175,-0.02788923727928076,0.005497251374312844,1.5147530167345165
sub_0_priors,ppm,5.0,71,71,0.08206907959706683,0.12393803098450774,0.12393803098450774,1.0,0.054179842317786046,0.2798600699650175,-0.02788923727928076,0.005497251374312844,1.5147530167345165
sub_0_priors,ppm,10.0,71,71,0.08206907959706683,0.12393803098450774,0.12393803098450774,1.0,0.054179842317786046,0.2798600699650175,-0.02788923727928076,0.005497251374312844,1.5147530167345165
sub_1_2_priors,pts,1.0,928,472,0.060547694274513834,0.0004997501249375312,0.0004997501249375312,1.01189414540614,0.10325569219820852,0.0004997501249375312,0.04270799792369467,0.03948025987006497,0.5863860188771689
sub_1_2_priors,pts,2.0,928,472,0.13278989433276264,0.0004997501249375312,0.0004997501249375312,1.0736357057191301,0.10635446734384975,0.0004997501249375312,-0.02643542698891288,0.3828085957021489,1.2485596294083796
sub_1_2_priors,pts,3.0,928,472,0.18377061987702792,0.0004997501249375312,0.0004997501249375312,1.1147719100648539,0.09965278707757246,0.0004997501249375312,-0.08411783279945546,0.01199400299850075,1.8441091841613606
sub_1_2_priors,pts,5.0,928,472,0.24779602715866159,0.0004997501249375312,0.0004997501249375312,1.161065416383064,0.08590923219337239,0.0009995002498750624,-0.1618867949652892,0.0004997501249375312,2.884393456117726
sub_1_2_priors,pts,10.0,928,472,0.3203772232888861,0.0004997501249375312,0.0004997501249375312,1.2053617595385542,0.06576473570543467,0.02448775612193903,-0.25461248758345134,0.0004997501249375312,4.871565586819666
sub_1_2_priors,minutes,1.0,928,472,0.08429233754289149,0.0004997501249375312,0.0004997501249375312,1.091224856589731,0.022159437703847724,0.005997001499250375,-0.06213289983904378,0.0004997501249375312,3.8039023674438783
sub_1_2_priors,minutes,2.0,928,472,0.18549406043173725,0.0004997501249375312,0.0004997501249375312,1.1777034947920273,0.008216185412385921,0.4657671164417791,-0.17727787501935133,0.0004997501249375312,22.57666436690979
sub_1_2_priors,minutes,3.0,928,472,0.25678622813245605,0.0004997501249375312,0.0004997501249375312,1.224070249362364,-0.0046245984326322605,0.7161419290354822,-0.26141082656508835,0.0004997501249375312,-55.52616770366735
sub_1_2_priors,minutes,5.0,928,472,0.34617304345775984,0.0004997501249375312,0.0004997501249375312,1.2694377983504626,-0.022562903760781832,0.14392803598200898,-0.3687359472185417,0.0004997501249375312,-15.342575012861046
sub_1_2_priors,minutes,10.0,928,472,0.44732487278481875,0.0004997501249375312,0.0004997501249375312,1.3074696651771036,-0.04446475549845255,0.010994502748625687,-0.4917896282832712,0.0004997501249375312,-10.060212133638887
sub_1_2_priors,ppm,1.0,928,472,0.011940041058539623,0.1469265367316342,0.16991504247876063,0.9368787641536886,0.2953710885722267,0.0004997501249375312,0.2834310475136871,0.0004997501249375312,0.04042386516654605
sub_1_2_priors,ppm,2.0,928,472,0.029268399928274978,0.01199400299850075,0.014992503748125937,0.9486587536017949,0.34806381162151817,0.0004997501249375312,0.31879541169324316,0.0004997501249375312,0.084089178337509
sub_1_2_priors,ppm,3.0,928,472,0.04166399751755219,0.0014992503748125937,0.0024987506246876563,0.9665216544348619,0.3629851417775327,0.0004997501249375312,0.3213211442599805,0.0004997501249375312,0.11478155087429813
sub_1_2_priors,ppm,5.0,928,472,0.05731213353438238,0.0009995002498750624,0.0009995002498750624,0.993938693219136,0.36835012902701203,0.0004997501249375312,0.3110379954926296,0.0004997501249375312,0.15559145774095695
sub_1_2_priors,ppm,10.0,928,472,0.07510951356916043,0.0004997501249375312,0.0004997501249375312,1.027275220801484,0.36295086022876794,0.0004997501249375312,0.2878413466596075,0.0004997501249375312,0.20694127442436394
