target,bin,lo,hi,n,n_clusters,dr2_champion_minus_placeholder,ci95_lo,ci95_hi,champion_ahead,placeholder_ahead
pts,0,0,1,71,71,-0.5669409313232419,-1.3056555690449523,-0.2310854396880239,False,True
pts,1,1,2,470,470,-0.4597893008313908,-0.538156948941323,-0.3858221451608038,False,True
pts,2,2,3,458,458,-0.5598681373261141,-0.6185969582484525,-0.49756174500683653,False,True
pts,3,3,4,452,452,-0.09010653521526102,-0.14710881038160853,-0.040716392566732755,False,True
pts,4,4,5,448,448,-0.038700517759285735,-0.06841123395319247,-0.01143975262485285,False,True
pts,5,5,6,441,441,-0.05217082629218206,-0.09197253218630966,-0.02030821569459158,False,True
pts,6-7,6,8,873,439,-0.010682883947338517,-0.026742169935214714,0.0059624675144568,False,False
pts,8-10,8,11,1259,431,-0.017759632700882655,-0.028781666779391084,-0.006665161116963324,False,True
pts,11-15,11,16,1972,407,-0.009812224971076589,-0.018599114113750592,-0.0003152016352205175,False,True
pts,16-24,16,25,3204,377,0.013571885408013462,0.003823606274892405,0.02437919386121045,True,False
pts,25+,25,999,4231,324,0.006208437204221928,-0.003510999377322957,0.016493482586823614,False,False
minutes,0,0,1,71,71,-0.6585830778208348,-1.1801811226942907,-0.364092813279983,False,True
minutes,1,1,2,470,470,-0.6646889195741734,-0.7369214869161349,-0.6008797473680566,False,True
minutes,2,2,3,458,458,-0.722314986955751,-0.7750406548164046,-0.6726190479291448,False,True
minutes,3,3,4,452,452,-0.06093661681791884,-0.10686522519648957,-0.017684660132787945,False,True
minutes,4,4,5,448,448,-0.012179920624026064,-0.03628629678566161,0.008959203239076629,False,False
minutes,5,5,6,441,441,0.017162524683683955,-0.0035267003066019207,0.03550451576811236,False,False
minutes,6-7,6,8,873,439,0.02823182798905577,0.013673374414261889,0.04310773703715281,True,False
minutes,8-10,8,11,1259,431,0.013223627390111181,-0.00023088369788739892,0.026747731315269627,False,False
minutes,11-15,11,16,1972,407,0.04303127942849638,0.02796922823635299,0.05997268866775958,True,False
minutes,16-24,16,25,3204,377,0.0808157889900657,0.05682559484011786,0.10742520362054855,True,False
minutes,25+,25,999,4231,324,0.08135238375277809,0.05913170775990614,0.10647557404688555,True,False
