axis,n,n_at,n_ge,n_lt,skill_at_pts,skill_ge_pts,skill_lt_pts,skill_at_minutes,skill_ge_minutes,skill_lt_minutes
pl_games_prior,0,71,13879,0,0.008214341418050664,-0.0022218316796525084,,-0.0002815579685420122,0.035549460412317546,
pl_games_prior,1,470,13808,71,-0.04898624272981378,-0.0022973991256776127,0.008214341418050664,-0.10137815419948715,0.03594030136244053,-0.0002815579685420122
pl_games_prior,2,458,13338,541,-0.3911248669300904,-1.1794339164206136e-05,-0.041303388186535006,-0.8175062778579112,0.04421280392484639,-0.08509611485596258
pl_games_prior,3,452,12880,999,0.025843019905060105,0.014916215128442212,-0.17912931366801388,-0.035631226203311606,0.0761622166180933,-0.32853713091953507
pl_games_prior,4,448,12428,1451,0.009554224487075325,0.01452006567670494,-0.12474491218754014,-0.012307654195180762,0.08011422252299305,-0.2598920651854115
pl_games_prior,5,441,11980,1899,0.017250565129671602,0.014695668374000381,-0.09788907718145845,0.03715658667237798,0.08331273498486069,-0.21495383978219618
pl_games_prior,6,438,11539,2340,0.015841036599950398,0.014604460955190635,-0.07910727119372862,0.019473093418440057,0.08499573828692919,-0.17568276523241866
pl_games_prior,7,435,11101,2778,0.017956837272186554,0.014561193961233121,-0.06640273461336599,0.0443650342435431,0.08728316313873763,-0.15110202804883066
pl_games_prior,8,430,10666,3213,0.02323811618132754,0.014429829827406149,-0.05588529083287086,0.025083856009206373,0.08887961824311053,-0.1287075674085547
pl_games_prior,9,420,10236,3643,-0.015149682431275346,0.014058611207927951,-0.046762393602724606,-0.0050008946673798516,0.09136010872462053,-0.11281180667696389
pl_games_prior,10,409,9816,4063,0.0028833178934427606,0.015210208537871472,-0.04379023915311775,0.03756127504986029,0.0951755153328585,-0.10289990197011845
pl_games_prior,11,405,9407,4472,0.0010796809259489004,0.01573067438226261,-0.03967860152770131,0.04038015948457496,0.09741057999082958,-0.0916919264563214
pl_games_prior,12,400,9002,4877,-0.010316462721993602,0.016359658585746728,-0.036454906794628705,0.02316208772164363,0.09990223554583477,-0.08122159579516985
pl_games_prior,13,395,8602,5277,0.0037866077023812617,0.017538697745042242,-0.034564058770729655,0.04465029289735101,0.1032932036630465,-0.07377782378728504
pl_games_prior,14,388,8207,5672,0.011205576200742806,0.018193050815651035,-0.0319103234558471,0.07999546078151787,0.10604830168227408,-0.06578071208958791
pl_games_prior,15,384,7819,6060,0.02792472100052601,0.018525056983146992,-0.02924222388451314,0.09576793165148678,0.10728313559302227,-0.056878082007400854
pl_games_prior,16,374,7435,6444,0.014637324808173369,0.018072380494648876,-0.02601453161495404,0.12047843455932539,0.10784526491794921,-0.04824163976360207
pl_games_prior,17,374,7061,6818,0.006550077909827423,0.018249855443361884,-0.02380063478971528,0.116371158011772,0.10718074444895753,-0.03900462753860956
pl_games_prior,18,367,6687,7192,0.01281656705257228,0.018866168346235557,-0.02227992349575425,0.04980998266323744,0.10666755917125037,-0.030898324391750442
pl_games_prior,19,363,6320,7559,0.05275439211691446,0.01917515061065378,-0.02072943632597335,0.15326019668088764,0.10999497355926247,-0.02693405026298623
pl_games_prior,20,361,5957,7922,-0.015561655041788969,0.017213559264470435,-0.017381192740201667,0.07660364649411833,0.10718225962260552,-0.018151899302566
pl_games_prior,21,350,5596,8283,0.014921450014291349,0.019132773004100545,-0.01730593230131028,0.10239057012781994,0.10911639561191067,-0.014106489781222864
pl_games_prior,22,343,5246,8633,0.022063097702452406,0.019412381977778836,-0.015948319569389247,0.08491425984267775,0.10955288884482994,-0.009503708012534196
pl_games_prior,23,341,4903,8976,0.026354012221693646,0.01923162059924055,-0.014468595594756106,0.09746619370704557,0.11134651260652118,-0.0057579073286144755
pl_games_prior,24,331,4562,9317,0.02199495126623696,0.018697937991086766,-0.012906329016873164,0.10692208422171345,0.11243790350594152,-0.0018138249019419295
pl_games_prior,25,324,4231,9648,0.009373165824295926,0.01844013235235764,-0.011659755386270065,0.11206663335923184,0.11287421567619293,0.001926254747459999
pl_games_prior,26,318,3907,9972,0.023044943989319444,0.019248463133984317,-0.010901698570282115,0.1747218479176601,0.11294352388658813,0.005585834125715672
pl_games_prior,27,304,3589,10290,0.016557526858238636,0.018954315858835447,-0.009942735993964558,0.12314805571694198,0.1076800295982202,0.010575219620258092
pl_games_prior,28,301,3285,10594,0.043853738821748034,0.019162353667930843,-0.009192895330441209,0.10688912970281705,0.10632410918677038,0.013631266125379349
pl_games_prior,29,290,2984,10895,0.027880797704850524,0.01696391238550754,-0.007815788296186232,0.08035609242572161,0.10627345777047315,0.015948278236671443
pl_games_prior,30,281,2694,11185,0.0011239959507653996,0.015742038099530675,-0.006798001726948444,0.08082800283950387,0.10889726570114322,0.017548527514595902
pl_career_games_prior,0,22,13879,0,,-0.0022218316796525084,,,0.035549460412317546,
pl_career_games_prior,1,108,13857,22,-0.13497565211571483,-0.002207119788110168,,-0.15550538452697782,0.035717767185064475,
pl_career_games_prior,2,103,13749,130,-0.9098813653552793,-0.0008588365000758991,-0.11243008661140141,-1.113309981799012,0.03856285820637828,-0.12542959831549738
pl_career_games_prior,3,99,13646,233,-0.030424751183018017,0.004439101701847581,-0.36685082457643325,-0.09584902261128003,0.04744095462234177,-0.4119870806143422
pl_career_games_prior,4,99,13547,332,-0.03566024114424082,0.004650427547905234,-0.2834121031235872,-0.051256123222051864,0.048462842074170176,-0.34546504159207037
pl_career_games_prior,5,99,13448,431,-0.029153707629188563,0.004885317262018352,-0.23593822752092408,0.0008732328277761825,0.049114731998021965,-0.2981518965563632
pl_career_games_prior,6,100,13349,530,0.008239195138058486,0.00507146667199454,-0.20456450313021124,0.027355530994285004,0.049467622292895586,-0.25282991232118857
pl_career_games_prior,7,103,13249,630,0.013107723583059672,0.005054006002045863,-0.17647245155811175,0.041212835211697385,0.04963377230761756,-0.2153288465947636
pl_career_games_prior,8,101,13146,733,0.0300424849297225,0.005007846821143969,-0.15370565665283586,0.058266465401293877,0.04969858579877329,-0.18460591659901793
pl_career_games_prior,9,98,13045,834,0.0009172787781706049,0.004851985413024007,-0.1326178781600409,0.011515915073282645,0.04963116327548067,-0.1582964925164123
pl_career_games_prior,10,95,12947,932,0.009308494061884054,0.0048724768750060266,-0.12097668483255242,0.07761068326163778,0.04992860333539251,-0.14193932697378875
pl_career_games_prior,11,94,12852,1027,-0.07012833090960213,0.0048504076012612085,-0.11100655527786851,0.0017583584596377877,0.049740828417769944,-0.125082352741559
pl_career_games_prior,12,98,12758,1121,0.013339789670393176,0.005306153840495709,-0.10753068859292436,0.05478931442611501,0.050117049167172634,-0.11481681769668373
pl_career_games_prior,13,95,12660,1219,-0.05679968799444879,0.005253780392325824,-0.0974888113613257,-0.009345872655946996,0.05007848625615652,-0.10160237097741054
