cell,target,step,r2_of_forecast,mae,dr2_vs_previous_step,p_cluster_vs_previous
TIER_DATA_POOR,pts,league,-0.029126126839823296,6.064167466435654,,
TIER_DATA_POOR,pts,league+depth,0.33875294551690527,4.680121616222157,0.36787907235672895,0.0004997501249375312
TIER_DATA_POOR,pts,league+depth+draft,0.3967424422804261,4.409576242609745,0.05798949676352067,0.0029985007496251873
TIER_DATA_POOR,pts,league+depth+draft+pos,0.3953834884198697,4.39021093129481,-0.001358953860556413,0.782608695652174
TIER_DATA_POOR,minutes,league,-0.0568222555868203,9.738812594942605,,
TIER_DATA_POOR,minutes,league+depth,0.487898239345254,6.459229473823684,0.5447204949320743,0.0004997501249375312
TIER_DATA_POOR,minutes,league+depth+draft,0.5240700406925988,6.083549553867429,0.03617180134734472,0.0074962518740629685
TIER_DATA_POOR,minutes,league+depth+draft+pos,0.5232540299416607,6.064635245809886,-0.0008160107509380556,0.8860569715142429
sub_0_priors,pts,league,-0.916625812484593,5.828997600946581,,
sub_0_priors,pts,league+depth,-0.5907039989121945,5.280376787021098,0.32592181357239836,0.0004997501249375312
sub_0_priors,pts,league+depth+draft,-0.3417927795550799,4.570417008758402,0.24891121935711472,0.06296851574212893
sub_0_priors,pts,league+depth+draft+pos,-0.3490353580220864,4.608729147995687,-0.007242578467006835,0.8495752123938031
sub_0_priors,minutes,league,-1.2064643738135747,11.068583936684599,,
sub_0_priors,minutes,league+depth,-0.8131185995013979,9.988364081600505,0.39334577431217715,0.0004997501249375312
sub_0_priors,minutes,league+depth+draft,-0.5639405730248288,9.333189599331957,0.2491780264765692,0.025487256371814093
sub_0_priors,minutes,league+depth+draft+pos,-0.5648416416323656,9.384576078269351,-0.000901068607537149,0.9760119940029985
sub_1_2_priors,pts,league,-0.020321998138260744,6.06722646987251,,
sub_1_2_priors,pts,league+depth,0.3606603890282539,4.60136033420749,0.38098238716651467,0.0004997501249375312
sub_1_2_priors,pts,league+depth+draft,0.4121385770590841,4.36836320435144,0.051478188030830166,0.004497751124437781
sub_1_2_priors,pts,league+depth+draft+pos,0.41108511161079164,4.348073568983379,-0.0010534654482924173,0.8265867066466767
sub_1_2_priors,minutes,league,-0.03694786643528114,9.644123379374493,,
sub_1_2_priors,minutes,league+depth,0.5353770235227187,6.1729753955038245,0.5723248899579999,0.0004997501249375312
sub_1_2_priors,minutes,league+depth+draft,0.5645153814328883,5.832933067185058,0.029138357910169648,0.017491254372813594
sub_1_2_priors,minutes,league+depth+draft+pos,0.5647968660639338,5.801993096222197,0.0002814846310455316,0.9545227386306847
