cell,target,placeholder,n,n_clusters,r2_placeholder,r2_champion,dr2_vs_champion,p_cluster_vs_champion,p_row_NAIVE_vs_champion,inflation_vs_champion,dr2_vs_P1refD076,p_cluster_vs_P1refD076,dr2_vs_P1full,p_cluster_vs_P1full,p_row_NAIVE_vs_P1full,inflation_vs_P1full,mae,mae_champion,mae_P1refD076,mae_P1full,skill_mae_vs_P1full
TIER_DATA_POOR (fallback),pts,P0_champion,1061,475,-0.029110794437623655,-0.029110794437623655,-0.0,1.0,1.0,inf,-0.18506390566620354,0.0004997501249375312,-0.3915878828024973,0.0004997501249375312,0.0004997501249375312,1.2010709921775606,6.0639561358648475,6.0639561358648475,5.111809205696288,4.252019916011727,-0.4261354028540547
TIER_DATA_POOR (fallback),pts,P1_ref_D076,1061,475,0.1559531112285798,-0.029110794437623655,0.18506390566620354,0.0004997501249375312,0.0004997501249375312,0.9899128521969438,-0.0,1.0,-0.20652397713629378,0.0004997501249375312,0.0004997501249375312,0.9140443090619659,5.111809205696288,6.0639561358648475,5.111809205696288,4.252019916011727,-0.202207258354288
TIER_DATA_POOR (fallback),pts,P1full_running_mean,1061,475,0.3624770883648737,-0.029110794437623655,0.3915878828024973,0.0004997501249375312,0.0004997501249375312,1.2010709921775606,0.20652397713629378,0.0004997501249375312,-0.0,1.0,1.0,inf,4.252019916011727,6.0639561358648475,5.111809205696288,4.252019916011727,0.0
TIER_DATA_POOR (fallback),pts,P1c_career_mean,1061,475,0.444077215860723,-0.029110794437623655,0.47318801029834673,0.0004997501249375312,0.0004997501249375312,1.2892107298843343,0.28812410463214316,0.0004997501249375312,0.08160012749584937,0.009995002498750625,0.00849575212393803,0.9851447511930521,4.107886117397483,6.0639561358648475,5.111809205696288,4.252019916011727,0.03389772424900506
TIER_DATA_POOR (fallback),pts,P2_position,1061,475,-0.028285666302112933,-0.029110794437623655,0.0008251281355107384,0.912543728135932,0.8650674662668666,1.3938164806992568,-0.18423877753069276,0.0004997501249375312,-0.39076275466698657,0.0004997501249375312,0.0004997501249375312,1.2009091693984197,6.042699460519594,6.0639561358648475,5.111809205696288,4.252019916011727,-0.4211362081736141
TIER_DATA_POOR (fallback),pts,P3_draft_bin,1061,475,0.1278236391282076,-0.029110794437623655,0.15693443356583126,0.0004997501249375312,0.0004997501249375312,1.320081392910635,-0.02812947210037222,0.40929535232383807,-0.23465344923666603,0.0004997501249375312,0.0004997501249375312,1.1835929408133943,5.535518695636234,6.0639561358648475,5.111809205696288,4.252019916011727,-0.30185624831889135
TIER_DATA_POOR (fallback),pts,P3_draft_ols,1061,475,0.19609914057760214,-0.029110794437623655,0.22520993501522585,0.0004997501249375312,0.0004997501249375312,1.2940873772875987,0.04014602934902234,0.3023488255872064,-0.16637794778727144,0.0004997501249375312,0.0004997501249375312,1.192959501567356,5.277862502152165,6.0639561358648475,5.111809205696288,4.252019916011727,-0.24126006143043877
TIER_DATA_POOR (fallback),pts,P4_teamrole,1061,475,0.33875294551690527,-0.029110794437623655,0.36786373995452903,0.0004997501249375312,0.0004997501249375312,1.270195082685914,0.18279983428832555,0.0004997501249375312,-0.023724142847968237,0.5062468765617192,0.44377811094452774,1.1107008123908293,4.680121616222157,6.0639561358648475,5.111809205696288,4.252019916011727,-0.10068196026042542
TIER_DATA_POOR (fallback),pts,P5a_draft_x_depth,1061,475,0.24286707620144465,-0.029110794437623655,0.27197787063906836,0.0004997501249375312,0.0004997501249375312,1.2784821927038517,0.0869139649728649,0.005997001499250375,-0.1196100121634289,0.0009995002498750624,0.0014992503748125937,1.1130283049562832,5.198658722570681,6.0639561358648475,5.111809205696288,4.252019916011727,-0.22263273109192627
TIER_DATA_POOR (fallback),pts,P5b_pos_x_draft,1061,475,0.10414672766648403,-0.029110794437623655,0.13325752210410768,0.0004997501249375312,0.0004997501249375312,1.3352986149599495,-0.05180638356209584,0.14342828585707146,-0.2583303606983896,0.0004997501249375312,0.0004997501249375312,1.1817775653884797,5.6347741137320595,6.0639561358648475,5.111809205696288,4.252019916011727,-0.3251993699543432
TIER_DATA_POOR (fallback),pts,P5c_additive,1061,475,0.3953834884198697,-0.029110794437623655,0.42449428285749335,0.0004997501249375312,0.0004997501249375312,1.2142623430487933,0.23943037719128982,0.0004997501249375312,0.03290640005499603,0.30334832583708143,0.26036981509245377,1.0762845674137178,4.39021093129481,6.0639561358648475,5.111809205696288,4.252019916011727,-0.03250008655008907
