boundary_prior_games_lt,n_poor,pct_rows,n_poor_decision,pct_decision,n_poor_outcome,pct_outcome,n_players
1,71,0.511564233734419,71,0.7070304720175263,26,0.26982150269821503,71
2,541,3.8979753584552204,499,4.969129655447122,310,3.217102532171025,473
3,999,7.197924922544852,779,7.757418840868353,601,6.237027812370278,475
4,1451,10.4546437063189,1072,10.675164309898427,885,9.18430884184309,475
5,1899,13.682541969882555,1348,13.423620792670782,1155,11.986301369863014,475
6,2340,16.86000432307803,1622,16.1521609241187,1437,14.91282689912827,475
8,3213,23.150082858995606,2182,21.728739294961162,1993,20.68285595682856,475
10,4063,29.274443403703437,2741,27.295359490141408,2553,26.49439601494396,475
