stratum,response,n,sst_all,dr2_on_all_rows,total_sse_reduction,sse_reduction_T1,sse_reduction_T2,sse_reduction_T3,dr2_T3_own_sst,dr2_T3_common_sst,sd_ratio_T3_over_all
DECISION,ppm,4514,226.29368889539427,0.005028055896625616,1.1378173168196755,-0.04715514107926452,-0.16559761467759582,1.3505700725765362,0.016771871299160638,0.005968218023087891,0.9759677363794376
DECISION,points,4514,259213.48094816128,0.0033354248642841694,864.5870895121773,-81.05723775946069,-326.96263655479726,1272.6069638264348,0.01355254256616991,0.004909493746897125,0.9847179333678564
