stratum,tier,response,n_scored,sst,sd_response,G_refit_L4,G_step_L3,G_pooled_main_L1,R_nodef_refit_only,R_nodef_p_cluster,R_nodef_share_of_G_refit,transplant_tier_frozen_dr2,transplant_tier_frozen_share,transplant_tier_gamma,transplant_pooled_frozen_dr2,transplant_pooled_frozen_share,abs_sse_reduction_L4,abs_sse_reduction_L1,abs_sse_reduction_refit_only
DECISION,T3_high,ppm,1687,80.52590247601808,0.21854406419048147,0.023862917871899685,0.021986191345725888,0.01677187129916075,0.03331856149479662,0.8775612193903048,1.3962484250105742,0.02329485156085206,0.9761945997510822,0.004841495722162063,0.023658651172436103,0.9914399948673451,1.921582997345823,1.350570072576545,2.683007233571203
DECISION,T3_high,points,1687,93901.71310017783,7.462906019211838,0.018702810112816298,0.017707063229555987,0.013552542566170023,0.01819272297084565,0.816591704147926,0.9727267111790272,0.01806321846480614,0.9658023770678251,0.004841495722162063,0.0185619294079442,0.9924674044155772,1756.2259093807806,1272.6069638264453,1708.327852919363
DECISION,T2_mid,ppm,1568,58.025938637634646,0.19243168777320316,0.005179000369583651,-0.00121930409700636,-0.0028538549925360007,0.03376155750832624,0.09695152423788106,6.518933210858294,0.006987150158762141,1.349131040769524,0.002162923110643939,0.007390530115908938,1.4270186500301556,0.30051635764974804,-0.16559761467760126,1.9590460642891117
DECISION,T2_mid,points,1568,61009.96875,6.239731513602,0.0022479303641695526,-0.0027448972574852866,-0.005359167415649522,0.022584982922495302,0.11894052973513243,10.047011812502838,0.003302382403329668,1.4690768254957305,0.002162923110643939,0.0030406913078471296,1.3526625896930062,137.14616127016052,-326.9626365547956,1377.909102320722
DECISION,T1_low,ppm,1259,44.498143704477584,0.18807480775052127,-0.00407676280294455,-0.0030666061443409068,-0.0010597102969605611,-0.004836613291288501,0.6061969015492253,1.186385748956287,0.0003469842450614208,-0.08511268911961281,0.0024124903655832917,-0.00033368783190258707,0.0818511765417336,-0.1814083770544954,-0.04715514107926566,-0.21522031327874203
DECISION,T1_low,points,1259,39379.5552025417,5.594935479760974,-0.004805734516440893,-0.004119514730434445,-0.0020583583878120175,-0.0018253748908115864,0.8180909545227386,0.3798326529621639,-0.0007457384535807739,0.15517678952708036,0.0024124903655832917,-0.0016101184115850414,0.33504106522669264,-189.2476876789442,-81.05723775945808,-71.88245127804839
POOLED,T3_high,ppm,3983,183.41402114539278,0.2146177504096697,0.014362831759674332,0.013796654398549366,0.009610388595925601,-0.0006365537013696239,0.8300849575212393,-0.04431951247642111,0.014008757414757912,0.9753478735362944,0.0037993289165986215,0.0138856977245768,0.9667799468042818,2.634344728076627,1.76268001714854,-0.11675287404318624
POOLED,T3_high,points,3983,216172.5302535777,7.368000134385571,0.010787871829551142,0.010469282303270284,0.0072190340863652275,0.004285642230256028,0.08045977011494253,0.3972648450008831,0.0105316028910402,0.9762447179054401,0.0037993289165986215,0.010543075264061513,0.9773081688995359,2332.0415494453628,1560.5568644363957,926.4381246760313
POOLED,T2_mid,ppm,3112,141.9502564074121,0.21360828101962287,-0.0007817509577217539,-0.0004556341539787604,-0.0003756408173858395,-0.006344419371611746,0.06646676661669165,8.115652829004777,-0.0006948175174274093,0.8887965029838998,0.0013793173088117955,-0.0004964749150092598,0.6350806610536555,-0.11096974889534295,-0.05332231034500978,-0.9005919565564398
POOLED,T2_mid,points,3112,96127.75546272492,5.558714838865905,-0.000500508419542533,-0.00015737650935316404,0.0001620443354443015,-0.00459263539647308,0.18940529735132433,9.175940338168079,-0.0004745083290869875,0.9480526411937092,0.0013793173088117955,-0.00026825079869072336,0.5359566157466559,-48.11275096081954,15.576958251709584,-441.479732321619
POOLED,T1_low,ppm,4610,501.66815359815234,0.3299171653527472,-0.00030500384764424953,-0.00010849167430557979,-0.0004959730530063346,-0.0005226240543526121,0.8420789605197402,1.7134998734907452,-0.0003682067886099071,1.2072201431352965,0.0013987840584753807,-0.00038798737334506993,1.2720737011737988,-0.15301071708802283,-0.24881388573612642,-0.2621838443730553
POOLED,T1_low,points,4610,77482.315835141,4.100132978256726,0.0005948821282660877,0.0007723639752959296,0.00047571915903742016,-0.0009414619224560063,0.9060469765117442,-1.5826024647943286,0.00035172250800859803,0.5912473938892217,0.0013987840584753807,0.00042988913504310325,0.7226459068389025,46.092844946993864,36.85982212936506,-72.9466500224953
