kind,tier,response,n,defence_gain_L4,refit_without_defence,negative_control_noise_gain
REAL_TIER,T3_high,ppm,1687,0.023862917871899685,0.03331856149479662,0.0008178828441241199
REAL_TIER,T3_high,points,1687,0.018702810112816298,0.01819272297084565,0.0006452084763269412
REAL_TIER,T2_mid,ppm,1568,0.005179000369583651,0.03376155750832624,-0.005698949453598636
REAL_TIER,T2_mid,points,1568,0.0022479303641695526,0.022584982922495302,-0.004642901278539516
REAL_TIER,T1_low,ppm,1259,-0.00407676280294455,-0.004836613291288501,-0.008414838955865681
REAL_TIER,T1_low,points,1259,-0.004805734516440893,-0.0018253748908115864,-0.007057476296176854
