stratum,eval_rows,response,rung,n_scored,dr2_defence_family,sst,sd_response,mae_without,mae_with,mae_pct_reduction,n_defence_family_cols,mean_defence_beta,p_cluster_signflip,p_row_NAIVE,null_sd_cluster
DECISION,T3_high,ppm,L1_pooled_defence_main,1687,0.01677187129916075,80.52590247601808,0.21854406419048147,0.16505758434189052,0.16337203356929755,1.0211895317101094,1,0.0034133425061401157,0.0024987506246876563,0.0004997501249375312,0.0062939857758003955
DECISION,T3_high,ppm,L2_pooled_linear_interaction,1687,0.021237448321943624,80.52590247601808,0.21854406419048147,0.16505758434189052,0.16278675453534838,1.3757803469596874,2,0.0033938463534036734,0.005497251374312844,0.0004997501249375312,0.00863690474758145
DECISION,T3_high,ppm,L3_pooled_tier_dummy_x_defence,1687,0.021986191345725888,80.52590247601808,0.21854406419048147,0.16520936973218256,0.16304666379406368,1.3090697831635079,3,0.0027359857314504707,0.001999000499750125,0.0004997501249375312,0.007883395010767187
DECISION,T3_high,ppm,L4_tier_restricted_refit,1687,0.023862917871899685,80.52590247601808,0.21854406419048147,0.16488569523309793,0.16288870611322953,1.2111354578365763,1,0.004911343993350655,0.0009995002498750624,0.0004997501249375312,0.00788177627944741
DECISION,T3_high,points,L1_pooled_defence_main,1687,0.013552542566170023,93901.71310017783,7.462906019211838,5.750396403777959,5.697408113084222,0.9214719642444802,1,0.0034133425061401157,0.006496751624187906,0.0004997501249375312,0.005319707544607159
DECISION,T3_high,points,L2_pooled_linear_interaction,1687,0.01883494301849796,93901.71310017783,7.462906019211838,5.750396403777959,5.674971520641801,1.3116466733772425,2,0.0033938463534036734,0.017491254372813594,0.0004997501249375312,0.008264125092339902
DECISION,T3_high,points,L3_pooled_tier_dummy_x_defence,1687,0.017707063229555987,93901.71310017783,7.462906019211838,5.756828825815313,5.685681961887798,1.2358690188680188,3,0.0027359857314504707,0.01249375312343828,0.0004997501249375312,0.007565062781159754
DECISION,T3_high,points,L4_tier_restricted_refit,1687,0.018702810112816298,93901.71310017783,7.462906019211838,5.740530802105541,5.676801134302327,1.110170296095947,1,0.004911343993350655,0.008995502248875561,0.0004997501249375312,0.0076805639834418415
DECISION,ALL_TIERS,ppm,L1_pooled_defence_main,4514,0.005028055896625616,226.29368889539427,0.22392550085847893,0.15378336080833946,0.15303314227512294,0.4878411612759037,1,0.0034133425061401157,0.16141929035482258,0.02848575712143928,0.003486637863369825
DECISION,ALL_TIERS,ppm,L2_pooled_linear_interaction,4514,0.005231022119028317,226.29368889539427,0.22392550085847893,0.15378336080833946,0.15283401889721804,0.6173242060333095,2,0.0033938463534036734,0.2028985507246377,0.06196901549225387,0.004000343475293442
DECISION,ALL_TIERS,ppm,L3_pooled_tier_dummy_x_defence,4514,0.006908051047054109,226.29368889539427,0.22392550085847893,0.1538096122297866,0.15291400240162648,0.5822846928591807,3,0.0027359857314504707,0.04897551224387806,0.00399800099950025,0.003558430248915306
DECISION,ALL_TIERS,points,L1_pooled_defence_main,4514,0.0033354248642841694,259213.48094816128,7.578724593435383,5.081570607553767,5.062934699485225,0.36673519877575833,1,0.0034133425061401157,0.23288355822088955,0.06046976511744128,0.00275291685145717
DECISION,ALL_TIERS,points,L2_pooled_linear_interaction,4514,0.004340569715041195,259213.48094816128,7.578724593435383,5.081570607553767,5.056046304195072,0.5022916206409378,2,0.0033938463534036734,0.2223888055972014,0.0704647676161919,0.003528865470398987
DECISION,ALL_TIERS,points,L3_pooled_tier_dummy_x_defence,4514,0.0051426060585910705,259213.48094816128,7.578724593435383,5.083768113784737,5.060260259455386,0.46241004316482925,3,0.0027359857314504707,0.1089455272363818,0.015492253873063468,0.003165239135477947
POOLED,T3_high,ppm,L1_pooled_defence_main,3983,0.009610388595925601,183.41402114539278,0.2146177504096697,0.15553408078785055,0.15473044641367767,0.5166934282840874,1,0.0022314572782072086,0.0004997501249375312,0.0004997501249375312,0.0025960656153777907
POOLED,T3_high,ppm,L2_pooled_linear_interaction,3983,0.015856680305972426,183.41402114539278,0.2146177504096697,0.15553408078785055,0.15399791131337126,0.9876738697383258,2,0.0022015598147015667,0.0004997501249375312,0.0004997501249375312,0.004798435864131945
POOLED,T3_high,ppm,L3_pooled_tier_dummy_x_defence,3983,0.013796654398549366,183.41402114539278,0.2146177504096697,0.15542229720362688,0.1541682119777317,0.8068888753150594,3,0.0014140578971549855,0.0004997501249375312,0.0004997501249375312,0.004294421742893753
POOLED,T3_high,ppm,L4_tier_restricted_refit,3983,0.014362831759674332,183.41402114539278,0.2146177504096697,0.15540719157646243,0.15410436152395612,0.838333180910289,1,0.00381253815735167,0.0004997501249375312,0.0004997501249375312,0.004306502498320645
POOLED,T3_high,points,L1_pooled_defence_main,3983,0.0072190340863652275,216172.5302535777,7.368000134385571,5.288290288081747,5.263579170867713,0.46727989327146613,1,0.0022314572782072086,0.0004997501249375312,0.0004997501249375312,0.002027901796990377
POOLED,T3_high,points,L2_pooled_linear_interaction,3983,0.012776587217526943,216172.5302535777,7.368000134385571,5.288290288081747,5.244993118996671,0.8187366185750999,2,0.0022015598147015667,0.0009995002498750624,0.0004997501249375312,0.004517288408038658
POOLED,T3_high,points,L3_pooled_tier_dummy_x_defence,3983,0.010469282303270284,216172.5302535777,7.368000134385571,5.285187204740142,5.249572871099213,0.6738518856813092,3,0.0014140578971549855,0.001999000499750125,0.0004997501249375312,0.003758297818578027
POOLED,T3_high,points,L4_tier_restricted_refit,3983,0.010787871829551142,216172.5302535777,7.368000134385571,5.276630807562809,5.2402162106435455,0.6901107590675304,1,0.00381253815735167,0.0009995002498750624,0.0004997501249375312,0.00368311799031072
POOLED,ALL_TIERS,ppm,L1_pooled_defence_main,11705,0.001556403040635914,938.4097710774555,0.28315817464666093,0.17691385692961056,0.17673738541934747,0.09974996494102051,1,0.0022314572782072086,0.10694652673663169,0.013993003498250875,0.0009476920116480645
POOLED,ALL_TIERS,ppm,L2_pooled_linear_interaction,11705,0.0029564123957759587,938.4097710774555,0.28315817464666093,0.17691385692961056,0.17639998665958656,0.2904635504207276,2,0.0022015598147015667,0.009495252373813094,0.0004997501249375312,0.001194292832345373
POOLED,ALL_TIERS,ppm,L3_pooled_tier_dummy_x_defence,11705,0.002569661711756994,938.4097710774555,0.28315817464666093,0.17688590171098453,0.1765199688031898,0.20687511229280364,3,0.0014140578971549855,0.015492253873063468,0.0004997501249375312,0.0011216956304926804
POOLED,ALL_TIERS,points,L1_pooled_defence_main,11705,0.0024159538851543866,667642.5633489962,7.5527455102589816,4.039787080917848,4.032103357780966,0.19020119087900245,1,0.0022314572782072086,0.0004997501249375312,0.0004997501249375312,0.0007943016543607477
POOLED,ALL_TIERS,points,L2_pooled_linear_interaction,11705,0.004288493584122739,667642.5633489962,7.5527455102589816,4.039787080917848,4.025150529124467,0.3623099807046226,2,0.0022015598147015667,0.0009995002498750624,0.0004997501249375312,0.0015748119549636992
POOLED,ALL_TIERS,points,L3_pooled_tier_dummy_x_defence,11705,0.0034567711392261597,667642.5633489962,7.5527455102589816,4.038766639620986,4.026954850643088,0.2924602986966951,3,0.0014140578971549855,0.0014992503748125937,0.0004997501249375312,0.001269973509357809
