response,rung,noise_dr2,real_dr2,noise_share_of_real
ppm,L1,0.0012684277189121255,0.01677187129916075,0.07562827643302966
ppm,L2,0.0015356289901606178,0.021237448321943624,0.07230760338443894
ppm,L3,-0.0019153651344937447,0.021986191345725888,-0.08711673178747675
ppm,L4,0.0008178828441241199,0.023862917871899685,0.034274217784876854
ppm,TRANSPLANT_pooled_frozen,0.0001220893513511404,,
points,L1,0.0007740369772718344,0.013552542566170023,0.057113783151214174
points,L2,0.000955138289040882,0.01883494301849796,0.05071097311538625
points,L3,-0.0011120769566778203,0.017707063229555987,-0.06280414444003238
points,L4,0.0006452084763269412,0.018702810112816298,0.03449794295269058
points,TRANSPLANT_pooled_frozen,6.374723696796834e-05,,
