response,anchor,published,reproduced,abs_delta
ppm,pooled_defence_maineffect_ALL_TIERS,0.005028055896625616,0.005028055896625616,0.0
ppm,pooled_linear_interaction_ALL_TIERS,0.00020296622240270165,0.00020296622240270165,0.0
points,pooled_defence_maineffect_ALL_TIERS,0.0033354248642841694,0.0033354248642841694,0.0
points,pooled_linear_interaction_ALL_TIERS,0.0010051448507570257,0.0010051448507570257,0.0
