response,published,reproduced_via_D098_score,reproduced_via_E1_I0025_ladder,abs_delta_published_vs_D098route,abs_delta_published_vs_newroute,abs_delta_route_vs_route,n_scored,n_scored_D098route,sst,sd_response,mean_defence_beta,PASS
ppm,0.023862917871899772,0.023862917871899685,0.023862917871899685,8.673617379884035e-17,8.673617379884035e-17,0.0,1687,1687,80.52590247601808,0.21854406419048147,0.004911343993350655,True
points,0.018702810112816066,0.018702810112816298,0.018702810112816298,2.3245294578089215e-16,2.3245294578089215e-16,0.0,1687,1687,93901.71310017783,7.462906019211838,0.004911343993350655,True
