section,axis_a,axis_b,pearson,spearman,jaccard_top_tercile,n_a,n_b,n_both,n_a_only,n_b_only,axis,response,n,defence_gain_L4,pooled_defence_L1,refit_without_defence,D098_published,abs_delta_vs_D098,top_on,not_top_on,n_frame,n_scored,note,dr2_full_over_B,dr2_added_by_a_given_b,dr2_added_by_b_given_a
collinearity,prior_usage_per_game,prior_minutes_per_game,0.7583973649909718,0.765045696867834,0.524677296886864,2073.0,1943.0,1382.0,691.0,561.0,,,,,,,,,,,,,,,,
collinearity,prior_usage_per_game,prior_points_per_minute,0.863711745258247,0.8636749053697516,0.6956168831168831,2073.0,2105.0,1714.0,359.0,391.0,,,,,,,,,,,,,,,,
collinearity,prior_minutes_per_game,prior_points_per_minute,0.49303457246835575,0.5136213137707358,0.4134078212290503,1943.0,2105.0,1184.0,759.0,921.0,,,,,,,,,,,,,,,,
per_axis,,,,,,,,,,,prior_usage_per_game,ppm,1687.0,0.023862917871899685,0.01677187129916075,0.03331856149479662,0.023862917871899685,0.0,,,,,,,,
per_axis,,,,,,,,,,,prior_usage_per_game,points,1687.0,0.018702810112816298,0.013552542566170023,0.01819272297084565,0.018702810112816298,0.0,,,,,,,,
per_axis,,,,,,,,,,,prior_minutes_per_game,ppm,1557.0,0.019176724230180454,0.014796899221367099,0.02354638884802423,0.019176724230180454,0.0,,,,,,,,
per_axis,,,,,,,,,,,prior_minutes_per_game,points,1557.0,0.01647374624233155,0.012132951447932708,0.013303370160421003,0.01647374624233155,0.0,,,,,,,,
per_axis,,,,,,,,,,,prior_points_per_minute,ppm,1719.0,0.02620440823647721,0.01399960589594808,0.047733863747564935,0.02620440823647721,0.0,,,,,,,,
per_axis,,,,,,,,,,,prior_points_per_minute,points,1719.0,0.017019217299656237,0.010075724935866679,0.028638755034498285,0.017019217299656237,0.0,,,,,,,,
disagreement,,,,,,,,,,,,,,0.013579469277426212,0.008942101164599436,,,,prior_usage_per_game,prior_minutes_per_game,691.0,352.0,,,,
disagreement,,,,,,,,,,,,,,,,,,,prior_usage_per_game,prior_points_per_minute,359.0,0.0,TOO SMALL to run the walk-forward (fold gating failed),,,
disagreement,,,,,,,,,,,,,,0.0039535506031907145,0.013737926057450856,,,,prior_minutes_per_game,prior_usage_per_game,561.0,169.0,,,,
disagreement,,,,,,,,,,,,,,0.017060972323885218,0.021803965629477718,,,,prior_minutes_per_game,prior_points_per_minute,759.0,281.0,,,,
disagreement,,,,,,,,,,,,,,,,,,,prior_points_per_minute,prior_usage_per_game,391.0,0.0,TOO SMALL to run the walk-forward (fold gating failed),,,
disagreement,,,,,,,,,,,,,,0.009971314213574185,0.01206578139167802,,,,prior_points_per_minute,prior_minutes_per_game,921.0,425.0,,,,
joint,prior_usage_per_game,prior_minutes_per_game,,,,,,,,,,ppm,1687.0,,,,,,,,,,,0.02198937403025436,0.004013850968852438,-0.000863240258548458
joint,prior_usage_per_game,prior_points_per_minute,,,,,,,,,,ppm,1687.0,,,,,,,,,,,0.02466719834919409,-0.0016947421854848464,0.0026098083479634006
joint,prior_minutes_per_game,prior_points_per_minute,,,,,,,,,,ppm,1557.0,,,,,,,,,,,0.019114526983050866,-0.003664799541017791,0.00377128553582216
