game_date,home,away,game_id,tip_utc,label,cutoff_utc,odds_first_seen_utc,id_first_seen_utc,odds_lead_min,id_lead_min,discoverable_before_cutoff
2026-08-01,PHX,NYL,1022600217,2026-08-01T19:04:00+00:00,T-90m,2026-08-01T17:34:00+00:00,2026-07-31T14:54:52+00:00,2026-08-01T14:00:02+00:00,1599.1,214.0,True
2026-08-01,PHX,NYL,1022600217,2026-08-01T19:04:00+00:00,T-30m,2026-08-01T18:34:00+00:00,2026-07-31T14:54:52+00:00,2026-08-01T14:00:02+00:00,1659.1,274.0,True
2026-08-02,DAL,CON,1022600220,2026-08-02T23:04:00+00:00,T-24h,2026-08-01T23:04:00+00:00,2026-08-01T01:53:54+00:00,2026-08-02T22:30:03+00:00,1270.1,-1406.0,False
2026-08-02,DAL,CON,1022600220,2026-08-02T23:04:00+00:00,T-8h,2026-08-02T15:04:00+00:00,2026-08-01T01:53:54+00:00,2026-08-02T22:30:03+00:00,2230.1,-446.1,False
2026-08-02,DAL,CON,1022600220,2026-08-02T23:04:00+00:00,T-90m,2026-08-02T21:34:00+00:00,2026-08-01T01:53:54+00:00,2026-08-02T22:30:03+00:00,2620.1,-56.0,False
2026-08-02,DAL,CON,1022600220,2026-08-02T23:04:00+00:00,T-30m,2026-08-02T22:34:00+00:00,2026-08-01T01:53:54+00:00,2026-08-02T22:30:03+00:00,2680.1,4.0,True
2026-08-02,GSV,TOR,1022600221,2026-08-03T00:34:00+00:00,T-24h,2026-08-02T00:34:00+00:00,2026-08-01T01:53:54+00:00,2026-08-02T22:30:03+00:00,1360.1,-1316.0,False
2026-08-02,GSV,TOR,1022600221,2026-08-03T00:34:00+00:00,T-8h,2026-08-02T16:34:00+00:00,2026-08-01T01:53:54+00:00,2026-08-02T22:30:03+00:00,2320.1,-356.1,False
2026-08-02,GSV,TOR,1022600221,2026-08-03T00:34:00+00:00,T-90m,2026-08-02T23:04:00+00:00,2026-08-01T01:53:54+00:00,2026-08-02T22:30:03+00:00,2710.1,34.0,True
2026-08-02,GSV,TOR,1022600221,2026-08-03T00:34:00+00:00,T-30m,2026-08-03T00:04:00+00:00,2026-08-01T01:53:54+00:00,2026-08-02T22:30:03+00:00,2770.1,94.0,True
2026-08-02,MIN,IND,1022600218,2026-08-02T17:00:00+00:00,T-24h,2026-08-01T17:00:00+00:00,2026-08-01T14:00:02+00:00,2026-08-02T22:30:03+00:00,180.0,-1770.0,False
2026-08-02,MIN,IND,1022600218,2026-08-02T17:00:00+00:00,T-8h,2026-08-02T09:00:00+00:00,2026-08-01T14:00:02+00:00,2026-08-02T22:30:03+00:00,1140.0,-810.0,False
2026-08-02,MIN,IND,1022600218,2026-08-02T17:00:00+00:00,T-90m,2026-08-02T15:30:00+00:00,2026-08-01T14:00:02+00:00,2026-08-02T22:30:03+00:00,1530.0,-420.1,False
2026-08-02,MIN,IND,1022600218,2026-08-02T17:00:00+00:00,T-30m,2026-08-02T16:30:00+00:00,2026-08-01T14:00:02+00:00,2026-08-02T22:30:03+00:00,1590.0,-360.1,False
2026-08-02,PDX,LAS,1022600219,2026-08-02T19:43:00+00:00,T-24h,2026-08-01T19:43:00+00:00,2026-08-01T14:00:02+00:00,2026-08-02T22:30:03+00:00,343.0,-1607.0,False
2026-08-02,PDX,LAS,1022600219,2026-08-02T19:43:00+00:00,T-8h,2026-08-02T11:43:00+00:00,2026-08-01T14:00:02+00:00,2026-08-02T22:30:03+00:00,1303.0,-647.0,False
2026-08-02,PDX,LAS,1022600219,2026-08-02T19:43:00+00:00,T-90m,2026-08-02T18:13:00+00:00,2026-08-01T14:00:02+00:00,2026-08-02T22:30:03+00:00,1693.0,-257.1,False
2026-08-02,PDX,LAS,1022600219,2026-08-02T19:43:00+00:00,T-30m,2026-08-02T19:13:00+00:00,2026-08-01T14:00:02+00:00,2026-08-02T22:30:03+00:00,1753.0,-197.1,False
2026-08-03,ATL,LVA,1022600222,2026-08-03T23:14:00+00:00,T-24h,2026-08-02T23:14:00+00:00,2026-08-02T00:00:03+00:00,2026-08-03T14:00:03+00:00,1394.0,-886.0,False
2026-08-03,ATL,LVA,1022600222,2026-08-03T23:14:00+00:00,T-8h,2026-08-03T15:14:00+00:00,2026-08-02T00:00:03+00:00,2026-08-03T14:00:03+00:00,2353.9,74.0,True
2026-08-03,ATL,LVA,1022600222,2026-08-03T23:14:00+00:00,T-90m,2026-08-03T21:44:00+00:00,2026-08-02T00:00:03+00:00,2026-08-03T14:00:03+00:00,2743.9,463.9,True
2026-08-03,ATL,LVA,1022600222,2026-08-03T23:14:00+00:00,T-30m,2026-08-03T22:44:00+00:00,2026-08-02T00:00:03+00:00,2026-08-03T14:00:03+00:00,2803.9,524.0,True
2026-08-03,CHI,PHX,1022600224,2026-08-04T01:08:00+00:00,T-24h,2026-08-03T01:08:00+00:00,2026-08-02T00:00:03+00:00,2026-08-03T14:00:03+00:00,1508.0,-772.0,False
2026-08-03,CHI,PHX,1022600224,2026-08-04T01:08:00+00:00,T-8h,2026-08-03T17:08:00+00:00,2026-08-02T00:00:03+00:00,2026-08-03T14:00:03+00:00,2467.9,187.9,True
