gid,season,date,n_prior_league_games,env_recomputed,env_stored,abs_diff,identical
1022400158,2024,2024-08-18,157,168.74025145990612,168.74025145990612,0.0,True
1042400302,2024,2024-10-13,258,164.8635439977833,164.8635439977833,0.0,True
1022400174,2024,2024-08-25,173,159.95271032408246,159.95271032408246,0.0,True
1022400155,2024,2024-08-17,154,168.99074851147995,168.99074851147995,0.0,True
1022400045,2024,2024-06-02,44,159.00679442281663,159.00679442281663,0.0,True
1022500252,2025,2025-08-30,251,165.48020954181968,165.48020954181968,0.0,True
1022500093,2025,2025-06-24,89,165.0324619433261,165.0324619433261,0.0,True
1022500070,2025,2025-06-15,67,164.91720532885864,164.91720532885864,0.0,True
1022500145,2025,2025-07-16,140,165.22327390979146,165.22327390979146,0.0,True
1042500122,2025,2025-09-16,290,159.78047752205495,159.78047752205495,0.0,True
1022600092,2026,2026-06-11,90,169.7603105617059,169.7603105617059,0.0,True
1022600040,2026,2026-05-22,37,173.94645920096698,173.94645920096698,0.0,True
1022600100,2026,2026-06-13,96,172.8717650368684,172.8717650368684,0.0,True
1022600160,2026,2026-07-08,158,165.13636950939994,165.13636950939994,0.0,True
1022600065,2026,2026-06-01,63,166.65799498233017,166.65799498233017,0.0,True
1022100093,2021,2021-06-29,91,164.7559483219512,164.7559483219512,0.0,True
1022100166,2021,2021-09-05,164,156.008426543916,156.008426543916,0.0,True
1022200107,2022,2022-06-25,106,165.54270935887774,165.54270935887774,0.0,True
1022200163,2022,2022-07-22,160,161.92641691445516,161.92641691445516,0.0,True
1022300110,2023,2023-07-09,106,165.98285351868506,165.98285351868506,0.0,True
1022300193,2023,2023-08-22,192,161.13901359968912,161.13901359968912,0.0,True
