game_id,date,season,role
1022100033,2021-05-29,2021,abc_fit_row (also tuning pool)
1022100042,2021-06-03,2021,abc_fit_row (also tuning pool)
1022100080,2021-06-22,2021,abc_fit_row (also tuning pool)
1022100084,2021-06-24,2021,abc_fit_row (also tuning pool)
1022100103,2021-07-03,2021,abc_fit_row (also tuning pool)
1022100106,2021-07-05,2021,abc_fit_row (also tuning pool)
1022100116,2021-07-11,2021,abc_fit_row (also tuning pool)
1022100131,2021-08-18,2021,abc_fit_row (also tuning pool)
1022100135,2021-08-20,2021,abc_fit_row (also tuning pool)
1022100139,2021-08-22,2021,abc_fit_row (also tuning pool)
1022100145,2021-08-25,2021,abc_fit_row (also tuning pool)
1022100149,2021-08-27,2021,abc_fit_row (also tuning pool)
1022100185,2021-09-17,2021,abc_fit_row (also tuning pool)
1022200057,2022-06-01,2022,abc_fit_row (also tuning pool)
1022200063,2022-06-05,2022,abc_fit_row (also tuning pool)
1022200069,2022-06-07,2022,abc_fit_row (also tuning pool)
1022200079,2022-06-12,2022,abc_fit_row (also tuning pool)
1022200088,2022-06-16,2022,abc_fit_row (also tuning pool)
1022200092,2022-06-19,2022,abc_fit_row (also tuning pool)
1022200119,2022-06-30,2022,abc_fit_row (also tuning pool)
1022200138,2022-07-12,2022,abc_fit_row (also tuning pool)
1022200143,2022-07-14,2022,abc_fit_row (also tuning pool)
1022200164,2022-07-23,2022,abc_fit_row (also tuning pool)
1022200178,2022-07-31,2022,abc_fit_row (also tuning pool)
1022200183,2022-08-02,2022,abc_fit_row (also tuning pool)
1022200187,2022-08-03,2022,abc_fit_row (also tuning pool)
1022200212,2022-08-14,2022,abc_fit_row (also tuning pool)
1042200113,2022-08-23,2022,abc_fit_row (also tuning pool)
1022300033,2023-06-04,2023,abc_fit_row (also tuning pool)
1022300046,2023-06-11,2023,abc_fit_row (also tuning pool)
1022300053,2023-06-13,2023,abc_fit_row (also tuning pool)
1022300062,2023-06-18,2023,abc_fit_row (also tuning pool)
1022300079,2023-06-25,2023,abc_fit_row (also tuning pool)
1022300098,2023-07-05,2023,abc_fit_row (also tuning pool)
1022300107,2023-07-08,2023,abc_fit_row (also tuning pool)
1022300123,2023-07-19,2023,abc_fit_row (also tuning pool)
1022300133,2023-07-23,2023,abc_fit_row (also tuning pool)
1022300136,2023-07-25,2023,abc_fit_row (also tuning pool)
1022300142,2023-07-27,2023,abc_fit_row (also tuning pool)
1022300038,2023-07-28,2023,abc_fit_row (also tuning pool)
1022300163,2023-08-06,2023,abc_fit_row (also tuning pool)
1022300174,2023-08-11,2023,abc_fit_row (also tuning pool)
1022300209,2023-08-28,2023,abc_fit_row (also tuning pool)
1022300217,2023-09-01,2023,abc_fit_row (also tuning pool)
1022300229,2023-09-07,2023,abc_fit_row (also tuning pool)
