rule,n_dropped,n_correct,n_false,precision_of_removal
R1_departed_S2,1489,1486,3,0.9979852249832102
R2_stale_S2,1501,1494,7,0.9953364423717521
R3_union_S2,2054,2047,7,0.9965920155793574
R4_departed_all,2080,1929,151,0.9274038461538462
