window,arm,team_MAE_unfrozen,team_MAE_frozen_to_Xa_level
FULL 2022-2024,X0,18.263036606875854,10.914322955321364
FULL 2022-2024,Xa,10.957277321886721,10.957277321886721
FULL 2022-2024,Xa_plus,10.69702097645437,10.963335053542846
FULL 2022-2024,Z_R3_union_S2,10.296098544107092,10.9870233288774
CLEAN 2023-2024,X0,19.916137245347873,10.324150569906093
CLEAN 2023-2024,Xa,10.386339292393377,10.386339292393377
CLEAN 2023-2024,Xa_plus,9.9152241226771,10.39511527402173
CLEAN 2023-2024,Z_R3_union_S2,9.947965738559805,10.395094596625407
