arm,row_set,n,brier_unfrozen,brier_frozen,mean_w_unfrozen,mean_w_frozen,AUC_unfrozen
X0,RS1P (all),20084,0.13024815294437733,0.12366806317825907,0.7165209084169955,0.6824546556525874,0.9025728794531128
X0,RS1P-A (tier A),16312,0.09320082283304329,0.0949867035141962,0.7608333238890033,0.7311355756125982,0.897850352753048
X0,RS1P-B (tier B),3772,0.2904591945074953,0.2477004965929445,0.5248920321764363,0.4719341979676201,0.7603308045458083
Xa,RS1P (all),20084,0.09467673937054161,0.093980293113117,0.6626583893567939,0.6343593557450095,0.928451619808592
Xa,RS1P-A (tier A),16312,0.09334864312064847,0.09430373386349944,0.7705310288801834,0.7432597102346141,0.8973308487959866
Xa,RS1P-B (tier B),3772,0.10042008667389703,0.09258157478855755,0.19616356011354627,0.16342017694478983,0.7722870105786884
Y_R1_departed_S2,RS1P (all),20084,0.11203744044062826,0.1095748706423788,0.6832655659507567,0.6592583554052027,0.9173815707828981
Y_R1_departed_S2,RS1P-A (tier A),16312,0.09320082283304329,0.09444595725915919,0.7608333238890033,0.7367824165699508,0.897850352753048
Y_R1_departed_S2,RS1P-B (tier B),3772,0.19349632337141465,0.1749998004162595,0.34782408464410886,0.32400584063336524,0.8239431519730167
Z_R1_departed_S2,RS1P (all),20084,0.09192874043657485,0.09164658258781799,0.6556850461042146,0.6334487617289846,0.9317391250836699
Z_R1_departed_S2,RS1P-A (tier A),16312,0.09334864312064847,0.09402530153889482,0.7705310288801834,0.7482331433173137,0.8973308487959866
Z_R1_departed_S2,RS1P-B (tier B),3772,0.08578837654935088,0.08135982131264173,0.15903401984716162,0.13706412957924285,0.8357660746987451
Y_R2_stale_S2,RS1P (all),20084,0.10834017824264883,0.10581343777250067,0.6799702454194119,0.653382508824338,0.9205838404759459
Y_R2_stale_S2,RS1P-A (tier A),16312,0.09320082283304329,0.09466258110477921,0.7608333238890033,0.7343215741513651,0.897850352753048
Y_R2_stale_S2,RS1P-B (tier B),3772,0.1738102645208794,0.1540352760450013,0.33027816270573895,0.3033618212277143,0.8479164275142972
Z_R2_stale_S2,RS1P (all),20084,0.09241484261173118,0.09226711044936284,0.6544663908568048,0.6304680516150399,0.93185678404085
Z_R2_stale_S2,RS1P-A (tier A),16312,0.09334864312064847,0.09413631019392642,0.7705310288801834,0.7460396159546742,0.8973308487959866
Z_R2_stale_S2,RS1P-B (tier B),3772,0.08837662577677388,0.0841837630916424,0.15254529450543897,0.1306792505789545,0.8229269630589521
Y_R3_union_S2,RS1P (all),20084,0.10181071924123304,0.10053537789768226,0.6678032696017866,0.6465307606875907,0.9257372460131179
Y_R3_union_S2,RS1P-A (tier A),16312,0.09320082283304329,0.09431232298870401,0.7608333238890033,0.7384871954844264,0.897850352753048
Y_R3_union_S2,RS1P-B (tier B),3772,0.13904418430231236,0.1274469557543241,0.26549514512324024,0.2488654997103943,0.8700241219673233
Z_R3_union_S2,RS1P (all),20084,0.09034699972738364,0.09038049167120148,0.6507553034573289,0.6306821486454663,0.9338996368658428
Z_R3_union_S2,RS1P-A (tier A),16312,0.09334864312064847,0.09396729053918845,0.7705310288801834,0.7497242807507142,0.8973308487959866
Z_R3_union_S2,RS1P-B (tier B),3772,0.07736640401398598,0.07486939327920682,0.13278562342084896,0.1158848901882022,0.8621742744727028
Y_R4_departed_all,RS1P (all),20084,0.11318373980818659,0.11130003986392627,0.6714291304589032,0.6518661923672249,0.914469549814923
Y_R4_departed_all,RS1P-A (tier A),16312,0.09290470133203589,0.09396344720377604,0.757615541480931,0.7375124136541846,0.8982683754126012
Y_R4_departed_all,RS1P-B (tier B),3772,0.20088036643145538,0.1862720704769619,0.298716315880081,0.28148942629275775,0.6769613254986375
Z_R4_departed_all,RS1P (all),20084,0.09403704336551362,0.09362237865110522,0.6486142355473912,0.6307460288623541,0.928329669040555
Z_R4_departed_all,RS1P-A (tier A),16312,0.0929871947483354,0.09354140677493322,0.7678093163198404,0.7492492589256102,0.8978513236049752
Z_R4_departed_all,RS1P-B (tier B),3772,0.09857710981392581,0.09397254122907908,0.13315555114649186,0.11827925028551607,0.6880330850771232
