tau_days,n_dropped,n_dropped_that_appeared,appearance_rate_of_dropped,sum_p_removed_per_team_game
7,3266,199,0.06093080220453154,1.2066928614780636
14,3266,199,0.06093080220453154,1.2066928614780636
30,3266,199,0.06093080220453154,1.2066928614780636
60,3266,199,0.06093080220453154,1.2066928614780636
90,3266,199,0.06093080220453154,1.2066928614780636
120,3266,199,0.06093080220453154,1.2066928614780636
180,3266,199,0.06093080220453154,1.2066928614780636
200,3266,199,0.06093080220453154,1.2066928614780636
250,2612,70,0.02679938744257274,0.9212885657907554
300,1992,14,0.007028112449799197,0.6913239532105182
365,1605,8,0.004984423676012461,0.5606933391427044
400,1501,7,0.004663557628247834,0.5273588474450219
500,1501,7,0.004663557628247834,0.5273588474450219
700,767,5,0.00651890482398957,0.26778336009119824
900,510,4,0.00784313725490196,0.18162359427629277
