window,row_set,arm,reference,delta_Brier,p,null_sd,MDE80_signflip,injection_floor_80pct,n_blocks,power_floor_kind,verdict
FULL 2022-2024,RS1P-B (tier B),Xa_plus,Xa,0.00952317019552802,4.999750012499375e-05,0.0013212827838643868,0.0037016860280327086,0.004,709,INJECTION-VERIFIED,ESTABLISHED
FULL 2022-2024,RS1P-B (tier B),Z_R3_union_S2,Xa,0.02305368265991106,4.999750012499375e-05,0.002077674657615549,0.005820782155655859,0.008,709,INJECTION-VERIFIED,ESTABLISHED
FULL 2022-2024,RS1P-B (tier B),Z_R3_union_S2,Xa_plus,0.013530512464383039,4.999750012499375e-05,0.0024180274272338634,0.0067743093697269835,0.008,709,INJECTION-VERIFIED,ESTABLISHED
CLEAN 2023-2024,RS1P-B (tier B),Xa_plus,Xa,0.016826854990404632,4.999750012499375e-05,0.001300955852483899,0.003644738401981104,0.004,508,INJECTION-VERIFIED,ESTABLISHED
CLEAN 2023-2024,RS1P-B (tier B),Z_R3_union_S2,Xa,0.016918546241370475,4.999750012499375e-05,0.0013235630209483492,0.003708074306043581,0.004,508,INJECTION-VERIFIED,ESTABLISHED
CLEAN 2023-2024,RS1P-B (tier B),Z_R3_union_S2,Xa_plus,9.169125096584419e-05,0.0662966851657417,5.119490133694905e-05,0.00014342686766207643,0.001,508,INJECTION-VERIFIED,NOT ESTABLISHED
