rule,n_dropped,share_of_RS1P,n_dropped_tier_A,n_dropped_tier_B,n_dropped_that_APPEARED,appearance_rate_of_dropped,mean_p_active_of_dropped,sum_p_active_removed_per_team_game,n_dropped_in_decision_stratum
R1_departed_S2,1489,0.07413861780521809,0,1489,3,0.0020147750167897917,0.44855627810069804,0.47981343253731273,0
R2_stale_S2,1501,0.0747361083449512,0,1501,7,0.004663557628247834,0.4890629684500136,0.5273588474450219,0
R3_union_S2,2054,0.10227046405098586,0,2054,7,0.0034079844206426485,0.4763607877140486,0.7029059324458734,0
R4_departed_all,2080,0.1035650268870743,248,1832,151,0.07259615384615385,0.4353958021684265,0.6505914285275338,9
