window,arm,MAE_unfrozen,MAE_frozen_to_Xa_level,mean_sum_w_unfrozen,mean_sum_w_frozen,frozen_MAE_vs_Xa
FULL 2022-2024,X0,18.263036606875854,10.914322955321364,10.338078968855559,9.560941876323165,0.04295436656535756
FULL 2022-2024,Xa,10.957277321886721,10.957277321886721,9.560941876323165,9.560941876323165,0.0
FULL 2022-2024,Y_R1_departed_S2,14.174266074768521,10.963307694874363,9.858265536318248,9.560941876323165,-0.006030372987641641
FULL 2022-2024,Z_R1_departed_S2,10.4461599784639,10.985096154099603,9.460329357727762,9.560941876323165,-0.027818832212881617
FULL 2022-2024,Y_R2_stale_S2,13.71595715771007,10.966222458926376,9.810720121410537,9.560941876323165,-0.008945137039654938
FULL 2022-2024,Z_R2_stale_S2,10.646501841791972,10.962130250637783,9.442746403712691,9.560941876323165,-0.004852928751061469
FULL 2022-2024,Y_R3_union_S2,12.29242118188743,10.971765273983532,9.635173036409686,9.560941876323165,-0.014487952096811085
FULL 2022-2024,Z_R3_union_S2,10.296098544107092,10.9870233288774,9.389202237526575,9.560941876323165,-0.02974600699067942
FULL 2022-2024,Y_R4_departed_all,13.055224313831873,10.986653510604715,9.687487540328027,9.560941876323165,-0.0293761887179933
FULL 2022-2024,Z_R4_departed_all,10.361135668812299,11.011832490539977,9.35831056518233,9.560941876323165,-0.05455516865325549
CLEAN WINDOW 2023-2024,X0,19.916137245347873,10.324150569906093,10.513154483991991,9.52046917037009,0.06218872248728324
CLEAN WINDOW 2023-2024,Xa,10.386339292393377,10.386339292393377,9.52046917037009,9.52046917037009,0.0
CLEAN WINDOW 2023-2024,Y_R1_departed_S2,14.643956336309714,10.361207447729047,9.903268217325973,9.52046917037009,0.025131844664329606
CLEAN WINDOW 2023-2024,Z_R1_departed_S2,10.127735896256713,10.391919918369608,9.450849636845247,9.52046917037009,-0.005580625976230991
CLEAN WINDOW 2023-2024,Y_R2_stale_S2,13.425210064728327,10.399673094841647,9.76024651472635,9.52046917037009,-0.01333380244827076
CLEAN WINDOW 2023-2024,Z_R2_stale_S2,10.005806380924506,10.393636878603871,9.357141800908247,9.52046917037009,-0.0072975862104947
CLEAN WINDOW 2023-2024,Y_R3_union_S2,11.992485258866509,10.37384621093035,9.589122617274437,9.52046917037009,0.012493081463025746
CLEAN WINDOW 2023-2024,Z_R3_union_S2,9.947965738559805,10.395094596625407,9.353965259280825,9.52046917037009,-0.008755304232030525
CLEAN WINDOW 2023-2024,Y_R4_departed_all,13.499359691625198,10.402005364720647,9.729353662107508,9.52046917037009,-0.015666072327270797
CLEAN WINDOW 2023-2024,Z_R4_departed_all,10.126831536506332,10.43787287121133,9.336573160058418,9.52046917037009,-0.05153357881795273
