window,arm,row_set,n,mean_w,base_rate,brier,logloss,AUC,cal_intercept,cal_slope,uncond_pts_MAE,uncond_pts_bias
FULL 2022-2024,X0,RS1P (all),20084,0.7165209084169955,0.6516132244572794,0.13024815294437733,0.4055811157463799,0.9025728794531128,-0.6884429355995217,1.1501624280622034,3.90738194538658,0.5760980714974164
FULL 2022-2024,X0,RS1P-A (tier A),16312,0.7608333238890033,0.7788131436978911,0.09320082283304329,0.3135888388964097,0.897850352753048,0.1338982890571531,1.0591416239792333,3.7762860648036862,-0.15569742272719062
FULL 2022-2024,X0,RS1P-B (tier B),3772,0.5248920321764363,0.10153764581124072,0.2904591945074953,0.8034013755493258,0.7603308045458083,-3.0546126681208237,1.2301924682339256,4.474305594397229,3.740744970169684
FULL 2022-2024,X0,DECISION STRATUM,4964,0.9053955945543483,0.9083400483481063,0.047242718989288536,0.18641439404347268,0.8395331437247605,-0.3462596320782312,1.2138324355661143,5.252078130129259,0.0626358862199286
FULL 2022-2024,Xa,RS1P (all),20084,0.6626583893567939,0.6516132244572794,0.09467673937054161,0.314125161035731,0.928451619808592,-0.16615953761248897,1.0961565405542046,3.454724000429465,0.09013079613779945
FULL 2022-2024,Xa,RS1P-A (tier A),16312,0.7705310288801834,0.7788131436978911,0.09334864312064847,0.3124743265736523,0.8973308487959866,0.08384297290141478,1.0050783864813377,3.783532757046341,-0.09168732548234786
FULL 2022-2024,Xa,RS1P-B (tier B),3772,0.19616356011354627,0.10153764581124072,0.10042008667389703,0.3212641885398211,0.7722870105786884,-1.0169770672861236,0.8596101098412439,2.032791752832838,0.8764025882554672
FULL 2022-2024,Xa,DECISION STRATUM,4964,0.9144331710719608,0.9083400483481063,0.04774002953962078,0.18744734898786883,0.8358662406566598,-0.3844654772336086,1.1334425496366118,5.268461321932263,0.18134667949483907
FULL 2022-2024,Y_R1_departed_S2,RS1P (all),20084,0.6832655659507567,0.6516132244572794,0.11203744044062826,0.3577231620392475,0.9173815707828981,-0.3577323123373639,1.058109008304188,3.6195020151891764,0.2868309255506238
FULL 2022-2024,Y_R1_departed_S2,RS1P-A (tier A),16312,0.7608333238890033,0.7788131436978911,0.09320082283304329,0.3135888388964097,0.897850352753048,0.1338982890571531,1.0591416239792333,3.7762860648036862,-0.15569742272719062
FULL 2022-2024,Y_R1_departed_S2,RS1P-B (tier B),3772,0.34782408464410886,0.10153764581124072,0.19349632337141465,0.5485818786633114,0.8239431519730167,-2.092513034577897,0.7088009739183116,2.941489974544456,2.2005431252080228
FULL 2022-2024,Y_R1_departed_S2,DECISION STRATUM,4964,0.9053955945543483,0.9083400483481063,0.047242718989288536,0.18641439404347268,0.8395331437247605,-0.3462596320782312,1.2138324355661143,5.252078130129259,0.0626358862199286
FULL 2022-2024,Z_R1_departed_S2,RS1P (all),20084,0.6556850461042146,0.6516132244572794,0.09192874043657485,0.307160484088668,0.9317391250836699,-0.07954510108903595,1.0586534515070727,3.391723537274802,0.03127522635681857
FULL 2022-2024,Z_R1_departed_S2,RS1P-A (tier A),16312,0.7705310288801834,0.7788131436978911,0.09334864312064847,0.3124743265736523,0.8973308487959866,0.08384297290141478,1.0050783864813377,3.783532757046341,-0.09168732548234786
FULL 2022-2024,Z_R1_departed_S2,RS1P-B (tier B),3772,0.15903401984716162,0.10153764581124072,0.08578837654935088,0.2841807919849923,0.8357660746987451,-0.8472399187017533,0.7199238345755516,1.6973460205957613,0.5630263254025456
FULL 2022-2024,Z_R1_departed_S2,DECISION STRATUM,4964,0.914504803495828,0.9083400483481063,0.047625963291790537,0.1869063279462632,0.8359544646969796,-0.396992703782971,1.1391078759754243,5.267459201396258,0.18234880003084566
FULL 2022-2024,Y_R2_stale_S2,RS1P (all),20084,0.6799702454194119,0.6516132244572794,0.10834017824264883,0.3538036319443692,0.9205838404759459,-0.34104498334197647,1.074963767384331,3.5928576603968354,0.25860191622182443
FULL 2022-2024,Y_R2_stale_S2,RS1P-A (tier A),16312,0.7608333238890033,0.7788131436978911,0.09320082283304329,0.3135888388964097,0.897850352753048,0.1338982890571531,1.0591416239792333,3.7762860648036862,-0.15569742272719062
FULL 2022-2024,Y_R2_stale_S2,RS1P-B (tier B),3772,0.33027816270573895,0.10153764581124072,0.1738102645208794,0.5277123552206989,0.8479164275142972,-1.9450191697266066,0.6551409911419831,2.7996222063447274,2.0502378698104597
FULL 2022-2024,Y_R2_stale_S2,DECISION STRATUM,4964,0.9053955945543483,0.9083400483481063,0.047242718989288536,0.18641439404347268,0.8395331437247605,-0.3462596320782312,1.2138324355661143,5.252078130129259,0.0626358862199286
