player_name,rows_removed,mean_p_active,appearances,p_active_mass
Bernadett Hatar,1,0.8,0,0.8
Brittney Griner,1,0.8,1,0.8
Diamond DeShields,1,0.8,1,0.8
Emma Cannon,1,0.8,0,0.8
Jocelyn Willoughby,1,0.8,1,0.8
Karlie Samuelson,1,0.8,1,0.8
Lou Lopez Sénéchal,1,0.8,1,0.8
Kiana Williams,1,0.8,1,0.8
Rennia Davis,1,0.8,1,0.8
Isabelle Harrison,1,0.2822730667954334,0,0.2822730667954334
