window,arm,n,MAE,RMSE,bias,R2_common_SST,corr_with_response,mean_sum_w,MAE_vs_X0,MAE_vs_Xa
FULL 2022-2024,X0,1392,18.263036606875854,34.22161415537168,8.138903497093473,-8.662696572062861,0.001300684334125199,10.338078968855559,0.0,-7.305759284989133
FULL 2022-2024,Xa,1392,10.957277321886721,14.47670213061147,1.1272894465744,-0.7291658042574249,0.055862161890672335,9.560941876323165,7.305759284989133,0.0
FULL 2022-2024,Y_R1_departed_S2,1392,14.174266074768521,23.07321264700929,3.965310566637017,-3.3925174812837255,0.008958313209997727,9.858265536318248,4.088770532107333,-3.2169887528818
FULL 2022-2024,Z_R1_departed_S2,1392,10.4461599784639,13.533992403951073,0.2781118147631783,-0.5112949045762571,0.07958931418830154,9.460329357727762,7.816876628411954,0.5111173434228213
FULL 2022-2024,Y_R2_stale_S2,1392,13.71595715771007,20.64631229607534,3.5580178774418982,-2.5170807996114712,0.010705230221144812,9.810720121410537,4.547079449165784,-2.758679835823349
FULL 2022-2024,Z_R2_stale_S2,1392,10.646501841791972,13.986390757900171,0.10271852699425606,-0.614019124887498,0.07279557662473543,9.442746403712691,7.616534765083882,0.3107754800947493
FULL 2022-2024,Y_R3_union_S2,1392,12.29242118188743,17.843713314177,2.021894316563141,-1.6270469555245626,0.024710993275634873,9.635173036409686,5.970615424988424,-1.3351438600007093
FULL 2022-2024,Z_R3_union_S2,1392,10.296098544107092,13.250935915333018,-0.34178698771003735,-0.44874005780521986,0.09158494945573585,9.389202237526575,7.966938062768762,0.6611787777796287
FULL 2022-2024,Y_R4_departed_all,1392,13.055224313831873,19.570314541185642,2.5873326002260115,-2.160042859787571,0.02315725187860886,9.687487540328027,5.207812293043981,-2.097946991945152
FULL 2022-2024,Z_R4_departed_all,1392,10.361135668812299,13.37393714856786,-0.529439484313973,-0.4757606195159687,0.09567396455395986,9.35831056518233,7.901900938063555,0.5961416530744224
CLEAN WINDOW 2023-2024,X0,960,19.916137245347873,38.413154665237876,9.899087283123412,-11.136684075770514,0.008318291244880753,10.513154483991991,0.0,-9.529797952954496
CLEAN WINDOW 2023-2024,Xa,960,10.386339292393377,13.374881947692108,0.8995317550435367,-0.471363615014734,0.10533807831917684,9.52046917037009,9.529797952954496,0.0
CLEAN WINDOW 2023-2024,Y_R1_departed_S2,960,14.643956336309714,24.596834243414026,4.565858280163161,-3.9762080138799547,0.01754655308589922,9.903268217325973,5.272180909038159,-4.257617043916337
CLEAN WINDOW 2023-2024,Z_R1_departed_S2,960,10.127735896256713,12.993984202755938,0.3034015129462044,-0.3887522202541629,0.12375668562549821,9.450849636845247,9.78840134909116,0.25860339613666383
CLEAN WINDOW 2023-2024,Y_R2_stale_S2,960,13.425210064728327,20.211644152643437,3.3591411552994734,-2.3600317734727088,0.026805949954817943,9.76024651472635,6.490927180619545,-3.038870772334951
CLEAN WINDOW 2023-2024,Z_R2_stale_S2,960,10.005806380924506,12.771405083253423,-0.516004543679154,-0.3415827253287149,0.13432274341554618,9.357141800908247,9.910330864423367,0.3805329114688707
CLEAN WINDOW 2023-2024,Y_R3_union_S2,960,11.992485258866509,17.414992401269085,1.8291542443396802,-1.4945181947430268,0.04353822908340221,9.589122617274437,7.923651986481364,-1.6061459664731323
CLEAN WINDOW 2023-2024,Z_R3_union_S2,960,9.947965738559805,12.663800949282388,-0.5410742955249226,-0.31907123156645145,0.141283300031647,9.353965259280825,9.968171506788067,0.43837355383357135
CLEAN WINDOW 2023-2024,Y_R4_departed_all,960,13.499359691625198,20.775226580423144,3.164392015176688,-2.5500268307839717,0.03107356129270426,9.729353662107508,6.4167775537226746,-3.1130203992318215
CLEAN WINDOW 2023-2024,Z_R4_departed_all,960,10.126831536506332,13.036477672580297,-0.6195108619369651,-0.39785018326051724,0.1327399606836796,9.336573160058418,9.78930570884154,0.25950775588704467
